metric,protocol,lossy_mean,ideal_mean,lossy_rank,ideal_rank,rank_shift
fnd,stub,114.03333333333333,321.23333333333335,10,10,0
fnd,leach,1045.6,1474.0,7,7,0
fnd,teen,2208.4666666666667,4067.266666666667,1,1,0
fnd,apteen,2144.233333333333,3908.0,2,2,0
fnd,pegasis,1587.5666666666666,1662.2,4,4,0
fnd,nsga2,1872.9333333333334,1956.3333333333333,3,3,0
fnd,fuzzy_t2,1462.2333333333333,1491.3666666666666,6,6,0
fnd,som,958.6,1075.3,8,8,0
fnd,dqn,1471.9333333333334,1495.9,5,5,0
fnd,gcn,335.43333333333334,334.06666666666666,9,9,0
hnd,stub,1143.8,1227.3,10,10,0
hnd,leach,1679.4,1703.6333333333334,9,9,0
hnd,teen,5601.333333333333,5616.4,1,1,0
hnd,apteen,5366.666666666667,5412.033333333334,2,2,0
hnd,pegasis,2199.2,2206.233333333333,3,3,0
hnd,nsga2,1964.7333333333333,2030.7333333333333,6,6,0
hnd,fuzzy_t2,2006.1666666666667,2054.9666666666667,4,5,1
hnd,som,1997.5,2071.9333333333334,5,4,-1
hnd,dqn,1920.1666666666667,1961.3333333333333,7,7,0
hnd,gcn,1823.6666666666667,1902.8333333333333,8,8,0
alive_node_auc,stub,131995.13333333333,141947.43333333332,10,10,0
alive_node_auc,leach,167131.9,174701.4,9,9,0
alive_node_auc,teen,535397.9,564261.6,1,1,0
alive_node_auc,apteen,518432.0,546408.5666666667,2,2,0
alive_node_auc,pegasis,216358.3,219197.03333333333,3,3,0
alive_node_auc,nsga2,200615.63333333333,206392.8,4,4,0
alive_node_auc,fuzzy_t2,191925.03333333333,196821.53333333333,7,7,0
alive_node_auc,som,196801.4,203895.93333333332,5,5,0
alive_node_auc,dqn,192097.66666666666,197239.1,6,6,0
alive_node_auc,gcn,180213.73333333334,185767.9,8,8,0
readings_delivered_total,stub,128074.7,141947.43333333332,8,8,0
readings_delivered_total,leach,146615.7,173774.8,7,7,0
readings_delivered_total,teen,58550.566666666666,67819.0,10,10,0
readings_delivered_total,apteen,62579.23333333333,72452.73333333334,9,9,0
readings_delivered_total,pegasis,182179.2,217959.0,1,1,0
readings_delivered_total,nsga2,179860.36666666667,206009.5,2,2,0
readings_delivered_total,fuzzy_t2,175438.16666666666,196139.33333333334,4,5,1
readings_delivered_total,som,175822.5,203079.36666666667,3,3,0
readings_delivered_total,dqn,173487.36666666667,196320.56666666668,5,4,-1
readings_delivered_total,gcn,162781.9,183544.16666666666,6,6,0
