protocol,node,rounds_as_head
leach,0,55
leach,1,55
leach,2,55
leach,3,55
leach,4,55
leach,5,55
leach,6,55
leach,7,55
leach,8,53
leach,9,55
leach,10,55
leach,11,55
leach,12,55
leach,13,55
leach,14,55
leach,15,55
leach,16,55
leach,17,55
leach,18,55
leach,19,55
leach,20,55
leach,21,55
leach,22,55
leach,23,55
leach,24,55
leach,25,55
leach,26,55
leach,27,55
leach,28,55
leach,29,55
leach,30,55
leach,31,55
leach,32,55
leach,33,55
leach,34,55
leach,35,55
leach,36,55
leach,37,55
leach,38,55
leach,39,55
leach,40,55
leach,41,55
leach,42,55
leach,43,55
leach,44,55
leach,45,55
leach,46,55
leach,47,55
leach,48,55
leach,49,55
leach,50,52
leach,51,55
leach,52,55
leach,53,55
leach,54,55
leach,55,55
leach,56,55
leach,57,55
leach,58,55
leach,59,55
leach,60,55
leach,61,55
leach,62,55
leach,63,55
leach,64,55
leach,65,55
leach,66,55
leach,67,55
leach,68,55
leach,69,55
leach,70,55
leach,71,55
leach,72,55
leach,73,55
leach,74,55
leach,75,55
leach,76,55
leach,77,55
leach,78,55
leach,79,55
leach,80,55
leach,81,55
leach,82,55
leach,83,55
leach,84,55
leach,85,55
leach,86,55
leach,87,55
leach,88,55
leach,89,55
leach,90,55
leach,91,55
leach,92,55
leach,93,55
leach,94,55
leach,95,55
leach,96,55
leach,97,55
leach,98,55
leach,99,55
pegasis,0,11
pegasis,1,11
pegasis,2,11
pegasis,3,11
pegasis,4,11
pegasis,5,11
pegasis,6,11
pegasis,7,11
pegasis,8,11
pegasis,9,11
pegasis,10,11
pegasis,11,11
pegasis,12,11
pegasis,13,11
pegasis,14,11
pegasis,15,11
pegasis,16,11
pegasis,17,11
pegasis,18,11
pegasis,19,11
pegasis,20,11
pegasis,21,11
pegasis,22,11
pegasis,23,11
pegasis,24,11
pegasis,25,11
pegasis,26,11
pegasis,27,11
pegasis,28,11
pegasis,29,11
pegasis,30,11
pegasis,31,11
pegasis,32,11
pegasis,33,11
pegasis,34,11
pegasis,35,11
pegasis,36,11
pegasis,37,11
pegasis,38,11
pegasis,39,11
