protocol,class,n_runs,n_censored,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,hnd_std,hnd_min,hnd_max,lnd_mean,lnd_std,lnd_min,lnd_max,alive_node_auc_mean,alive_node_auc_std,alive_node_auc_min,alive_node_auc_max,readings_delivered_total_mean,readings_delivered_total_std,readings_delivered_total_min,readings_delivered_total_max,throughput_total_mean,throughput_total_std,throughput_total_min,throughput_total_max,pdr_percent_mean,pdr_percent_std,pdr_percent_min,pdr_percent_max,data_yield_mean,data_yield_std,data_yield_min,data_yield_max,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_min,mean_latency_ms_max,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_min,p95_latency_ms_max,total_control_packets_mean,total_control_packets_std,total_control_packets_min,total_control_packets_max,ops_per_round_mean,ops_per_round_std,ops_per_round_min,ops_per_round_max,mean_setup_ms_mean,mean_setup_ms_std,mean_setup_ms_min,mean_setup_ms_max,peak_memory_kb_mean,peak_memory_kb_std,peak_memory_kb_min,peak_memory_kb_max
stub,baseline,30,0,321.23333333333335,17.721374846122455,292,356,1227.3,157.57825642058526,943,1667,3201.866666666667,78.15092971994609,2982,3323,141947.43333333332,7885.273684635758,124240,159741,141947.43333333332,7885.273684635758,124240,159741,141947.43333333332,7885.273684635758,124240,159741,99.92938555797745,0.0040254551029116825,99.91957535788966,99.9374378288424,1.0,0.0,1.0,1.0,668.4658149817225,17.166852713214148,637.2372838571248,700.7032117273116,1666.3333333333333,17.991057804352145,1637.0,1697.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0027896248299928653,0.0001754043661582821,0.0025303547585396,0.003232082177934,6751.9765625,,6751.9765625,6751.9765625
leach,distributed,30,0,1474.0,26.35042366995656,1426,1523,1703.6333333333334,22.672303220743437,1647,1743,2189.133333333333,42.235573609943074,2105,2282,174701.4,1515.723671477048,170380,177663,173774.8,1536.163815797494,169070,176670,12189.933333333332,448.1583720480759,11335,13021,99.43343020364608,0.0860334482750155,99.19910816440284,99.56096781191836,0.9946950298193683,0.000875620106149625,0.9923113041436789,0.9959709068075976,294.69157502784697,10.563510457872368,273.3104984256201,315.422273168151,856.9000000000002,16.934661455744596,834.0,894.0,179996.83333333334,1585.6358255489713,175599,183297,355.9112007996642,7.450248362408996,338.1085237258348,368.73487712665406,0.7955353941192361,0.03166852479269232,0.7538073634284295,0.8990264007012212,1780.9765625,,1780.9765625,1780.9765625
teen,distributed,30,30,4067.266666666667,147.15554363661775,3833,4436,5616.4,138.69679159951755,5290,5902,6999.0,0.0,6999,6999,564261.6,8299.209719751261,546316,580007,67819.0,1262.552532194888,64357,70357,24319.133333333335,264.2717688594299,23746,24832,99.81894075773977,0.021268249956592336,99.76773429987423,99.86393350489544,0.12019493301043879,0.0017093137648403673,0.1165560537485554,0.1231269775483786,425.74363287908744,3.445668948982657,418.4125326370757,431.187639520463,987.3333333333334,19.884725264649113,954.0,1034.0,606873.1333333333,9740.813312121796,585319,625267,343.22998571428576,7.240161753624625,328.113,355.63057142857144,0.8409445176937325,0.05878067354474214,0.7718635282445965,1.0027373428456483,5370.3203125,,5370.3203125,5370.3203125
apteen,distributed,30,30,3908.0,119.84069886081387,3702,4243,5412.033333333334,131.52723156699588,5132,5678,6999.0,0.0,6999,6999,546408.5666666667,7966.4228275817795,529492,561876,72452.73333333334,1272.2098865369262,68889,74923,24506.1,279.83644853920384,23883,25003,99.81030540837529,0.02589186727289704,99.74747122427624,99.84944797591169,0.1326031982167912,0.001755383896101475,0.1290400629798421,0.1362824245008386,414.6818993813271,3.321305399132353,406.21009234828495,420.3646499426136,978.6666666666666,15.47708725455334,934.0,1014.0,586126.7666666667,9166.932061842543,566277,604166,331.0680904761905,6.902199786161181,316.76757142857144,343.5174285714286,0.8242398586105255,0.0519500949726411,0.7497335852240212,0.9443942428084224,5361.7265625,,5361.7265625,5361.7265625
pegasis,chain,30,0,1662.2,305.89838294710745,884,2078,2206.233333333333,6.489691206368988,2192,2217,2681.366666666667,298.4879692987507,2372,3323,219197.03333333333,997.4569209722304,215770,220683,217959.0,1003.743682077424,214594,219376,2672.6666666666665,299.2478310160595,2363,3314,99.41180331927332,0.10156856056578449,99.22715791785636,99.64221743153136,0.9943522245831379,0.0010144193204051726,0.9925213626315283,0.9966583848100112,1063.8355044062291,107.19089778672995,852.7033796016898,1177.0879765395894,1645.9399999999998,9.033142043188194,1632.0,1666.0,216684.73333333334,950.8036503974917,213553,218096,53.390256914051335,5.432942963688547,42.78339350180505,63.10914454277286,0.04079736727476645,0.0034822346407355907,0.0342206456065341,0.0470597138249633,1669.390625,,1669.390625,1669.390625
nsga2,centralized,30,0,1956.3333333333333,17.628999097946608,1922,2004,2030.7333333333333,18.51920407415583,2002,2071,2504.766666666667,204.09103501798563,2285,2979,206392.8,1220.3088755409992,203893,208563,206009.5,1255.356571134136,203332,208375,10638.766666666666,204.16907856891103,10383,11090,99.77317302070774,0.05740561679896021,99.62785700804776,99.87234268041834,0.9981419827019803,0.000590045901098457,0.9966547736041788,0.999146983840886,401.44527107247836,7.71065358430083,382.6105548037889,409.7776508661717,575.3333333333334,16.55363973589335,554.0,614.0,10965.4,131.2811145385457,10766,11394,95814.78255376399,7464.281040683159,80064.05369127517,104795.7305336833,104.54105807946722,10.17724827771943,74.5716001275591,119.3056038507804,2013.1494140625,,2013.1494140625,2013.1494140625
fuzzy_t2,centralized,30,0,1491.3666666666666,43.52762367725242,1408,1561,2054.9666666666667,16.684668439005318,2025,2092,2180.0333333333333,42.01106860170866,2093,2260,196821.53333333333,2375.351556315813,192268,201569,196139.33333333334,2341.7911702492756,191683,200721,10029.966666666667,154.10732564058063,9757,10339,99.61499764461065,0.056513640767297035,99.45896513671477,99.70091384556372,0.9965355753574472,0.0005719348072595373,0.9949607232844228,0.9974227472373614,404.88099790235015,3.6939569839195463,393.3200234306356,409.2265388496468,1015.1333333333326,41.588073002868676,934.0,1114.0,9907.766666666666,208.43401061633196,9190,10263,2276.4818636673513,35.58765736775166,2200.8425760286227,2338.121608980356,4.991227039294456,0.17525185210591035,4.661823837152159,5.39886144990611,1692.5703125,,1692.5703125,1692.5703125
som,centralized,30,0,1075.3,111.3212654344669,833,1274,2071.9333333333334,32.4822851809215,2021,2134,2892.1666666666665,110.73985773854878,2729,3097,203895.93333333332,1630.020815042331,200526,207163,203079.36666666667,1654.541450868995,199661,206326,10811.066666666668,119.79664762258247,10462,10983,99.5686544138821,0.039427840450380516,99.48188042345562,99.65737590827018,0.9959940667859981,0.00040821838886707977,0.9950901598620568,0.996908531479426,389.21845837003065,3.7179948279544246,382.67897285936215,398.1614414069968,540.0,23.57672727427446,494.0,594.0,10975.466666666667,158.55135866126574,10623,11387,6409.157484871003,244.43764755610044,5906.850437034639,6789.066306306307,39.014826359021754,2.0538946628889145,35.32877804990587,43.831229866229386,2078.818359375,,2078.818359375,2078.818359375
dqn,centralized,30,0,1495.9,67.62337384111481,1341,1640,1961.3333333333333,28.531088105884553,1898,2013,2428.766666666667,51.03797324192721,2304,2503,197239.1,1688.6635676852825,193811,200165,196320.56666666668,1709.0179612730883,192555,199163,9960.933333333332,94.48515056960495,9755,10126,99.50137720014261,0.08344636493686902,99.32065492715152,99.63477064921172,0.9953421780450583,0.0008579369374383408,0.9934833612883284,0.9967031007159418,408.28904344758126,1.3796239629497644,405.4274298271901,411.0798843123566,908.6666666666666,36.74078193875662,834.0,974.0,12301.933333333332,155.2577241863999,11916,12541,8019.2289756628725,162.71886830199082,7816.809657947686,8421.793926247288,0.5264166947536405,0.020990332231437467,0.4985074879678691,0.580094564428659,1899.572265625,,1899.572265625,1899.572265625
gcn,centralized,30,0,334.06666666666666,143.18879105941733,98,582,1902.8333333333333,64.35841628820924,1789,2046,3218.5666666666666,111.11028486282828,2972,3470,185767.9,2924.02370797974,179860,190951,183544.16666666666,2899.5565069130157,178013,188778,9630.333333333334,160.20123838974902,9348,9960,98.78574115611318,0.15009491610459147,98.4845494221111,99.09442804973528,0.9880298047994458,0.0015269476096654113,0.9849913084486266,0.991183058328724,395.2287579236136,3.633196971733841,385.0060136581389,400.6877971473851,976.0999999999998,77.19493908728488,874.0,1174.0,12490.533333333333,302.0350211862666,12030,12999,5573.3793330986055,188.07444885276215,5189.566317626527,6075.607803565422,0.9114620139828953,0.034481690476579153,0.8601398044066196,0.9823303711772028,2413.361328125,,2413.361328125,2413.361328125
