protocol,class,n_runs,n_censored,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,hnd_std,hnd_min,hnd_max,lnd_mean,lnd_std,lnd_min,lnd_max,alive_node_auc_mean,alive_node_auc_std,alive_node_auc_min,alive_node_auc_max,readings_delivered_total_mean,readings_delivered_total_std,readings_delivered_total_min,readings_delivered_total_max,throughput_total_mean,throughput_total_std,throughput_total_min,throughput_total_max,pdr_percent_mean,pdr_percent_std,pdr_percent_min,pdr_percent_max,data_yield_mean,data_yield_std,data_yield_min,data_yield_max,mean_latency_ms_mean,mean_latency_ms_std,mean_latency_ms_min,mean_latency_ms_max,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_min,p95_latency_ms_max,total_control_packets_mean,total_control_packets_std,total_control_packets_min,total_control_packets_max,ops_per_round_mean,ops_per_round_std,ops_per_round_min,ops_per_round_max,mean_setup_ms_mean,mean_setup_ms_std,mean_setup_ms_min,mean_setup_ms_max,peak_memory_kb_mean,peak_memory_kb_std,peak_memory_kb_min,peak_memory_kb_max
stub,baseline,30,0,114.03333333333333,10.675409491728734,98,145,1143.8,183.3183400347697,807,1667,3201.866666666667,78.15092971994609,2982,3323,131995.13333333333,8773.734111395857,110766,148825,128074.7,9343.460992624183,104993,144383,128074.7,9343.460992624183,104993,144383,96.9157079935241,0.9726891789028825,94.00873618278784,98.3204027161211,0.9698942541733531,0.009700779116999849,0.940897998603075,0.9838843604256908,600.3330726268379,25.9371186952804,540.8819730839199,643.2366973031806,1487.6666666666667,49.4754089619684,1417.0,1617.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0028342402947073584,0.0002775865706820856,0.0025126532373,0.003679897014591,6171.703125,,6171.703125,6171.703125
leach,distributed,30,0,1045.6,43.12499875062467,979,1142,1679.4,24.504186834371655,1624,1740,2191.1,81.24010815116996,2066,2386,167131.9,2695.7505429203147,160897,172566,146615.7,7089.352361598099,128880,156542,11044.466666666667,598.6562385493222,9814,12055,87.65767053612845,3.2138487583293043,78.45237950303753,91.82137123149194,0.876922059291573,0.032143134402291815,0.7848104349096933,0.9185906092170778,274.2799463549131,9.505253804215275,255.18141400052303,292.949747332959,837.4666666666659,20.253111014043142,794.0,874.0,171643.9,2745.060847890387,165170,177183,329.2055749979517,13.630530528882737,293.6112274821952,349.38343705122065,0.816797909548963,0.045180696701221504,0.7257744681634904,0.8986413218286925,1719.4921875,,1719.4921875,1719.4921875
teen,distributed,30,30,2208.4666666666667,164.37965587130245,1894,2560,5601.333333333333,188.82747705764126,5022,5905,6999.0,0.0,6999,6999,535397.9,12954.5673701701,503106,552220,58550.566666666666,2809.819440552319,51584,62805,21249.2,866.8905749663662,18910,22529,90.83243195006753,2.5624865337189573,83.11152643959656,94.36515263882794,0.1093143735240349,0.003302525147976509,0.1003872725503551,0.1146513559646928,418.84584001705366,5.886354253565077,400.5854532239643,427.5677208497549,990.3666666666662,27.345154438480925,914.0,1054.0,573869.9333333333,14795.910914455582,537124,592696,307.3869095238096,12.507512524997141,279.9151428571429,329.2797142857143,0.8282382059291813,0.04699456053117816,0.7517368284503131,0.9554792715436112,5222.2265625,,5222.2265625,5222.2265625
apteen,distributed,30,30,2144.233333333333,139.01046433776952,1859,2446,5366.666666666667,161.09460346134446,4982,5621,6999.0,0.0,6999,6999,518432.0,12329.624104234652,488332,534266,62579.23333333333,2985.4206505816796,54894,67180,21465.4,796.29047723675,19432,22671,90.82531353715689,2.6238669516268187,83.09044923521618,94.35554923973284,0.12065830713149978,0.0036025417055868124,0.1110246120113052,0.1262413439125231,407.08558765173944,7.480754200420149,383.0096865807892,417.10294657609694,978.6666666666666,23.302113761354924,934.0,1034.0,554262.9,14381.428669498107,518643,572002,296.4206523809524,12.059949717567857,270.56357142857144,318.323,0.8005386399219311,0.03031726339723284,0.7499018427500103,0.8723304859927988,5207.53125,,5207.53125,5207.53125
pegasis,chain,30,0,1587.5666666666666,330.9252111917417,449,1959,2199.2,9.053100059629031,2177,2212,2629.6666666666665,357.5307397763967,2270,3488,216358.3,1418.8285393725102,212799,218342,182179.2,8784.549914480536,157982,196855,2271.6666666666665,389.0396073563128,1792,3121,84.1691560466206,3.729246718609846,73.4499367700662,90.13300977541722,0.8418925494403714,0.03729875330379225,0.734683817442823,0.901590165886545,1045.363728326524,138.94541107063534,763.736302467158,1206.4061876247506,1626.3899999999999,16.325067460387604,1598.0,1666.0,213902.13333333333,1317.4876230088876,210710,215936,58.642119971751804,7.547649108147522,42.711006474396704,69.66131078224102,0.048533872775485966,0.00567100308722202,0.0369777522024354,0.0566769203415651,1579.53125,,1579.53125,1579.53125
nsga2,centralized,30,0,1872.9333333333334,30.744703309825503,1806,1921,1964.7333333333333,22.68363124450716,1919,2011,2697.266666666667,256.20088203209406,2232,3023,200615.63333333333,2114.9865000520213,195967,203823,179860.36666666667,7114.663863838003,160379,189325,9654.066666666668,406.5387908991553,8752,10271,89.59576418038313,2.7957184683273058,81.19797889791207,93.20110664776308,0.8963270079868183,0.027966703146125794,0.8123046845322812,0.9323966274648858,387.0524453680343,10.642237547406754,373.38430048101526,407.6212308037216,572.6666666666666,16.55363973589335,554.0,614.0,10793.766666666666,168.91983067538962,10441,11117,86347.80217549228,8800.778081427918,75764.3694141013,103921.07583774252,102.89231168480727,8.284251126094015,79.8498409012993,120.79825132232442,2132.1728515625,,2132.1728515625,2132.1728515625
fuzzy_t2,centralized,30,0,1462.2333333333333,49.65097723338268,1349,1543,2006.1666666666667,27.580707066695197,1943,2058,2108.8,47.785728644323974,2019,2202,191925.03333333333,2997.1337167520496,186516,198089,175438.16666666666,6529.308935726729,158409,184618,9064.166666666666,308.24431458060076,8396,9523,91.36130564598024,2.6916940243167633,82.58899710120748,95.37551158728915,0.9139740488139808,0.026927914191500833,0.8261914944662918,0.9541381540515732,401.4938408367044,5.185929101971479,390.4256728343145,410.8112769485904,1028.0,45.53134577712218,974.0,1134.0,9657.433333333332,218.7222586678859,9205,10088,2301.440788306632,35.438277073381556,2224.4929641398094,2387.9277227722773,5.141915167942545,0.14968742704728338,4.81774207947884,5.494769497427057,1609.2744140625,,1609.2744140625,1609.2744140625
som,centralized,30,0,958.6,126.766034828762,652,1193,1997.5,32.13092827361416,1941,2093,2874.266666666667,114.66170130922721,2669,3094,196801.4,2799.8982937193296,190836,201302,175822.5,7456.426007836786,155423,186146,9395.133333333333,345.4158646330969,8406,9910,89.2856498133825,2.872102646013323,80.51211388136322,92.82099100940944,0.8931473829767852,0.028717336753645444,0.8054257138415297,0.928487702199189,387.98530768948154,7.141232962576698,373.892599375202,398.4752023241337,538.0,20.61134605519243,514.0,594.0,10654.666666666666,170.58506490257608,10279,10976,6194.498774222475,283.59743727913917,5605.421257290992,6795.062801932367,38.275053157997284,1.9699813426234074,34.18875048644732,41.95610035148575,2020.2197265625,,2020.2197265625,2020.2197265625
dqn,centralized,30,0,1471.9333333333334,54.76654738655412,1361,1580,1920.1666666666667,30.65163924663324,1853,1970,2324.9333333333334,58.92481084681845,2185,2424,192097.66666666666,2467.934754814841,186475,196416,173487.36666666667,7118.574191233238,154002,183016,8962.1,302.4417128227725,8141,9343,90.2607752402941,2.9334452863073546,81.64028549606257,94.58582266967107,0.9029086105695525,0.029343305368531386,0.8166738679116038,0.9461418364920334,401.60663282134453,4.302430364302423,391.2333659491194,410.5775996437319,918.5,37.97344807389355,854.0,1014.0,11924.066666666668,201.18047024797266,11543,12279,8209.991587743289,180.1128361298699,7878.238350515464,8682.645471180238,0.5248109429264922,0.015385176561774514,0.4926388713087083,0.5573841428644731,1786.095703125,,1786.095703125,1786.095703125
gcn,centralized,30,0,335.43333333333334,141.55239881116606,94,482,1823.6666666666667,70.13550103725734,1683,1935,3184.633333333333,142.22019918939526,2912,3410,180213.73333333334,4255.131846357414,170860,186275,162781.9,8115.50274793399,141061,178199,8646.133333333333,391.1467431957521,7849,9295,90.28390818786572,3.338999727397211,82.16698897923996,96.63510552916422,0.9030200504622309,0.033388216313202185,0.821861381062248,0.966539746593769,391.54715924915666,7.012469135322606,374.4586571537776,407.834438712847,981.3333333333334,69.37819061732104,894.0,1174.0,12215.633333333333,354.13580906817066,11538,12821,5454.328387820593,266.51561922163296,4962.775297619048,6211.257466529351,0.8779610966104209,0.042117411928678725,0.7936927088546023,1.0318096806141754,2366.501953125,,2366.501953125,2366.501953125
