round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.94383666310898,0.9994383666310899,0.9994383666310899,100,5,100,99,4,0.05616333689103944,414.0,148.32030000980012,13175
1,100,5,99.88746576382445,0.9988746576382446,0.9988746576382446,100,5,100,99,3,0.05637089928452616,414.0,0.142700009746477,0
2,100,5,99.83153583365102,0.9983153583365102,0.9983153583365102,100,5,100,99,3,0.055929930173438724,414.0,0.1134999911300838,0
3,100,5,99.77637249675999,0.9977637249675999,0.9977637249675999,100,5,100,99,3,0.05516333689103972,414.0,0.09020001743920147,0
4,100,5,99.72120915986895,0.9972120915986895,0.9972120915986895,100,5,100,99,3,0.05516333689103986,414.0,0.0853999808896333,0
5,100,5,99.6669506508341,0.996669506508341,0.996669506508341,100,5,100,100,6,0.054258509034874614,414.0,159.81319997808896,13175
6,100,5,99.61369214179923,0.9961369214179924,0.9961369214179924,100,5,100,100,5,0.05325850903487467,414.0,0.10400000610388815,0
7,100,5,99.56043363276436,0.9956043363276436,0.9956043363276436,100,5,100,100,5,0.05325850903487461,414.0,0.10790000669658184,0
8,100,5,99.50717512372947,0.9950717512372946,0.9950717512372946,100,5,100,100,5,0.05325850903487478,414.0,0.0987000239547342,0
9,100,5,99.45391661469462,0.9945391661469462,0.9945391661469462,100,5,100,100,5,0.053258509034874835,414.0,0.10279999696649611,0
10,100,5,99.3975686152701,0.993975686152701,0.993975686152701,100,5,100,100,4,0.05634799942452484,414.0,176.84259999077767,13175
11,100,5,99.34224061584558,0.9934224061584558,0.9934224061584558,100,5,100,99,3,0.05532799942452482,414.0,0.10350000229664147,0
12,100,5,99.2875723805725,0.992875723805725,0.992875723805725,100,5,100,100,3,0.05466823527311304,414.0,0.10559998918324709,0
13,100,5,99.23260668399608,0.9923260668399608,0.9923260668399608,100,5,100,100,3,0.05496569657641115,414.0,0.08840000373311341,0
14,100,5,99.17847759604906,0.9917847759604906,0.9917847759604906,100,5,100,100,3,0.0541290879470121,414.0,0.10639999527484179,0
15,100,5,99.12146570757471,0.9912146570757472,0.9912146570757472,100,5,100,99,6,0.05701188847436489,414.0,199.4115999841597,13175
16,100,5,99.06470667011212,0.9906470667011211,0.9906470667011211,100,5,100,100,5,0.056759037462606465,414.0,0.10670002666302025,0
17,100,5,99.00773411156764,0.9900773411156765,0.9900773411156765,100,5,100,99,5,0.056972558544466034,414.0,0.11150000500492752,0
18,100,5,98.95289225876708,0.9895289225876708,0.9895289225876708,100,5,100,100,5,0.0548418528005693,414.0,0.11580000864341855,0
19,100,5,98.89496734110885,0.9889496734110885,0.9889496734110885,100,5,100,99,5,0.05792491765823593,414.0,0.10159998782910407,0
20,100,5,98.83079651502581,0.9883079651502581,0.9883079651502581,100,5,100,97,6,0.06417082608304514,414.0,164.28919997997582,13175
21,100,5,98.76672988260549,0.9876672988260549,0.9876672988260549,100,5,100,96,5,0.06406663242032717,414.0,0.10579999070614576,0
22,100,5,98.70266325018515,0.9870266325018515,0.9870266325018515,100,5,100,96,5,0.06406663242032717,414.0,0.08319999324157834,0
23,100,5,98.63949242410213,0.9863949242410213,0.9863949242410213,100,5,100,97,5,0.0631708260830448,414.0,0.10209999163635075,0
24,100,5,98.5760274918551,0.985760274918551,0.985760274918551,100,5,100,98,5,0.06346493224701288,414.0,0.10450000991113484,0
25,100,5,98.52187320959408,0.9852187320959408,0.9852187320959408,100,5,100,99,5,0.05415428226105523,414.0,168.5155000013765,13175
26,100,5,98.46871892733303,0.9846871892733303,0.9846871892733303,100,5,100,99,4,0.053154282261055785,414.0,0.09819999104365706,0
27,100,5,98.41556464507197,0.9841556464507196,0.9841556464507196,100,5,100,99,4,0.053154282261055785,414.0,0.10190001921728253,0
28,100,5,98.36241036281092,0.9836241036281091,0.9836241036281091,100,5,100,99,4,0.053154282261055785,414.0,0.10530001600272954,0
29,100,5,98.30925608054989,0.9830925608054989,0.9830925608054989,100,5,100,99,4,0.05315428226105556,414.0,0.10209999163635075,0
30,100,5,98.25561889171318,0.9825561889171318,0.9825561889171318,100,5,100,100,5,0.05363718883669244,414.0,166.82589999982156,13175
