round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,10,99.93762158575582,0.9993762158575582,0.9993762158575582,100,9,100,92,110,0.062378414244239164,218.44444444444446,5.734399979701266,900
1,100,4,99.88353251596048,0.9988353251596048,0.9988353251596048,100,4,100,100,104,0.054089069795355535,514.0,6.11760001629591,384
2,100,2,99.82984940802615,0.9982984940802615,0.9982984940802615,100,1,100,48,102,0.053683107934360874,974.0,6.290299992542714,196
3,100,2,99.77526281139494,0.9977526281139494,0.9977526281139494,100,1,100,29,102,0.05458659663124027,594.0,6.600799999432638,196
4,100,5,99.72082892954896,0.9972082892954895,0.9972082892954895,100,5,100,100,105,0.054433881846006144,414.0,6.720999983372167,475
5,100,6,99.66179038812244,0.9966179038812244,0.9966179038812244,100,5,100,82,106,0.059038541426553515,342.0,6.377300014719367,564
6,100,6,99.59791290393856,0.9959791290393857,0.9959791290393857,100,4,100,65,106,0.06387748418388955,339.0,5.758000013884157,564
7,100,4,99.54247317676342,0.9954247317676342,0.9954247317676342,100,4,100,100,104,0.05543972717520729,514.0,10.45269999303855,384
8,100,4,99.48492141236295,0.9948492141236295,0.9948492141236295,100,3,100,79,104,0.05755176440046894,540.6666666666666,8.88810001197271,384
9,100,3,99.42733408504755,0.9942733408504755,0.9942733408504755,100,3,100,100,103,0.057587327315443027,680.6666666666666,6.103799998527393,291
10,100,5,99.36075848022053,0.9936075848022052,0.9936075848022052,100,3,100,71,105,0.06657560482704872,487.3333333333333,5.647300014970824,475
11,100,5,99.30458835953378,0.9930458835953379,0.9930458835953379,100,4,100,58,105,0.05617012068680616,304.0,5.821700004162267,475
12,100,6,99.24407168253533,0.9924407168253534,0.9924407168253534,100,5,100,81,106,0.06051667699846919,338.0,8.617199986474589,564
13,100,3,99.18303682808302,0.9918303682808302,0.9918303682808302,100,1,100,37,103,0.06103485445233259,754.0,5.560199992032722,291
14,100,5,99.12808808175323,0.9912808808175323,0.9912808808175323,100,5,100,100,105,0.05494874632980429,414.0,5.471200012834743,475
15,100,14,99.04831743668665,0.9904831743668665,0.9904831743668665,100,12,100,88,114,0.07977064506666165,160.66666666666666,4.608299990650266,1204
16,100,6,98.9866941069158,0.9898669410691581,0.9898669410691581,100,5,100,86,106,0.06162332977085094,358.0,5.096200009575114,564
17,100,6,98.93075880227222,0.9893075880227222,0.9893075880227222,100,6,100,100,106,0.05593530464361751,347.3333333333333,5.136399995535612,564
18,100,4,98.87352717879119,0.9887352717879119,0.9887352717879119,100,3,100,57,104,0.057231623481054594,394.0,5.199300008825958,384
19,100,0,98.70956080363801,0.9870956080363801,0.9870956080363801,100,83,100,83,0,0.16396637515319834,17.0,0.42070000199601054,0
20,100,5,98.64807419182912,0.9864807419182913,0.9864807419182913,100,4,100,91,105,0.06148661180891124,469.0,6.823300005635247,475
