round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95265499858695,0.9995265499858695,0.9995265499858695,100,5,100,100,6,0.047345001413064476,414.0,2535.025399993174,590240
1,100,5,99.90461608247182,0.9990461608247182,0.9990461608247182,100,4,100,75,5,0.04803891611512379,389.0,0.13749999925494194,0
2,100,5,99.85742412370773,0.9985742412370773,0.9985742412370773,100,5,100,100,5,0.04719195876409406,414.0,0.10960001964122057,0
3,100,5,99.80938520759263,0.9980938520759263,0.9980938520759263,100,4,100,75,5,0.048038916115124175,389.0,0.10499998461455107,0
4,100,5,99.76134629147751,0.997613462914775,0.997613462914775,100,4,100,75,5,0.0480389161151244,389.0,0.10309999925084412,0
5,100,5,99.71124949586796,0.9971124949586796,0.9971124949586796,100,4,100,81,6,0.05009679560955552,419.0,2344.09789997153,590240
6,100,5,99.6621527002584,0.996621527002584,0.996621527002584,100,4,100,81,5,0.04909679560955549,419.0,0.1094000181183219,0
7,100,5,99.61197656071984,0.9961197656071984,0.9961197656071984,100,4,100,81,5,0.050176139538575804,419.0,0.12049998622387648,0
8,100,5,99.56180042118127,0.9956180042118128,0.9956180042118128,100,4,100,81,5,0.050176139538575804,419.0,0.1047999830916524,0
9,100,5,99.51270362557172,0.9951270362557172,0.9951270362557172,100,4,100,81,5,0.0490967956095556,419.0,0.10500001371838152,0
10,100,5,99.46291662109195,0.9946291662109195,0.9946291662109195,100,4,100,79,6,0.049787004479788954,409.0,2320.90709998738,590240
11,100,5,99.41412961661217,0.9941412961661217,0.9941412961661217,100,4,100,79,5,0.04878700447978912,409.0,0.10539998766034842,0
12,100,5,99.3653426121324,0.9936534261213239,0.9936534261213239,100,4,100,79,5,0.04878700447978912,409.0,0.09929999941959977,0
13,100,5,99.3165556076526,0.993165556076526,0.993165556076526,100,4,100,79,5,0.0487870044797869,409.0,0.10229999315924942,0
14,100,5,99.26776860317283,0.9926776860317282,0.9926776860317282,100,5,100,100,5,0.048787004479786344,414.0,0.10649999603629112,0
15,100,5,99.22040653669096,0.9922040653669096,0.9922040653669096,100,5,100,100,6,0.04736206648186925,414.0,2405.7299999985844,590240
16,100,5,99.17404447020911,0.9917404447020911,0.9917404447020911,100,5,100,100,5,0.046362066481869135,414.0,0.09940000018104911,0
17,100,5,99.12768240372723,0.9912768240372724,0.9912768240372724,100,5,100,100,5,0.04636206648186936,414.0,0.11079999967478216,0
18,100,5,99.08132033724537,0.9908132033724537,0.9908132033724537,100,5,100,100,5,0.046362066481869135,414.0,0.083099992480129,0
19,100,5,99.03495827076351,0.9903495827076351,0.9903495827076351,100,5,100,100,5,0.04636206648186936,414.0,0.08420000085607171,0
20,100,5,98.98383613971637,0.9898383613971637,0.9898383613971637,100,3,100,56,6,0.05112213104714525,387.3333333333333,2335.561299987603,590240
21,100,5,98.93371400866921,0.9893371400866922,0.9893371400866922,100,3,100,56,5,0.0501221310471458,387.3333333333333,0.10289999772794545,0
22,100,5,98.88175896446671,0.9888175896446671,0.9888175896446671,100,3,100,56,5,0.0519550442025114,387.3333333333333,0.10000000474974513,0
23,100,5,98.82980392026421,0.9882980392026421,0.9882980392026421,100,2,100,33,5,0.0519550442025114,344.0,0.1002000062726438,0
24,100,5,98.77784887606171,0.9877784887606171,0.9877784887606171,100,3,100,56,5,0.0519550442025114,387.3333333333333,0.10320000001229346,0
25,100,5,98.73011355440372,0.9873011355440372,0.9873011355440372,100,5,100,100,6,0.047735321658024965,414.0,2318.25840001693,590240
26,100,5,98.68337823274567,0.9868337823274567,0.9868337823274567,100,5,100,100,5,0.04673532165802552,414.0,0.10199999087490141,0
27,100,5,98.63664291108765,0.9863664291108765,0.9863664291108765,100,5,100,100,5,0.0467353216580253,414.0,0.09919999865815043,0
28,100,5,98.58990758942963,0.9858990758942963,0.9858990758942963,100,5,100,100,5,0.0467353216580253,414.0,0.10259999544359744,0
29,100,5,98.54317226777162,0.9854317226777163,0.9854317226777163,100,5,100,100,5,0.0467353216580253,414.0,0.12050001532770693,0
30,100,5,98.49404312034052,0.9849404312034052,0.9849404312034052,100,4,100,70,6,0.049129147431092424,364.0,2302.24679998355,590240
31,100,5,98.44591397290942,0.9844591397290943,0.9844591397290943,100,4,100,70,5,0.048129147431091646,364.0,0.142400007462129,0
32,100,5,98.39778482547834,0.9839778482547834,0.9839778482547834,100,4,100,70,5,0.04812914743109187,364.0,0.11930000619031489,0
33,100,5,98.34965567804727,0.9834965567804727,0.9834965567804727,100,4,100,70,5,0.04812914743109231,364.0,0.10649999603629112,0
34,100,5,98.30152653061617,0.9830152653061617,0.9830152653061617,100,4,100,70,5,0.04812914743109187,364.0,0.10659999679774046,0
