round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,4,99.96938079172996,0.9996938079172996,0.9996938079172996,42,4,39,39,108,0.03061920827008947,514.0,6.959699996514246,384
1,100,5,99.94252004134464,0.9994252004134464,0.9994252004134464,33,4,30,26,110,0.026860750385355885,414.0,7.23319998360239,475
2,100,3,99.92141382180476,0.9992141382180476,0.9992141382180476,26,3,24,24,106,0.021106219539896463,680.6666666666666,6.952299998374656,291
3,100,8,99.89152925533416,0.9989152925533417,0.9989152925533417,30,7,24,24,116,0.029884566470631174,279.7142857142857,7.315000024391338,736
4,100,4,99.86298055460657,0.9986298055460656,0.9986298055460656,29,4,26,26,108,0.028548700727632784,514.0,7.318000018130988,384
5,100,4,99.84569379677073,0.9984569379677073,0.9984569379677073,20,4,17,17,108,0.017286757835869915,514.0,6.7909000208601356,384
6,100,3,99.82248457330796,0.9982248457330796,0.9982248457330796,20,2,17,12,106,0.023209223462803602,754.0,6.794300017645583,291
7,100,11,99.78945334479552,0.9978945334479552,0.9978945334479552,21,5,15,10,122,0.03303122851248669,250.0,6.665900000371039,979
8,100,4,99.76169351226835,0.9976169351226836,0.9976169351226836,14,2,12,6,108,0.027759832527184863,684.0,7.207800023024902,384
9,100,7,99.74290229766574,0.9974290229766574,0.9974290229766574,14,4,9,8,114,0.018791214602667694,329.0,6.693500006804243,651
10,100,6,99.72338448027291,0.9972338448027291,0.9972338448027291,17,4,13,10,112,0.019517817392855352,299.0,6.467600003816187,564
11,100,2,99.70090549336328,0.9970090549336328,0.9970090549336328,16,1,14,11,104,0.02247898690967376,1694.0,7.114800013368949,196
12,100,2,99.68419053037894,0.9968419053037895,0.9968419053037895,20,2,18,18,104,0.01671496298436026,1014.0,6.7273000022396445,196
13,100,3,99.66834829693522,0.9966834829693522,0.9966834829693522,15,3,12,12,106,0.015842233443729703,680.6666666666666,6.195100024342537,291
14,100,7,99.63738992093323,0.9963738992093323,0.9963738992093323,19,5,15,12,114,0.030958376002033106,366.0,8.081000007223338,651
15,100,7,99.61839108283743,0.9961839108283743,0.9961839108283743,15,5,12,12,114,0.018998838095829085,350.0,6.171599990921095,651
16,100,3,99.60040007777025,0.9960040007777025,0.9960040007777025,18,3,15,15,106,0.017991005067236054,680.6666666666666,8.708700013812631,291
17,100,5,99.58428283568657,0.9958428283568657,0.9958428283568657,15,4,11,11,110,0.016117242083714234,499.0,6.611199991311878,475
18,100,9,99.54579870872661,0.9954579870872661,0.9954579870872661,23,6,15,11,118,0.038484126960001086,277.3333333333333,5.363600008422509,819
19,100,3,99.527252734624,0.9952725273462399,0.9952725273462399,20,3,17,17,106,0.018545974102644913,680.6666666666666,6.183599994983524,291
20,100,5,99.51002572258356,0.9951002572258356,0.9951002572258356,14,4,11,11,110,0.01722701204047905,469.0,7.907499995781109,475
21,100,7,99.48699268859218,0.9948699268859218,0.9948699268859218,18,6,13,13,114,0.023033033991434415,307.3333333333333,8.121100021526217,651
22,100,8,99.46191623922911,0.9946191623922911,0.9946191623922911,21,7,17,17,116,0.025076449363122144,288.2857142857143,6.700500001898035,736
23,100,5,99.43960726554303,0.9943960726554303,0.9943960726554303,19,5,15,15,110,0.022308973686135714,414.0,7.5422000081744045,475
24,100,5,99.41353659499327,0.9941353659499328,0.9941353659499328,15,3,11,5,110,0.026070670549782182,514.0,6.4362999983131886,475
25,100,6,99.39399705861814,0.9939399705861814,0.9939399705861814,17,5,12,10,112,0.01953953637519046,338.0,6.698399985907599,564
26,100,3,99.37952948807302,0.9937952948807302,0.9937952948807302,12,1,10,7,106,0.014467570545163566,934.0,7.759800006169826,291
27,100,3,99.36171399170631,0.9936171399170631,0.9936171399170631,13,1,11,6,106,0.017815496366741068,1354.0,7.971999992150813,291
28,100,4,99.34037672157167,0.9934037672157168,0.9934037672157168,14,3,12,7,108,0.021337270134654585,494.0,7.601299992529675,384
29,100,6,99.318710015893,0.9931871001589301,0.9931871001589301,21,6,17,17,112,0.021666705678730525,347.3333333333333,7.291599991731346,564
30,100,5,99.2929790054844,0.9929297900548439,0.9929297900548439,19,4,16,16,110,0.025731010408647448,444.0,7.026899984339252,475
31,100,7,99.26116620190713,0.9926116620190713,0.9926116620190713,21,4,16,12,114,0.03181280357731742,364.0,7.538599980762228,651
32,100,6,99.23692650688055,0.9923692650688055,0.9923692650688055,22,4,17,8,112,0.024239695026632146,294.0,6.878199987113476,564
33,100,7,99.2135750945986,0.9921357509459859,0.9921357509459859,20,4,16,13,114,0.02335141228199944,324.0,7.686900004046038,651
34,100,5,99.19368531803056,0.9919368531803056,0.9919368531803056,15,2,11,5,110,0.019889776568100648,334.0,6.278599990764633,475
35,100,0,99.17564065879684,0.9917564065879684,0.9917564065879684,14,12,14,12,0,0.018044659233720117,17.0,0.7167999865487218,0
36,100,5,99.15764728839564,0.9915764728839563,0.9915764728839563,12,3,8,7,110,0.01799337040122795,394.0,6.587600015336648,475
37,100,4,99.1419368633671,0.9914193686336711,0.9914193686336711,13,4,10,10,108,0.0157104250285669,514.0,6.629599985899404,384
38,100,4,99.12412561643522,0.9912412561643522,0.9912412561643522,17,4,14,14,108,0.017811246931920377,514.0,5.931899999268353,384
39,100,5,99.10512898482148,0.9910512898482148,0.9910512898482148,16,4,13,13,110,0.018996631613776405,464.0,6.519399990793318,475
40,100,3,99.08929453957204,0.9908929453957204,0.9908929453957204,18,3,15,15,106,0.015834445249484075,680.6666666666666,8.186999999452382,291
41,100,9,99.06245237396513,0.9906245237396513,0.9906245237396513,20,7,16,13,118,0.026842165606960955,256.85714285714283,7.049699983326718,819
42,100,5,99.0434687040266,0.9904346870402659,0.9904346870402659,17,4,13,13,110,0.01898366993859779,474.0,7.32949998928234,475
43,100,5,99.02323824343132,0.9902323824343132,0.9902323824343132,18,5,14,14,110,0.02023046059530431,414.0,7.06870001158677,475
44,100,5,98.99868178932985,0.9899868178932985,0.9899868178932985,20,2,18,16,110,0.024556454101517855,734.0,6.921699998201802,475
45,100,5,98.97796317393443,0.9897796317393442,0.9897796317393442,23,5,18,18,110,0.020718615395467266,414.0,7.366800011368468,475
46,100,8,98.95509754308166,0.9895509754308166,0.9895509754308166,22,6,17,14,116,0.022865630852811014,217.33333333333334,6.595499988179654,736
47,100,3,98.93816553319392,0.9893816553319392,0.9893816553319392,18,3,16,16,106,0.01693200988777055,680.6666666666666,7.172599987825379,291
48,100,6,98.91306380692141,0.9891306380692142,0.9891306380692142,15,4,10,8,112,0.025101726272570568,284.0,6.624000001465902,564
49,100,6,98.89469596607081,0.9889469596607081,0.9889469596607081,19,4,16,16,112,0.018367840850634254,359.0,7.651399995665997,564
50,100,7,98.86988383501831,0.9886988383501831,0.9886988383501831,26,6,19,16,114,0.024812131052566855,280.6666666666667,6.912399985594675,651
51,100,3,98.85247292250749,0.9885247292250748,0.9885247292250748,13,2,12,12,106,0.01741091251086746,914.0,7.016399991698563,291
52,100,2,98.8320484894312,0.988320484894312,0.988320484894312,18,1,16,5,104,0.02042443307629105,494.0,6.3532000058330595,196
53,100,6,98.80938205956257,0.9880938205956257,0.9880938205956257,25,4,21,14,112,0.022666429868696047,279.0,6.300199980614707,564
54,100,2,98.7938371683912,0.9879383716839121,0.9879383716839121,16,2,14,14,104,0.01554489117138691,1014.0,6.439999997382984,196
55,100,4,98.76775231116706,0.9876775231116706,0.9876775231116706,18,2,15,14,108,0.02608485722415832,794.0,6.545200012624264,384
56,100,6,98.7509081276053,0.987509081276053,0.987509081276053,16,4,14,14,112,0.016844183561811832,369.0,6.144999992102385,564
57,100,3,98.73213407729804,0.9873213407729804,0.9873213407729804,19,3,16,16,106,0.018774050307304835,680.6666666666666,6.444099999498576,291
58,100,3,98.71111951859619,0.9871111951859619,0.9871111951859619,15,1,13,11,106,0.021014558701882624,1134.0,6.113900017226115,291
59,100,9,98.68339785768433,0.9868339785768433,0.9868339785768433,20,6,15,14,118,0.02772166091193151,260.6666666666667,5.796399986138567,819
60,100,3,98.66878055491618,0.9866878055491618,0.9866878055491618,15,2,14,14,106,0.014617302768184626,934.0,7.358200004091486,291
61,100,6,98.64784128749719,0.9864784128749718,0.9864784128749718,15,3,11,10,112,0.020939267419032515,487.3333333333333,7.035999995423481,564
62,100,5,98.62458484836267,0.9862458484836267,0.9862458484836267,14,3,10,9,110,0.023256439134569762,574.0,7.099600014043972,475
63,100,6,98.60948884548299,0.9860948884548298,0.9860948884548298,12,3,10,10,112,0.015096002879705361,427.3333333333333,7.617499999469146,564
64,100,7,98.5918091318804,0.9859180913188039,0.9859180913188039,14,4,11,11,114,0.017679713602649194,414.0,7.136300002457574,651
65,100,10,98.56724233470547,0.9856724233470547,0.9856724233470547,16,4,11,10,120,0.024566797174978783,324.0,7.918299990706146,900
66,100,5,98.53901175276194,0.9853901175276194,0.9853901175276194,15,3,11,8,110,0.028230581943563537,387.3333333333333,6.617300008656457,475
67,100,5,98.51989837471416,0.9851989837471415,0.9851989837471415,17,4,13,13,110,0.01911337804773594,459.0,6.67609999072738,475
68,100,4,98.50421655319344,0.9850421655319345,0.9850421655319345,14,4,10,10,108,0.015681821520738826,514.0,7.822600018698722,384
69,100,3,98.48938959058775,0.9848938959058775,0.9848938959058775,12,3,10,10,106,0.014826962605693383,680.6666666666666,7.1546999970451,291
70,100,4,98.47252475569714,0.9847252475569713,0.9847252475569713,19,4,15,15,108,0.016864834890614855,514.0,6.26559997908771,384
71,100,5,98.45384742679069,0.9845384742679069,0.9845384742679069,16,3,12,8,110,0.018677328906436363,354.0,6.787399994209409,475
72,100,5,98.43438490803025,0.9843438490803025,0.9843438490803025,17,5,12,12,110,0.019462518760432923,414.0,6.680400023469701,475
73,100,5,98.41681358307193,0.9841681358307193,0.9841681358307193,16,5,11,11,110,0.017571324958334023,414.0,6.3578999834135175,475
74,100,3,98.40221530168262,0.9840221530168262,0.9840221530168262,15,3,13,13,106,0.014598281389315515,680.6666666666666,6.269599980441853,291
75,100,5,98.38144203583568,0.9838144203583568,0.9838144203583568,19,4,14,10,110,0.020773265846942834,354.0,6.298699998296797,475
76,100,5,98.36353721802438,0.9836353721802438,0.9836353721802438,13,5,8,8,110,0.017904817811291496,414.0,6.1249999853316694,475
77,100,7,98.34526832097471,0.9834526832097471,0.9834526832097471,14,5,11,8,114,0.01826889704965584,214.0,6.2670000188518316,651
78,100,3,98.32197427343507,0.9832197427343508,0.9832197427343508,16,1,13,8,106,0.023294047539649032,1034.0,6.0603999882005155,291
79,100,4,98.29518333254101,0.9829518333254101,0.9829518333254101,20,3,16,13,108,0.026790940894050763,547.3333333333334,6.357999984174967,384
80,100,3,98.28005410335328,0.9828005410335328,0.9828005410335328,13,2,11,6,106,0.015129229187726967,484.0,8.131500013405457,291
81,100,5,98.26169081499026,0.9826169081499025,0.9826169081499025,16,4,12,12,110,0.01836328836304113,469.0,7.582699996419251,475
82,100,2,98.24457885051883,0.9824457885051884,0.9824457885051884,17,2,16,15,104,0.017111964471430374,1014.0,7.367000012891367,196
83,100,5,98.22356053128594,0.9822356053128594,0.9822356053128594,18,4,14,12,110,0.02101831923289499,384.0,7.585700019262731,475
84,100,6,98.2027220604087,0.982027220604087,0.982027220604087,17,6,12,12,112,0.020838470877228232,347.3333333333333,7.3890000057872385,564
85,100,4,98.18080539134894,0.9818080539134894,0.9818080539134894,16,2,12,5,108,0.021916669059754534,514.0,6.877300009364262,384
86,100,4,98.16254443649797,0.9816254443649797,0.9816254443649797,15,4,12,12,108,0.018260954850966238,514.0,6.7983999906573445,384
87,100,4,98.14898528752248,0.9814898528752248,0.9814898528752248,12,3,9,9,108,0.01355914897550825,554.0,7.044800004223362,384
88,100,3,98.12883039864231,0.9812883039864231,0.9812883039864231,19,2,16,11,106,0.0201548888801788,724.0,8.13700002618134,291
89,100,7,98.1014343232522,0.981014343232522,0.981014343232522,15,4,10,9,114,0.02739607539008171,404.0,7.318799995118752,651
90,100,3,98.08803148669018,0.9808803148669019,0.9808803148669019,13,3,10,10,106,0.013402836562009357,680.6666666666666,6.7183999926783144,291
91,100,13,98.04971370057918,0.9804971370057918,0.9804971370057918,24,8,15,13,124,0.03831778611104841,186.5,7.024000020464882,1131
92,100,4,98.03496378390454,0.9803496378390455,0.9803496378390455,13,3,10,10,108,0.014749916674626329,560.6666666666666,7.490799995139241,384
93,100,3,98.0128738494355,0.9801287384943549,0.9801287384943549,17,3,14,14,106,0.0220899344690364,680.6666666666666,6.537099980050698,291
94,100,8,97.99263886248124,0.9799263886248124,0.9799263886248124,10,3,7,6,116,0.020234986954253076,314.0,6.319699983578175,736
95,100,2,97.97836296578406,0.9797836296578406,0.9797836296578406,11,1,9,4,104,0.014275896697174328,1134.0,6.835899985162541,196
96,100,6,97.95905561690353,0.9795905561690352,0.9795905561690352,6,1,5,4,110,0.01930734888052621,1094.0,6.30269999965094,564
97,100,4,97.94798028169433,0.9794798028169432,0.9794798028169432,7,2,5,5,108,0.011075335209207005,454.0,6.235200009541586,384
98,100,9,97.92792823152907,0.9792792823152907,0.9792792823152907,12,5,8,8,118,0.02005205016525391,238.0,6.146600004285574,819
99,100,5,97.91178166234747,0.9791178166234746,0.9791178166234746,11,3,8,8,110,0.016146569181616055,567.3333333333334,5.955500004347414,475
100,100,8,97.88186238606455,0.9788186238606456,0.9788186238606456,18,5,11,9,116,0.02991927628288904,314.0,7.019999990006909,736
