round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.94256308413522,0.9994256308413522,0.9994256308413522,100,5,100,98,5,0.05743691586480873,414.0,3.1623000104445964,10575
1,100,5,99.88505668384109,0.9988505668384109,0.9988505668384109,100,5,100,98,6,0.05750640029413712,414.0,2.3384999949485064,10575
2,100,5,99.82818490662304,0.9982818490662304,0.9982818490662304,100,5,100,97,5,0.05687177721805087,414.0,2.1792000043205917,10575
3,100,5,99.77241136180879,0.9977241136180879,0.9977241136180879,100,5,100,99,4,0.0557735448142721,414.0,2.7382999833207577,10575
4,100,5,99.71618825750488,0.9971618825750488,0.9971618825750488,100,5,100,99,6,0.05622310430389424,414.0,2.304599998751655,10575
5,100,5,99.65718108476452,0.9965718108476451,0.9965718108476451,100,5,100,97,6,0.05900717274038608,414.0,2.4110000231303275,10575
6,100,5,99.60095798046066,0.9960095798046066,0.9960095798046066,100,5,100,99,6,0.05622310430389427,414.0,2.3159999982453883,10575
7,100,5,99.5457403884923,0.9954574038849231,0.9954574038849231,100,5,100,98,6,0.05521759196835013,414.0,2.3363000073004514,10575
8,100,5,99.49409532760491,0.9949409532760491,0.9949409532760491,100,5,100,100,6,0.05164506088738524,414.0,2.227999997558072,10575
9,100,5,99.43478719273159,0.9943478719273159,0.9943478719273159,100,5,100,97,6,0.0593081348733443,414.0,2.3449999862350523,10575
10,100,5,99.37954269113519,0.9937954269113518,0.9937954269113518,100,5,100,99,6,0.05524450159640715,414.0,2.4157000007107854,10575
11,100,5,99.32477536427774,0.9932477536427774,0.9932477536427774,100,5,100,100,6,0.05476732685745833,414.0,2.482099982444197,10575
12,100,5,99.26839995822209,0.9926839995822209,0.9926839995822209,100,5,100,98,5,0.05637540605567737,414.0,1.739100000122562,10575
13,100,5,99.21203361419708,0.9921203361419708,0.9921203361419708,100,5,100,98,5,0.05636634402499796,414.0,2.411900000879541,10575
14,100,5,99.15581050989321,0.9915581050989322,0.9915581050989322,100,5,100,99,6,0.05622310430389177,414.0,2.343000000109896,10575
15,100,5,99.09957418268421,0.990995741826842,0.990995741826842,100,5,100,98,5,0.056236327209014614,414.0,1.886400015791878,10575
16,100,5,99.045128638189,0.99045128638189,0.99045128638189,100,5,100,100,6,0.05444554449522476,414.0,1.4126999885775149,10575
17,100,5,98.99033113795035,0.9899033113795035,0.9899033113795035,100,5,100,98,6,0.05479750023864005,414.0,2.1464000164996833,10575
18,100,5,98.93507779263757,0.9893507779263757,0.9893507779263757,100,5,100,99,6,0.05525334531280368,414.0,1.5845999878365546,10575
19,100,5,98.87810896691309,0.9887810896691309,0.9887810896691309,100,5,100,98,6,0.05696882572449824,414.0,2.104500017594546,10575
20,100,5,98.82123143914582,0.9882123143914582,0.9882123143914582,100,5,100,97,5,0.056877527767249525,414.0,2.30089999968186,10575
21,100,5,98.7664641122884,0.987664641122884,0.987664641122884,100,5,100,100,6,0.05476732685745711,414.0,2.0451000018510967,10575
22,100,5,98.71173287943097,0.9871173287943097,0.9871173287943097,100,5,100,99,5,0.054731232857451184,414.0,1.9853999838232994,10575
23,100,5,98.65636002711884,0.9865636002711884,0.9865636002711884,100,5,100,98,6,0.05537285231214262,414.0,2.2093000006861985,10575
24,100,5,98.60391768145625,0.9860391768145625,0.9860391768145625,100,5,100,100,6,0.05244234566255601,414.0,2.4545000051148236,10575
25,100,5,98.5482608496844,0.985482608496844,0.985482608496844,100,5,100,98,6,0.05565683177187397,414.0,2.3930000024847686,10575
26,100,5,98.49297900027184,0.9849297900027184,0.9849297900027184,100,5,100,99,6,0.055281849412572415,414.0,2.474000008078292,10575
27,100,5,98.43803198521775,0.9843803198521774,0.9843803198521774,100,5,100,99,6,0.05494701505408783,414.0,1.365300006000325,10575
28,100,5,98.38455451557122,0.9838455451557122,0.9838455451557122,100,5,100,99,6,0.053477469646547204,414.0,2.350099995965138,10575
29,100,5,98.32825857094903,0.9832825857094903,0.9832825857094903,100,5,100,99,5,0.05629594462219267,414.0,2.1458000119309872,10575
30,100,5,98.27459511854956,0.9827459511854956,0.9827459511854956,100,5,100,99,5,0.05366345239949388,414.0,2.000500011490658,10575
31,100,5,98.21921785055893,0.9821921785055894,0.9821921785055894,100,5,100,99,5,0.05537726799063569,414.0,2.793699997710064,10575
32,100,5,98.16772290740886,0.9816772290740886,0.9816772290740886,100,5,100,100,6,0.05149494315008907,414.0,2.3518999805673957,10575
33,100,5,98.11527038062513,0.9811527038062513,0.9811527038062513,100,5,100,100,6,0.05245252678371126,414.0,2.2183999826665968,10575
34,100,5,98.06389960975372,0.9806389960975372,0.9806389960975372,100,5,100,100,6,0.05137077087143127,414.0,1.57789999502711,10575
35,100,5,98.01235287785536,0.9801235287785537,0.9801235287785537,100,5,100,100,6,0.05154673189837622,414.0,2.496800007065758,10575
36,100,5,97.96040514753355,0.9796040514753355,0.9796040514753355,100,5,100,100,6,0.051947730321830976,414.0,1.6345999902114272,10575
37,100,5,97.90373766078946,0.9790373766078946,0.9790373766078946,100,5,100,98,6,0.05666748674408195,414.0,2.2240999969653785,10575
38,100,5,97.8509330305458,0.9785093303054581,0.9785093303054581,100,5,100,100,5,0.052804630243664885,414.0,2.1837999811396003,10575
39,100,5,97.80054066678427,0.9780054066678427,0.9780054066678427,100,5,100,100,6,0.05039236376151779,414.0,2.2677000088151544,10575
40,100,5,97.74768985957779,0.9774768985957779,0.9774768985957779,100,5,100,99,6,0.052850807206521466,414.0,2.2441999753937125,10575
41,100,5,97.6923375607192,0.976923375607192,0.976923375607192,100,5,100,98,6,0.05535229885857751,414.0,2.276599989272654,10575
42,100,5,97.63388496129964,0.9763388496129964,0.9763388496129964,100,5,100,99,5,0.05845259941958414,414.0,2.22090000170283,10575
43,100,5,97.57926689140523,0.9757926689140523,0.9757926689140523,100,5,100,99,5,0.05461806989444273,414.0,2.1686000109184533,10575
44,100,5,97.52700645206866,0.9752700645206867,0.9752700645206867,100,5,100,100,6,0.05226043933654889,414.0,2.1641000057570636,10575
45,100,5,97.47432234164495,0.9747432234164495,0.9747432234164495,100,5,100,99,6,0.05268411042371168,414.0,1.4052999904379249,10575
46,100,5,97.41826068134155,0.9741826068134155,0.9741826068134155,100,5,100,98,5,0.05606166030342363,414.0,2.6519999955780804,10575
47,100,5,97.36325570388415,0.9736325570388416,0.9736325570388416,100,5,100,98,5,0.055004977457393966,414.0,1.6765999898780137,10575
48,100,5,97.3086188869869,0.9730861888698691,0.9730861888698691,100,5,100,99,6,0.05463681689723998,414.0,2.338300022529438,10575
49,100,5,97.25499664506451,0.9725499664506451,0.9725499664506451,100,5,100,100,6,0.053622241922423264,414.0,1.9241000118199736,10575
50,100,5,97.20133296249512,0.9720133296249511,0.9720133296249511,100,5,100,99,6,0.05366368256939058,414.0,1.3941999932285398,10575
51,100,5,97.15020512957756,0.9715020512957756,0.9715020512957756,100,5,100,100,6,0.051127832917575056,414.0,2.3797999892849475,10575
52,100,5,97.10008730553534,0.9710008730553534,0.9710008730553534,100,5,100,100,6,0.0501178240422302,414.0,2.156899980036542,10575
53,100,5,97.0503784149242,0.970503784149242,0.970503784149242,100,5,100,100,6,0.049708890611152245,414.0,2.28459999198094,10575
54,100,5,97.00070590433361,0.9700070590433362,0.9700070590433362,100,5,100,100,6,0.049672510590605956,414.0,2.242300019133836,10575
55,100,5,96.94643979843302,0.9694643979843302,0.9694643979843302,100,5,100,99,6,0.05426610590057823,414.0,1.7820000066421926,10575
56,100,5,96.89752317685388,0.9689752317685388,0.9689752317685388,100,5,100,100,5,0.048916621579139896,414.0,2.5630000163801014,10575
57,100,5,96.84834447667411,0.9684834447667412,0.9684834447667412,100,5,100,100,6,0.04917870017977277,414.0,2.1560000022873282,10575
58,100,5,96.79190343252091,0.9679190343252091,0.9679190343252091,100,5,100,98,6,0.05644104415321882,414.0,2.1434999944176525,10575
59,100,5,96.73263243331947,0.9673263243331947,0.9673263243331947,100,5,100,100,5,0.059270999201455954,414.0,2.2653999913018197,10575
60,100,5,96.6808396602597,0.9668083966025971,0.9668083966025971,100,5,100,100,6,0.05179277305978758,414.0,2.2176000056788325,10575
61,100,5,96.62993573954903,0.9662993573954902,0.9662993573954902,100,5,100,99,6,0.05090392071066363,414.0,2.134499984094873,10575
62,100,5,96.5755779534665,0.9657557795346651,0.9657557795346651,100,5,100,99,5,0.05435778608249198,414.0,1.8703999812714756,10575
63,100,5,96.52252612903095,0.9652252612903095,0.9652252612903095,100,5,100,99,6,0.05305182443558287,414.0,1.882499986095354,10575
64,100,5,96.4706880563793,0.9647068805637931,0.9647068805637931,100,5,100,100,5,0.051838072651676725,414.0,2.205700002377853,10575
65,100,5,96.41949725288048,0.9641949725288047,0.9641949725288047,100,5,100,100,6,0.05119080349882532,414.0,2.2190000163391232,10575
66,100,5,96.3665129519274,0.9636651295192741,0.9636651295192741,100,5,100,99,6,0.05298430095306772,414.0,1.3670999906025827,10575
67,100,5,96.3165950146396,0.963165950146396,0.963165950146396,100,5,100,100,6,0.04991793728783733,414.0,2.2133999736979604,10575
68,100,5,96.26293783088192,0.9626293783088192,0.9626293783088192,100,5,100,100,6,0.05365718375768669,414.0,1.5113000117707998,10575
69,100,5,96.2133818667762,0.962133818667762,0.962133818667762,100,5,100,100,6,0.04955596410572749,414.0,2.196599991293624,10575
70,100,5,96.15907323117197,0.9615907323117198,0.9615907323117198,100,5,100,98,6,0.05430863560422505,414.0,2.1878999832551926,10575
71,100,5,96.10781981361394,0.9610781981361395,0.9610781981361395,100,5,100,100,6,0.051253417558045467,414.0,2.3437000054400414,10575
72,100,5,96.05461924908599,0.9605461924908599,0.9605461924908599,100,5,100,99,5,0.05320056452795141,414.0,1.8232000002171844,10575
73,100,5,96.00015710334146,0.9600015710334147,0.9600015710334147,100,5,100,100,6,0.05446214574454311,414.0,1.5334000054281205,10575
74,100,5,95.94654213148019,0.9594654213148018,0.9594654213148018,100,5,100,99,6,0.05361497186130615,414.0,2.1485999750439078,10575
75,100,5,95.89480278650535,0.9589480278650535,0.9589480278650535,100,5,100,100,5,0.0517393449748349,414.0,2.152999979443848,10575
76,100,5,95.83795347526026,0.9583795347526026,0.9583795347526026,100,5,100,97,6,0.05684931124510406,414.0,2.42089998209849,10575
77,100,5,95.78848485519882,0.9578848485519882,0.9578848485519882,100,5,100,100,6,0.04946862006146002,414.0,2.2259999823290855,10575
78,100,5,95.73982718871,0.9573982718870999,0.9573982718870999,100,5,100,100,6,0.04865766648882364,414.0,1.8568999948911369,10575
79,100,5,95.68986418807108,0.9568986418807108,0.9568986418807108,100,5,100,100,6,0.04996300063893244,414.0,2.52909999107942,10575
80,100,5,95.63114397621604,0.9563114397621604,0.9563114397621604,100,5,100,97,5,0.058720211855054494,414.0,2.286300004925579,10575
81,100,5,95.57787133287748,0.9557787133287747,0.9557787133287747,100,5,100,99,6,0.05327264333855375,414.0,2.192100015236065,10575
82,100,5,95.5286125896919,0.9552861258969191,0.9552861258969191,100,5,100,100,6,0.04925874318559487,414.0,2.223999996203929,10575
83,100,5,95.47881731537758,0.9547881731537758,0.9547881731537758,100,5,100,100,6,0.04979527431434594,414.0,2.206600009230897,10575
84,100,5,95.42994543165355,0.9542994543165355,0.9542994543165355,100,5,100,100,6,0.04887188372402829,414.0,2.275399980135262,10575
85,100,5,95.3787302576463,0.9537873025764629,0.9537873025764629,100,5,100,100,5,0.0512151740072575,414.0,1.7502999980933964,10575
86,100,5,95.32503807344648,0.9532503807344648,0.9532503807344648,100,5,100,99,6,0.0536921841998419,414.0,2.134900016244501,10575
87,100,5,95.27206303277065,0.9527206303277065,0.9527206303277065,100,5,100,99,6,0.05297504067584047,414.0,2.2643000120297074,10575
