round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.93759117309523,0.9993759117309523,0.9993759117309523,100,4,100,93,6,0.06240882690478304,479.0,4.451899993000552,12053
1,100,5,99.87778728615265,0.9987778728615265,0.9987778728615265,100,3,100,64,6,0.05980388694258028,440.6666666666667,4.483800003072247,12084
2,100,5,99.81945841606834,0.9981945841606834,0.9981945841606834,100,3,100,66,6,0.058328870084313006,454.0,4.559799999697134,12074
3,100,5,99.76516211819347,0.9976516211819347,0.9976516211819347,100,5,100,100,6,0.05429629787490903,414.0,4.0991999849211425,12051
4,100,5,99.70166477845075,0.9970166477845075,0.9970166477845075,100,3,100,39,6,0.06349733974271718,274.0,4.212300002109259,12047
5,100,5,99.64087928084831,0.996408792808483,0.996408792808483,100,2,100,17,6,0.060785497602459715,184.0,4.284700000425801,12058
6,100,5,99.58681231750222,0.9958681231750223,0.9958681231750223,100,3,100,55,6,0.054066963346075136,380.6666666666667,4.068799986271188,12052
7,100,5,99.53301025881518,0.9953301025881518,0.9953301025881518,100,3,100,61,6,0.05380205868706239,420.6666666666667,4.390600020997226,12063
8,100,5,99.48265391191349,0.9948265391191349,0.9948265391191349,100,5,100,100,6,0.05035634690170521,414.0,3.971900005126372,12037
9,100,5,99.42731490225421,0.994273149022542,0.994273149022542,100,4,100,70,6,0.05533900965930061,364.0,4.048200004035607,12046
10,100,5,99.37530882240772,0.9937530882240772,0.9937530882240772,100,4,100,77,6,0.052006079846508624,399.0,4.591200005961582,12053
11,100,5,99.31617055088141,0.9931617055088141,0.9931617055088141,100,3,100,70,6,0.059138271526310016,480.6666666666667,3.9461000123992562,12043
12,100,5,99.26148870583457,0.9926148870583457,0.9926148870583457,100,4,100,70,6,0.05468184504686824,364.0,4.230799997458234,12062
13,100,5,99.2087118544908,0.992087118544908,0.992087118544908,100,5,100,100,6,0.05277685134376686,414.0,4.094799980521202,12053
14,100,5,99.15330573832736,0.9915330573832736,0.9915330573832736,100,4,100,78,6,0.05540611616343594,404.0,4.724200000055134,12065
15,100,5,99.09986066040058,0.9909986066040058,0.9909986066040058,100,4,100,78,6,0.05344507792678632,404.0,4.117700009373948,12052
16,100,5,99.04231091231792,0.9904231091231792,0.9904231091231792,100,4,100,80,6,0.05754974808269009,414.0,3.82249997346662,12041
17,100,5,98.98753478061603,0.9898753478061603,0.9898753478061603,100,2,100,53,6,0.054776131701889774,544.0,4.097400000318885,12053
18,100,5,98.93126739269879,0.9893126739269879,0.9893126739269879,100,2,100,39,6,0.056267387917242395,404.0,3.825799998594448,12042
19,100,5,98.88098361109834,0.9888098361109834,0.9888098361109834,100,4,100,76,6,0.05028378160046354,394.0,4.044100001920015,12064
20,100,5,98.82382406661824,0.9882382406661825,0.9882382406661825,100,1,100,12,6,0.0571595444801114,254.0,2.574399986770004,12045
21,100,5,98.76294123818703,0.9876294123818703,0.9876294123818703,100,2,100,31,6,0.060882828431228164,324.0,4.517900000791997,12052
22,100,5,98.70729487754348,0.9870729487754347,0.9870729487754347,100,2,100,44,6,0.055646360643542,454.0,4.168599989498034,12035
23,100,5,98.65553415728878,0.9865553415728878,0.9865553415728878,100,3,100,67,6,0.05176072025470968,460.6666666666667,4.116800002520904,12059
24,100,5,98.60152998736122,0.9860152998736121,0.9860152998736121,100,2,100,52,6,0.054004169927568846,534.0,3.7714999925810844,12035
25,100,5,98.54963385182823,0.9854963385182823,0.9854963385182823,100,3,100,72,6,0.05189613553301742,494.0,3.9078999834600836,12056
26,100,5,98.49709117843058,0.9849709117843058,0.9849709117843058,100,3,100,60,6,0.05254267339765928,414.0,4.54850000096485,12058
27,100,5,98.44473742497075,0.9844473742497075,0.9844473742497075,100,3,100,62,6,0.052353753459814856,427.3333333333333,2.7871000056620687,12046
28,100,5,98.38842298207267,0.9838842298207267,0.9838842298207267,100,2,100,20,6,0.05631444289809795,214.0,2.9045999981462955,12034
29,100,5,98.33646150842179,0.9833646150842179,0.9833646150842179,100,3,100,68,6,0.05196147365088466,467.3333333333333,3.8425000093411654,12038
30,100,5,98.28072231512775,0.9828072231512774,0.9828072231512774,100,2,100,28,6,0.05573919329405741,294.0,2.9365000082179904,12038
31,100,5,98.22351801872152,0.9822351801872152,0.9822351801872152,100,2,100,45,6,0.05720429640625402,464.0,3.6016000085510314,12036
