protocol,n_censored_runs,fnd_mean,fnd_std,hnd_mean,hnd_std,lnd_mean,lnd_std,throughput_total_mean,throughput_total_std,readings_attempted_total_mean,readings_attempted_total_std,readings_delivered_total_mean,readings_delivered_total_std,pdr_percent_mean,pdr_percent_std,reporting_rate_mean,reporting_rate_std,data_yield_mean,data_yield_std,mean_residual_energy_final_mean,mean_residual_energy_final_std,mean_latency_ms_mean,mean_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,alive_node_auc_mean,alive_node_auc_std,total_control_packets_mean,total_control_packets_std,mean_setup_ms_mean,mean_setup_ms_std,total_runtime_s_mean,total_runtime_s_std,peak_memory_kb_mean,peak_memory_kb_std,ops_per_round_mean,ops_per_round_std
apteen,30,3908.0,119.84069886081387,5412.033333333334,131.52723156699588,6999.0,0.0,24506.1,279.83644853920384,72590.43333333333,1274.418073646471,72452.73333333334,1272.2098865369262,99.81030540837529,0.02589186727289358,0.1676152066670574,0.0018056853793577592,0.13260319821679123,0.0017553838961014748,0.002786512242854281,0.0011133294758933988,414.6818993813271,3.321305399132355,978.6666666666666,15.47708725455334,546408.5666666667,7966.4228275817795,586126.7666666667,9166.932061842543,0.8242398586105255,0.05195009497264109,17.626191800004595,1.0934680120587885,5361.7265625,,331.0680904761905,6.902199786161178
dqn,0,1495.9,67.62337384111481,1961.3333333333333,28.531088105884553,2428.766666666667,51.03797324192721,9960.933333333332,94.48515056960495,197304.2,1689.7842016884472,196320.56666666668,1709.0179612730883,99.50137720014261,0.0834463649368705,1.0003300330177456,2.97207668702439e-05,0.9953421780450583,0.0008579369374383499,0.0,0.0,408.2890434475813,1.3796239629497717,908.6666666666666,36.74078193875662,197239.1,1688.6635676852825,12301.933333333332,155.2577241863999,0.5264166947536405,0.020990332231437463,5.308139810346645,0.16674147940558337,1899.572265625,,8019.228975662873,162.71886830199082
fuzzy_t2,0,1491.3666666666666,43.52762367725242,2054.9666666666667,16.684668439005318,2180.0333333333333,42.01106860170866,10029.966666666667,154.10732564058063,196897.7,2374.566125886347,196139.33333333334,2341.7911702492756,99.61499764461065,0.056513640767298264,1.0003870857126345,1.7145555815665783e-05,0.9965355753574471,0.000571934807259522,0.0,0.0,404.88099790235015,3.693956983919556,1015.1333333333326,41.588073002868676,196821.53333333333,2375.351556315813,9907.766666666666,208.43401061633196,4.991227039294456,0.17525185210591035,14.581225831033501,0.5237476433175743,1692.5703125,,2276.4818636673517,35.58765736775161
gcn,0,334.06666666666666,143.18879105941733,1902.8333333333333,64.35841628820924,3218.5666666666666,111.11028486282828,9630.333333333334,160.20123838974902,185800.26666666666,2921.574905155913,183544.16666666666,2899.5565069130157,98.78574115611318,0.15009491610459033,1.0001744743400822,3.638026336657592e-05,0.9880298047994458,0.001526947609665414,0.0,0.0,395.22875792361356,3.6331969717338413,976.0999999999998,77.19493908728488,185767.9,2924.02370797974,12490.533333333333,302.0350211862666,0.9114620139828953,0.03448169047657916,6.879668403457015,0.25545284246597677,2413.361328125,,5573.3793330986055,188.07444885276215
leach,0,1474.0,26.35042366995656,1703.6333333333334,22.672303220743437,2189.133333333333,42.235573609943074,12189.933333333332,448.1583720480759,174764.76666666666,1515.081121837087,173774.8,1536.163815797494,99.43343020364608,0.08603344827501641,1.0003627708666871,2.761423205202827e-05,0.9946950298193682,0.000875620106149628,0.0,0.0,294.69157502784697,10.563510457872368,856.9000000000002,16.934661455744596,174701.4,1515.723671477048,179996.83333333334,1585.6358255489713,0.7955353941192361,0.03166852479269232,6.49331813792955,0.18124924127911177,1780.9765625,,355.9112007996642,7.450248362409001
nsga2,0,1956.3333333333333,17.628999097946608,2030.7333333333333,18.51920407415583,2504.766666666667,204.09103501798563,10638.766666666666,204.16907856891103,206477.66666666666,1221.3114865284927,206009.5,1255.356571134136,99.77317302070774,0.05740561679895996,1.0004111764714214,2.0486648639388027e-05,0.9981419827019803,0.0005900459010984449,0.0,0.0,401.44527107247836,7.710653584300825,575.3333333333334,16.55363973589335,206392.8,1220.3088755409992,10965.4,131.2811145385457,104.54105807946722,10.17724827771943,266.0239983103479,31.915380902258224,2013.1494140625,,95814.78255376399,7464.281040683159
pegasis,0,1662.2,305.89838294710745,2206.233333333333,6.489691206368988,2681.366666666667,298.4879692987507,2672.6666666666665,299.2478310160595,219248.66666666666,996.5907517315127,217959.0,1003.743682077424,99.41180331927332,0.10156856056578374,1.0002355787358959,2.0120693104171015e-05,0.9943522245831381,0.0010144193204051554,0.0,0.0,1063.8355044062291,107.19089778672995,1645.9399999999998,9.033142043188194,219197.03333333333,997.4569209722304,216684.73333333334,950.8036503974917,0.04079736727476651,0.003482234640735602,4.248333227591878,0.11837382446656079,1669.390625,,53.390256914051335,5.432942963688548
som,0,1075.3,111.3212654344669,2071.9333333333334,32.4822851809215,2892.1666666666665,110.73985773854878,10811.066666666668,119.79664762258247,203958.9,1629.6806615471294,203079.36666666667,1654.541450868995,99.56865441388209,0.03942784045038099,1.000308849721462,2.2658587906165796e-05,0.9959940667859981,0.0004082183888670668,0.0,0.0,389.21845837003065,3.717994827954422,540.0,23.57672727427446,203895.93333333332,1630.020815042331,10975.466666666667,158.55135866126574,39.014826359021754,2.053894662888915,116.65772083103415,4.47695501837767,2078.818359375,,6409.157484871003,244.43764755610044
stub,0,321.23333333333335,17.721374846122455,1227.3,157.57825642058526,3201.866666666667,78.15092971994609,141947.43333333332,7885.273684635758,142047.43333333332,7885.273684635758,141947.43333333332,7885.273684635758,99.92938555797745,0.004025455102911783,1.0007066449823048,4.031246323679075e-05,1.0,0.0,0.0,0.0,668.4658149817225,17.166852713214148,1666.3333333333333,17.991057804352145,141947.43333333332,7885.273684635758,0.0,0.0,0.0027896248299929156,0.00017540436615827348,1.7653821758576669,0.11583608767266167,6751.9765625,,0.0,0.0
teen,30,4067.266666666667,147.15554363661775,5616.4,138.69679159951755,6999.0,0.0,24319.133333333335,264.2717688594299,67942.03333333334,1265.816010036359,67819.0,1262.552532194888,99.81894075773977,0.02126824995659131,0.15473968267075344,0.0017662716019170332,0.12019493301043883,0.0017093137648403662,0.005379678170695064,0.0015420028268959916,425.7436328790874,3.4456689489826493,987.3333333333334,19.884725264649113,564261.6,8299.209719751261,606873.1333333333,9740.813312121796,0.8409445176937325,0.05878067354474214,17.5832812069004,1.2166270294558674,5370.3203125,,343.22998571428576,7.2401617536246246
