round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.97163737407472,0.9997163737407472,0.9997163737407472,32,4,30,30,108,0.02836262592531014,509.0,0.9367999737150967,475
1,100,2,99.95411561356852,0.9995411561356852,0.9995411561356852,21,2,19,19,104,0.017521760506236262,1014.0,0.895800010766834,196
2,100,4,99.93309597218926,0.9993309597218927,0.9993309597218927,23,4,19,19,108,0.021019641379273445,514.0,0.9260000078938901,384
3,100,7,99.90971304101342,0.9990971304101341,0.9990971304101341,19,6,15,15,114,0.023382931175874977,324.0,0.8981000282801688,651
4,100,8,99.88711853154936,0.9988711853154936,0.9988711853154936,23,6,17,17,116,0.022594509464117674,260.6666666666667,1.1287000379525125,736
5,100,6,99.8623399744565,0.998623399744565,0.998623399744565,26,5,22,22,112,0.024778557092901707,398.0,1.029200037010014,564
6,100,3,99.84707599259961,0.9984707599259961,0.9984707599259961,15,3,13,13,106,0.015263981856924042,680.6666666666666,1.6737999976612628,291
7,100,4,99.82713917362155,0.9982713917362155,0.9982713917362155,20,4,16,16,108,0.01993681897807731,514.0,1.1272999690845609,384
8,100,6,99.80341002959389,0.9980341002959389,0.9980341002959389,19,6,13,13,112,0.023729144027716254,347.3333333333333,0.999299983959645,564
9,100,3,99.78696274154251,0.9978696274154251,0.9978696274154251,18,3,15,15,106,0.01644728805140125,680.6666666666666,0.8911999757401645,291
10,100,6,99.76638047476952,0.9976638047476952,0.9976638047476952,20,5,18,18,112,0.020582266773026964,382.0,1.2351000332273543,564
11,100,5,99.74534302226456,0.9974534302226457,0.9974534302226457,20,5,15,15,110,0.02103745250499625,414.0,1.158400031272322,475
12,100,2,99.72292734717539,0.9972292734717538,0.9972292734717538,22,2,20,20,104,0.022415675089175746,1014.0,2.2566000116057694,196
13,100,4,99.70485355428862,0.9970485355428862,0.9970485355428862,18,3,15,15,108,0.01807379288680533,587.3333333333334,1.222899998538196,384
14,100,7,99.68568115787572,0.9968568115787572,0.9968568115787572,17,5,13,13,114,0.01917239641292512,322.0,0.9794000070542097,651
15,100,5,99.66525299444238,0.9966525299444239,0.9966525299444239,15,4,11,11,110,0.02042816343339371,489.0,0.864999950863421,475
16,100,4,99.64774239055696,0.9964774239055696,0.9964774239055696,15,4,13,13,108,0.017510603885453446,514.0,1.4777000178582966,384
17,100,9,99.61905867528188,0.9961905867528188,0.9961905867528188,20,7,14,14,118,0.02868371527513508,231.14285714285714,0.7606000290252268,819
18,100,6,99.59665074958879,0.9959665074958879,0.9959665074958879,18,5,13,13,112,0.022407925693128217,350.0,1.532799971755594,564
19,100,4,99.57712092089878,0.9957712092089878,0.9957712092089878,22,4,18,18,108,0.019529828690052264,514.0,0.9512000251561403,384
20,100,3,99.5623670107609,0.995623670107609,0.995623670107609,10,2,9,9,106,0.014753910137897175,824.0,1.361900009214878,291
21,100,4,99.5439906727302,0.995439906727302,0.995439906727302,19,3,17,17,108,0.01837633803072808,640.6666666666666,1.1961000273004174,384
22,100,6,99.52246911219096,0.9952246911219096,0.9952246911219096,22,4,19,19,112,0.021521560539303874,434.0,1.1777000036090612,564
23,100,4,99.498809888674,0.99498809888674,0.99498809888674,21,4,18,18,108,0.02365922351700611,514.0,1.7024999833665788,384
24,100,5,99.47571947889179,0.9947571947889179,0.9947571947889179,18,5,15,15,110,0.0230904097822604,414.0,1.6104999813251197,475
25,100,6,99.45206396007626,0.9945206396007626,0.9945206396007626,23,6,19,19,112,0.023655518815565824,347.3333333333333,0.9997999877668917,564
26,100,6,99.42630601947981,0.9942630601947982,0.9942630601947982,26,5,21,21,112,0.025757940596515705,386.0,1.288199971895665,564
27,100,4,99.40621782746288,0.9940621782746288,0.9940621782746288,22,4,18,18,108,0.020088192016956774,514.0,1.0125000262632966,384
28,100,5,99.38433665283584,0.9938433665283584,0.9938433665283584,21,5,16,16,110,0.021881174627071842,414.0,0.9746999712660909,475
29,100,4,99.36393026998627,0.9936393026998627,0.9936393026998627,16,4,13,13,108,0.020406382849599725,514.0,1.0833999840542674,384
30,100,3,99.34263476664339,0.9934263476664339,0.9934263476664339,19,3,16,16,106,0.021295503342930178,680.6666666666666,0.8801000076346099,291
31,100,1,99.32378840119947,0.9932378840119946,0.9932378840119946,19,1,18,18,102,0.018846365443947577,2014.0,1.0454999865032732,99
32,100,8,99.30109933037262,0.9930109933037262,0.9930109933037262,22,5,20,20,116,0.022689070826902746,342.0,0.8831999730318785,736
33,100,2,99.28038483761917,0.9928038483761916,0.9928038483761916,21,2,19,19,104,0.020714492753476477,1014.0,1.088299963157624,196
34,100,6,99.25574594385212,0.9925574594385211,0.9925574594385211,25,6,19,19,112,0.024638893767096715,347.3333333333333,0.8199999574571848,564
35,100,7,99.23272309649617,0.9923272309649618,0.9923272309649618,18,6,13,13,114,0.023022847355988252,304.0,0.9941000025719404,651
36,100,4,99.21509587028338,0.9921509587028338,0.9921509587028338,18,4,14,14,108,0.017627226212837965,514.0,0.838699983432889,384
37,100,4,99.19678014396784,0.9919678014396784,0.9919678014396784,20,3,17,17,108,0.018315726315583425,600.6666666666666,0.9419000125490129,384
38,100,10,99.16520864288367,0.9916520864288367,0.9916520864288367,23,9,17,17,120,0.03157150108423956,227.33333333333334,1.226099964696914,900
39,100,8,99.14012460511071,0.9914012460511071,0.9914012460511071,17,7,10,10,116,0.02508403777300139,259.7142857142857,0.7764000329189003,736
40,100,4,99.12012222386346,0.9912012222386346,0.9912012222386346,17,4,14,14,108,0.0200023812472907,514.0,0.9809999610297382,384
41,100,6,99.09859286249906,0.9909859286249906,0.9909859286249906,15,5,13,13,112,0.021529361364439725,386.0,1.2103999615646899,564
42,100,3,99.08077565541026,0.9908077565541027,0.9908077565541027,22,3,19,19,106,0.0178172070888466,680.6666666666666,1.1551000061444938,291
43,100,9,99.05258297185924,0.9905258297185924,0.9905258297185924,23,8,16,16,118,0.028192683551077735,254.0,1.0511999716982245,819
44,100,6,99.03172864779123,0.9903172864779123,0.9903172864779123,19,4,17,17,112,0.020854324068067642,484.0,0.8848000434227288,564
45,100,8,99.00504695618991,0.9900504695618991,0.9900504695618991,21,6,17,17,116,0.02668169160135969,290.6666666666667,1.068499987013638,736
46,100,2,98.98870027863248,0.9898870027863248,0.9898870027863248,18,2,16,16,104,0.01634667755747088,1014.0,1.139500003773719,196
47,100,8,98.96078041481356,0.9896078041481355,0.9896078041481355,21,7,16,16,116,0.02791986381897482,285.42857142857144,0.8135999669320881,736
48,100,4,98.93868635365632,0.9893868635365632,0.9893868635365632,18,4,14,14,108,0.02209406115725132,514.0,1.061399991158396,384
49,100,4,98.9115928795503,0.989115928795503,0.989115928795503,36,4,34,34,108,0.02709347410605667,514.0,0.9237999911420047,384
50,100,2,98.89821022533165,0.9889821022533165,0.9889821022533165,14,2,13,13,104,0.013382654218695444,1014.0,0.8808999555185437,196
51,100,4,98.87995564697988,0.9887995564697988,0.9887995564697988,20,4,17,17,108,0.018254578351808437,514.0,1.1882000253535807,384
52,100,5,98.86188341261129,0.988618834126113,0.988618834126113,17,4,14,14,110,0.018072234368640805,489.0,0.907299981918186,475
53,100,5,98.84414673608927,0.9884414673608927,0.9884414673608927,16,3,13,13,108,0.017736676522062123,640.6666666666666,1.039800001308322,475
54,100,5,98.82299649057967,0.9882299649057967,0.9882299649057967,17,4,15,15,110,0.0211502455096364,484.0,0.9674999746493995,475
55,100,5,98.80365211282418,0.9880365211282418,0.9880365211282418,16,4,12,12,110,0.019344377755537767,484.0,1.1727000237442553,475
56,100,3,98.78760939996123,0.9878760939996123,0.9878760939996123,14,3,11,11,106,0.016042712862976982,680.6666666666666,1.195100019685924,291
57,100,2,98.77256971458192,0.9877256971458191,0.9877256971458191,16,2,14,14,104,0.01503968537935152,1014.0,0.7527999696321785,196
58,100,11,98.74872745652523,0.9874872745652523,0.9874872745652523,17,6,13,13,120,0.023842258056745225,247.33333333333334,1.1814000317826867,979
59,100,4,98.7314479972367,0.987314479972367,0.987314479972367,14,3,13,13,108,0.017279459288572108,620.6666666666666,1.4111000346019864,384
60,100,7,98.71098124113712,0.9871098124113712,0.9871098124113712,15,5,10,10,114,0.020466756099622563,362.0,1.3609000016003847,651
61,100,5,98.68682794498724,0.9868682794498724,0.9868682794498724,23,5,18,18,110,0.024153296149934445,414.0,1.1021000100299716,475
62,100,3,98.66768075200184,0.9866768075200184,0.9866768075200184,21,3,18,18,106,0.019147192985431438,680.6666666666666,0.9179000044241548,291
63,100,3,98.65045786111267,0.9865045786111267,0.9865045786111267,17,3,14,14,106,0.01722289088920137,680.6666666666666,1.3513999874703586,291
64,100,6,98.62501831179256,0.9862501831179256,0.9862501831179256,19,6,14,14,112,0.02543954932014314,347.3333333333333,0.8663000189699233,564
