round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.94399542565688,0.9994399542565688,0.9994399542565688,100,5,100,100,5,0.05600457434312523,414.0,1.5689999563619494,10575
1,100,5,99.8878006042192,0.9988780060421919,0.9988780060421919,100,5,100,100,6,0.056194821437697974,414.0,0.6576000014320016,10575
2,100,5,99.83269622093849,0.9983269622093849,0.9983269622093849,100,5,100,100,5,0.05510438328071325,414.0,0.6178000476211309,10575
3,100,5,99.77779198488369,0.9977779198488369,0.9977779198488369,100,5,100,100,6,0.05490423605481709,414.0,0.6061000167392194,10575
4,100,5,99.72186481904157,0.9972186481904157,0.9972186481904157,100,5,100,100,5,0.05592716584214316,414.0,0.5074000218883157,10575
5,100,5,99.66671938122434,0.9966671938122434,0.9966671938122434,100,5,100,100,6,0.05514543781722747,414.0,0.48099999548867345,10575
6,100,5,99.61168041769922,0.9961168041769922,0.9961168041769922,100,5,100,100,5,0.05503896352512272,414.0,0.5977999535389245,10575
7,100,5,99.5555826399376,0.995555826399376,0.995555826399376,100,5,100,100,5,0.056097777761636936,414.0,0.5992999649606645,10575
8,100,5,99.49958891752281,0.9949958891752282,0.9949958891752282,100,5,100,100,5,0.05599372241479955,414.0,0.5037999944761395,10575
9,100,5,99.44455910782062,0.9944455910782062,0.9944455910782062,100,5,100,100,5,0.055029809702202837,414.0,0.5323999794200063,10575
10,100,5,99.3901372119071,0.993901372119071,0.993901372119071,100,5,100,100,6,0.05442189591354152,414.0,2.155099995434284,10575
11,100,5,99.333943976528,0.99333943976528,0.99333943976528,100,5,100,100,6,0.056193235379102036,414.0,1.1887999717146158,10575
12,100,5,99.28093568300926,0.9928093568300926,0.9928093568300926,100,5,100,100,6,0.053008293518760796,414.0,0.533499987795949,10575
13,100,5,99.22551709199429,0.9922551709199429,0.9922551709199429,100,5,100,100,5,0.05541859101497548,414.0,0.9318999946117401,10575
14,100,5,99.17049016878651,0.9917049016878652,0.9917049016878652,100,5,100,100,6,0.055026923207793565,414.0,0.5348999984562397,10575
15,100,5,99.11618235406667,0.9911618235406666,0.9911618235406666,100,5,100,100,5,0.05430781471984325,414.0,0.9099000017158687,10575
16,100,5,99.05936976085177,0.9905936976085177,0.9905936976085177,100,5,100,100,5,0.056812593214916385,414.0,0.5666999495588243,10575
17,100,5,99.00539573784143,0.9900539573784143,0.9900539573784143,100,5,100,100,5,0.05397402301034415,414.0,0.5815999465994537,10575
18,100,5,98.95192354422281,0.9895192354422281,0.9895192354422281,100,5,100,100,6,0.053472193618609776,414.0,0.4628999740816653,10575
19,100,5,98.89827114231126,0.9889827114231126,0.9889827114231126,100,5,100,100,6,0.0536524019115614,414.0,0.5969000048935413,10575
20,100,5,98.84294391398922,0.9884294391398921,0.9884294391398921,100,5,100,100,5,0.05532722832205916,414.0,0.547699979506433,10575
21,100,5,98.78888351721507,0.9878888351721506,0.9878888351721506,100,5,100,100,6,0.05406039677415797,414.0,0.7588000153191388,10575
22,100,5,98.73562140030606,0.9873562140030606,0.9873562140030606,100,5,100,100,5,0.0532621169090195,414.0,0.5323999794200063,10575
23,100,5,98.67991700019047,0.9867991700019048,0.9867991700019048,100,5,100,100,5,0.0557044001155893,414.0,0.5569999921135604,10575
24,100,5,98.62511114532093,0.9862511114532093,0.9862511114532093,100,5,100,100,6,0.05480585486957734,414.0,0.5518000107258558,10575
25,100,5,98.56925419700235,0.9856925419700235,0.9856925419700235,100,5,100,100,5,0.0558569483185829,414.0,0.5981000140309334,10575
26,100,5,98.51650330824594,0.9851650330824594,0.9851650330824594,100,5,100,100,5,0.05275088875641054,414.0,0.5377999623306096,10575
27,100,5,98.46251959540297,0.9846251959540296,0.9846251959540296,100,5,100,100,5,0.053983712843016285,414.0,0.5872999900020659,10575
28,100,5,98.4079981364967,0.984079981364967,0.984079981364967,100,5,100,100,6,0.05452145890624016,414.0,0.7755000260658562,10575
29,100,5,98.35284304157994,0.9835284304157994,0.9835284304157994,100,5,100,100,5,0.05515509491676074,414.0,0.6206000107340515,10575
30,100,5,98.30069837610536,0.9830069837610536,0.9830069837610536,100,5,100,100,6,0.05214466547460561,414.0,0.5569999921135604,10575
31,100,5,98.24589141263824,0.9824589141263824,0.9824589141263824,100,5,100,100,5,0.05480696346711933,414.0,0.5756999598816037,10575
32,100,5,98.19211311925572,0.9819211311925572,0.9819211311925572,100,5,100,100,6,0.053778293382562126,414.0,0.547699979506433,10575
33,100,5,98.13694754778523,0.9813694754778522,0.9813694754778522,100,5,100,100,6,0.05516557147048706,414.0,0.34389999927952886,10575
34,100,5,98.08555829210134,0.9808555829210134,0.9808555829210134,100,5,100,100,6,0.051389255683874646,414.0,0.34580001374706626,10575
35,100,5,98.03344432370523,0.9803344432370522,0.9803344432370522,100,5,100,100,6,0.05211396839615112,414.0,0.3913000109605491,10575
36,100,5,97.97889041459894,0.9797889041459894,0.9797889041459894,100,5,100,100,5,0.054553909106267895,414.0,0.4096999764442444,10575
37,100,5,97.92488424011927,0.9792488424011927,0.9792488424011927,100,5,100,100,6,0.05400617447969536,414.0,0.5576999974437058,10575
38,100,5,97.87051733019594,0.9787051733019594,0.9787051733019594,100,5,100,100,6,0.05436690992331972,414.0,0.5737000028602779,10575
39,100,5,97.81759074410006,0.9781759074410006,0.9781759074410006,100,5,100,100,6,0.05292658609591161,414.0,0.5409999866969883,10575
40,100,5,97.7629713231001,0.977629713231001,0.977629713231001,100,5,100,100,5,0.054619420999959534,414.0,0.6052000098861754,10575
41,100,5,97.70968887192689,0.9770968887192688,0.9770968887192688,100,5,100,100,5,0.053282451173194634,414.0,0.5645999917760491,10575
42,100,5,97.65633008645119,0.9765633008645119,0.9765633008645119,100,5,100,100,6,0.05335878547571804,414.0,0.4830000107176602,10575
43,100,5,97.60374795214824,0.9760374795214823,0.9760374795214823,100,5,100,100,6,0.052582134302973316,414.0,0.5574999959208071,10575
44,100,5,97.55137995638302,0.9755137995638301,0.9755137995638301,100,5,100,100,6,0.05236799576523943,414.0,0.4144000122323632,10575
45,100,5,97.4989357655775,0.974989357655775,0.974989357655775,100,5,100,100,6,0.05244419080550777,414.0,0.5689000245183706,10575
46,100,5,97.44539551308456,0.9744539551308457,0.9744539551308457,100,5,100,100,6,0.05354025249296113,414.0,0.6055999547243118,10575
47,100,5,97.3936548058379,0.9739365480583789,0.9739365480583789,100,5,100,100,6,0.05174070724666224,414.0,0.6160000339150429,10575
48,100,5,97.34239077281886,0.9734239077281885,0.9734239077281885,100,5,100,100,6,0.051264033019045474,414.0,0.6060000159777701,10575
49,100,5,97.28925408276501,0.9728925408276501,0.9728925408276501,100,5,100,100,6,0.05313669005385524,414.0,0.5552000366151333,10575
50,100,5,97.23619452317311,0.9723619452317311,0.9723619452317311,100,5,100,100,6,0.05305955959190767,414.0,0.5504000000655651,10575
51,100,5,97.18397690265553,0.9718397690265553,0.9718397690265553,100,5,100,100,6,0.052217620517573504,414.0,0.5821999511681497,10575
52,100,5,97.12867682625,0.9712867682625,0.9712867682625,100,5,100,100,5,0.055300076405543575,414.0,0.541799992788583,10575
53,100,5,97.07424103333494,0.9707424103333494,0.9707424103333494,100,5,100,100,6,0.05443579291508893,414.0,0.5128999473527074,10575
54,100,5,97.02325713952614,0.9702325713952614,0.9702325713952614,100,5,100,100,6,0.050983893808784764,414.0,0.5859000375494361,10575
55,100,5,96.96786947466269,0.9696786947466269,0.9696786947466269,100,5,100,100,5,0.05538766486347546,414.0,0.5505000008270144,10575
56,100,5,96.91516608724113,0.9691516608724113,0.9691516608724113,100,5,100,100,6,0.052703387421549674,414.0,0.5582000012509525,10575
57,100,5,96.8654689541413,0.9686546895414131,0.9686546895414131,100,5,100,100,6,0.04969713309984547,414.0,0.5728999967686832,10575
58,100,5,96.81270212137306,0.9681270212137306,0.9681270212137306,100,5,100,100,6,0.05276683276824512,414.0,0.5796999903395772,10575
59,100,5,96.7608823779491,0.967608823779491,0.967608823779491,100,5,100,100,6,0.05181974342396778,414.0,0.4791999817825854,10575
60,100,5,96.71002824909817,0.9671002824909817,0.9671002824909817,100,5,100,100,6,0.05085412885096119,414.0,1.3654000358656049,10575
61,100,5,96.65827859325617,0.9665827859325617,0.9665827859325617,100,5,100,100,5,0.05174965584197588,414.0,0.6141000194475055,10575
62,100,5,96.60216924838042,0.9660216924838042,0.9660216924838042,100,5,100,100,6,0.056109344875760137,414.0,0.7525000255554914,10575
63,100,5,96.55046889616624,0.9655046889616624,0.9655046889616624,100,5,100,100,6,0.05170035221420877,414.0,0.6661000079475343,10575
64,100,5,96.49960486848286,0.9649960486848286,0.9649960486848286,100,5,100,100,6,0.05086402768337139,414.0,0.5859999801032245,10575
65,100,5,96.44872190115491,0.9644872190115491,0.9644872190115491,100,5,100,100,6,0.050882967327971595,414.0,0.5655999993905425,10575
66,100,5,96.39489872408923,0.9639489872408923,0.9639489872408923,100,5,100,100,6,0.05382317706570561,414.0,0.6205000099726021,10575
67,100,5,96.34164934045283,0.9634164934045283,0.9634164934045283,100,5,100,100,5,0.05324938363638232,414.0,0.48909999895840883,10575
68,100,5,96.28967782844852,0.9628967782844852,0.9628967782844852,100,5,100,100,5,0.051971512004331366,414.0,0.5100999842397869,10575
69,100,5,96.23841911745245,0.9623841911745246,0.9623841911745246,100,5,100,100,6,0.05125871099608181,414.0,0.464899989310652,10575
70,100,5,96.18858366775638,0.9618858366775638,0.9618858366775638,100,5,100,100,6,0.04983544969608378,414.0,0.5567999905906618,10575
71,100,5,96.13607027027031,0.9613607027027031,0.9613607027027031,100,5,100,100,6,0.05251339748607364,414.0,0.645900028757751,10575
72,100,5,96.0862330132915,0.960862330132915,0.960862330132915,100,5,100,100,6,0.04983725697880059,414.0,0.5826999549753964,10575
73,100,5,96.0336134421872,0.960336134421872,0.960336134421872,100,5,100,100,5,0.052619571104354,414.0,0.6132999551482499,10575
74,100,5,95.98174654446976,0.9598174654446976,0.9598174654446976,100,5,100,100,6,0.051866897717429694,414.0,0.5955000524409115,10575
