round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.9411089687212,0.9994110896872119,0.9994110896872119,100,5,100,100,4,0.058891031278803,414.0,24.875400005839765,13175
1,100,5,99.88321793744242,0.9988321793744243,0.9988321793744243,100,5,100,100,3,0.057891031278802844,414.0,0.06350001785904169,0
2,100,5,99.8253269061636,0.9982532690616359,0.9982532690616359,100,5,100,100,3,0.057891031278802935,414.0,0.06400002166628838,0
3,100,5,99.76743587488482,0.9976743587488482,0.9976743587488482,100,5,100,100,3,0.057891031278803295,414.0,0.05879998207092285,0
4,100,5,99.70954484360603,0.9970954484360602,0.9970954484360602,100,5,100,100,3,0.05789103127880352,414.0,0.05000003147870302,0
5,100,5,99.6524334195044,0.996524334195044,0.996524334195044,100,5,100,100,5,0.057111424101638775,414.0,24.995699990540743,13175
6,100,5,99.59632199540275,0.9959632199540275,0.9959632199540275,100,5,100,100,4,0.05611142410163866,414.0,0.06419996498152614,0
7,100,5,99.54021057130113,0.9954021057130114,0.9954021057130114,100,5,100,100,4,0.05611142410163855,414.0,0.05930004408583045,0
8,100,5,99.4840991471995,0.994840991471995,0.994840991471995,100,5,100,100,4,0.056111424101638274,414.0,0.057399971410632133,0
9,100,5,99.42798772309786,0.9942798772309785,0.9942798772309785,100,5,100,100,4,0.056111424101638496,414.0,0.05630002124235034,0
10,100,5,99.37286890941964,0.9937286890941963,0.9937286890941963,100,5,100,100,5,0.05511881367824101,414.0,25.915500009432435,13175
11,100,5,99.3187500957414,0.9931875009574139,0.9931875009574139,100,5,100,100,4,0.05411881367824112,414.0,0.06160000339150429,0
12,100,5,99.26463128206316,0.9926463128206316,0.9926463128206316,100,5,100,100,4,0.054118813678240896,414.0,0.0654000323265791,0
13,100,5,99.21051246838493,0.9921051246838494,0.9921051246838494,100,5,100,100,4,0.054118813678238675,414.0,0.060699996538460255,0
14,100,5,99.1563936547067,0.9915639365470671,0.9915639365470671,100,5,100,100,4,0.054118813678238564,414.0,0.060500053223222494,0
15,100,5,99.09934628210321,0.9909934628210322,0.9909934628210322,100,5,100,100,5,0.057047372603493685,414.0,28.057800023816526,13175
16,100,5,99.04329890949973,0.9904329890949972,0.9904329890949972,100,5,100,100,4,0.05604737260349357,414.0,0.05979998968541622,0
17,100,5,98.98725153689624,0.9898725153689624,0.9898725153689624,100,5,100,100,4,0.05604737260349357,414.0,0.05789997521787882,0
18,100,5,98.93120416429275,0.9893120416429275,0.9893120416429275,100,5,100,100,4,0.05604737260349357,414.0,0.05670002428814769,0
19,100,5,98.87515679168925,0.9887515679168924,0.9887515679168924,100,5,100,100,4,0.05604737260349402,414.0,0.05849997978657484,0
20,100,5,98.82094208751684,0.9882094208751684,0.9882094208751684,100,5,100,100,5,0.05421470417243346,414.0,25.867799995467067,13175
21,100,5,98.76772738334441,0.9876772738334441,0.9876772738334441,100,5,100,100,4,0.05321470417243379,414.0,0.06560003384947777,0
22,100,5,98.71451267917196,0.9871451267917196,0.9871451267917196,100,5,100,100,4,0.05321470417243379,414.0,0.059399986639618874,0
