round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.93730982982146,0.9993730982982146,0.9993730982982146,100,5,100,100,6,0.06269017017854292,414.0,1.6776000265963376,12090
1,100,5,99.87895766081658,0.9987895766081658,0.9987895766081658,100,5,100,100,6,0.05835216900489215,414.0,1.4221000019460917,12090
2,100,5,99.8222383959202,0.9982223839592019,0.9982223839592019,100,5,100,100,6,0.056719264896402,414.0,1.4572999789379537,12091
3,100,5,99.76585825256677,0.9976585825256677,0.9976585825256677,100,5,100,100,6,0.05638014335345354,414.0,1.2940000160597265,12102
4,100,5,99.71001543784311,0.9971001543784311,0.9971001543784311,100,5,100,100,6,0.05584281472364708,414.0,1.4441999956034124,12122
5,100,5,99.65663037538044,0.9965663037538044,0.9965663037538044,100,5,100,100,6,0.05338506246267988,414.0,1.256300020031631,12093
6,100,5,99.60324531291778,0.9960324531291778,0.9960324531291778,100,5,100,100,6,0.05338506246267988,414.0,1.318100024946034,12093
7,100,5,99.54986025045513,0.9954986025045512,0.9954986025045512,100,5,100,100,6,0.053385062462680155,414.0,1.3753999955952168,12093
8,100,5,99.49647518799243,0.9949647518799243,0.9949647518799243,100,5,100,100,6,0.053385062462680044,414.0,1.1964000295847654,12101
9,100,5,99.44048177381019,0.994404817738102,0.994404817738102,100,5,100,100,6,0.0559934141822771,414.0,1.4645999763160944,12101
10,100,5,99.38709671134751,0.9938709671134751,0.9938709671134751,100,5,100,100,6,0.053385062462680155,414.0,1.4432999887503684,12101
11,100,5,99.33157130918698,0.9933157130918698,0.9933157130918698,100,5,100,100,6,0.05552540216056856,414.0,1.4470000169239938,12101
12,100,5,99.27818624672427,0.9927818624672428,0.9927818624672428,100,5,100,100,6,0.053385062462680044,414.0,1.440499967429787,12109
13,100,5,99.22198374723902,0.9922198374723902,0.9922198374723902,100,5,100,100,6,0.056202499485243806,414.0,1.3611000031232834,12105
14,100,5,99.1656036038856,0.991656036038856,0.991656036038856,100,5,100,100,6,0.05638014335345087,414.0,1.3716999674215913,12093
15,100,5,99.11146650458205,0.9911146650458206,0.9911146650458206,100,5,100,100,6,0.0541370993035617,414.0,1.3165000127628446,12094
16,100,5,99.0559411024215,0.990559411024215,0.990559411024215,100,5,100,100,6,0.055525402160566784,414.0,1.3135999906808138,12091
17,100,5,99.00039590632814,0.9900039590632814,0.9900039590632814,100,5,100,100,6,0.055545196093367166,414.0,1.4127000467851758,12085
18,100,5,98.94701084386548,0.9894701084386548,0.9894701084386548,100,5,100,100,6,0.053385062462677935,414.0,1.3775000115856528,12102
19,100,5,98.8936257814028,0.988936257814028,0.988936257814028,100,5,100,100,6,0.05338506246267771,414.0,1.3376999995671213,12111
20,100,5,98.84024071894014,0.9884024071894014,0.9884024071894014,100,5,100,100,6,0.05338506246267816,414.0,1.3416999718174338,12109
21,100,5,98.78471531677958,0.9878471531677958,0.9878471531677958,100,5,100,100,6,0.05552540216056667,414.0,1.7906000139191747,12101
22,100,5,98.72892346098514,0.9872892346098514,0.9872892346098514,100,5,100,100,6,0.05579185579445034,414.0,1.3310000067576766,12097
23,100,5,98.6733782648918,0.986733782648918,0.986733782648918,100,5,100,100,6,0.05554519609336728,414.0,1.365099975373596,12098
24,100,5,98.61785286273121,0.9861785286273121,0.9861785286273121,100,5,100,100,6,0.05552540216056645,414.0,1.3340999721549451,12104
25,100,5,98.5622239804935,0.985622239804935,0.985622239804935,100,5,100,100,6,0.05562888223773954,414.0,1.2986999936401844,12112
26,100,5,98.50623056631125,0.9850623056631125,0.9850623056631125,100,5,100,100,6,0.0559934141822751,414.0,1.6781000304035842,12082
27,100,5,98.4504387105168,0.9845043871051681,0.9845043871051681,100,5,100,100,6,0.05579185579445034,414.0,1.463000022340566,12103
28,100,5,98.39491330835622,0.9839491330835622,0.9839491330835622,100,5,100,100,6,0.05552540216056667,414.0,1.4320999616757035,12107
