round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95264949413826,0.9995264949413826,0.9995264949413826,100,5,100,100,6,0.04735050586175512,414.0,574.6907999855466,590240
1,100,5,99.9062989882765,0.999062989882765,0.999062989882765,100,5,100,100,5,0.046350505861754994,414.0,0.06439996650442481,0
2,100,5,99.85994848241477,0.9985994848241476,0.9985994848241476,100,5,100,100,5,0.04635050586175499,414.0,0.061700004152953625,0
3,100,5,99.81359797655303,0.9981359797655303,0.9981359797655303,100,5,100,100,5,0.04635050586175532,414.0,0.06210000719875097,0
4,100,5,99.76724747069126,0.9976724747069126,0.9976724747069126,100,5,100,100,5,0.0463505058617556,414.0,0.0610999995842576,0
5,100,5,99.7198249564695,0.9971982495646949,0.9971982495646949,100,5,100,100,6,0.047422514221768325,414.0,572.848999989219,590240
6,100,5,99.67340244224775,0.9967340244224775,0.9967340244224775,100,5,100,100,5,0.046422514221768296,414.0,0.06180000491440296,0
7,100,5,99.62697992802599,0.9962697992802599,0.9962697992802599,100,5,100,100,5,0.04642251422176835,414.0,0.08640001760795712,0
8,100,5,99.58055741380421,0.9958055741380422,0.9958055741380422,100,5,100,100,5,0.04642251422176835,414.0,0.05200004670768976,0
9,100,5,99.53413489958245,0.9953413489958245,0.9953413489958245,100,5,100,100,5,0.04642251422176841,414.0,0.052799994591623545,0
10,100,5,99.4865164212915,0.9948651642129149,0.9948651642129149,100,5,100,100,6,0.047618478290977095,414.0,594.9845000286587,590240
11,100,5,99.43989794300052,0.9943989794300052,0.9943989794300052,100,5,100,100,5,0.046618478290977206,414.0,0.06509997183457017,0
12,100,5,99.39327946470954,0.9939327946470954,0.9939327946470954,100,5,100,100,5,0.046618478290977095,414.0,0.06310001481324434,0
13,100,5,99.34666098641857,0.9934666098641857,0.9934666098641857,100,5,100,100,5,0.046618478290974985,414.0,0.0686999992467463,0
14,100,5,99.3000425081276,0.9930004250812761,0.9930004250812761,100,5,100,100,5,0.04661847829097443,414.0,0.0659999786876142,0
15,100,5,99.25252827228832,0.9925252827228832,0.9925252827228832,100,5,100,100,6,0.047514235839301255,414.0,582.7967000077479,590240
16,100,5,99.206014036449,0.9920601403644901,0.9920601403644901,100,5,100,100,5,0.046514235839301143,414.0,0.08680002065375447,0
17,100,5,99.1594998006097,0.991594998006097,0.991594998006097,100,5,100,100,5,0.046514235839301254,414.0,0.0619000056758523,0
18,100,5,99.11298556477043,0.9911298556477043,0.9911298556477043,100,5,100,100,5,0.046514235839301143,414.0,0.05929998587816954,0
19,100,5,99.06647132893113,0.9906647132893113,0.9906647132893113,100,5,100,100,5,0.046514235839301254,414.0,0.06009999196976423,0
20,100,5,99.01886638407493,0.9901886638407492,0.9901886638407492,100,5,100,100,6,0.04760494485622535,414.0,582.1919000009075,590240
21,100,5,98.9722614392187,0.989722614392187,0.989722614392187,100,5,100,100,5,0.04660494485622535,414.0,0.06320001557469368,0
22,100,5,98.92565649436249,0.9892565649436249,0.9892565649436249,100,5,100,100,5,0.04660494485622535,414.0,0.06440002471208572,0
23,100,5,98.87905154950623,0.9887905154950622,0.9887905154950622,100,5,100,100,5,0.04660494485622513,414.0,0.062400009483098984,0
24,100,5,98.83244660465003,0.9883244660465003,0.9883244660465003,100,5,100,100,5,0.04660494485622535,414.0,0.060399994254112244,0
25,100,5,98.78518899614373,0.9878518899614374,0.9878518899614374,100,5,100,100,6,0.047257608506304116,414.0,562.3684999882244,590240
26,100,5,98.73893138763744,0.9873893138763744,0.9873893138763744,100,5,100,100,5,0.046257608506305115,414.0,0.05639996379613876,0
27,100,5,98.69267377913114,0.9869267377913115,0.9869267377913115,100,5,100,100,5,0.04625760850630489,414.0,0.04509999416768551,0
28,100,5,98.64641617062485,0.9864641617062485,0.9864641617062485,100,5,100,100,5,0.04625760850630489,414.0,0.053099996875971556,0
29,100,5,98.60015856211852,0.9860015856211852,0.9860015856211852,100,5,100,100,5,0.04625760850630489,414.0,0.05259999306872487,0
30,100,5,98.55279761661093,0.9855279761661093,0.9855279761661093,100,5,100,100,6,0.047360945507594066,414.0,602.4112000013702,590240
31,100,5,98.50643667110334,0.9850643667110335,0.9850643667110335,100,5,100,100,5,0.046360945507593954,414.0,0.0619000056758523,0
32,100,5,98.46007572559577,0.9846007572559577,0.9846007572559577,100,5,100,100,5,0.04636094550759351,414.0,0.058500037994235754,0
33,100,5,98.4137147800882,0.984137147800882,0.984137147800882,100,5,100,100,5,0.04636094550759373,414.0,0.061400001868605614,0
34,100,5,98.36735383458057,0.9836735383458057,0.9836735383458057,100,5,100,100,5,0.046360945507593954,414.0,0.06009999196976423,0
35,100,5,98.31929642380778,0.9831929642380779,0.9831929642380779,100,5,100,100,6,0.04805741077282377,414.0,627.905200002715,590240
36,100,5,98.27223901303498,0.9827223901303498,0.9827223901303498,100,5,100,100,5,0.04705741077282366,414.0,0.05219999002292752,0
37,100,5,98.22518160226215,0.9822518160226216,0.9822518160226216,100,5,100,100,5,0.04705741077282388,414.0,0.0657000346109271,0
38,100,5,98.1781241914893,0.981781241914893,0.981781241914893,100,5,100,100,5,0.04705741077282344,414.0,0.06640003994107246,0
39,100,5,98.1310667807165,0.9813106678071649,0.9813106678071649,100,5,100,100,5,0.04705741077282366,414.0,0.06130000110715628,0
40,100,5,98.08299916828774,0.9808299916828774,0.9808299916828774,100,5,100,100,6,0.048067612428764894,414.0,618.0390999652445,590240
41,100,5,98.035931555859,0.9803593155585899,0.9803593155585899,100,5,100,100,5,0.04706761242876367,414.0,0.05949998740106821,0
42,100,5,97.98886394343023,0.9798886394343023,0.9798886394343023,100,5,100,100,5,0.04706761242876367,414.0,0.058699981309473515,0
43,100,5,97.94179633100147,0.9794179633100147,0.9794179633100147,100,5,100,100,5,0.04706761242876345,414.0,0.052099989261478186,0
44,100,5,97.8947287185727,0.978947287185727,0.978947287185727,100,5,100,100,5,0.04706761242876345,414.0,0.06180000491440296,0
45,100,5,97.84677212205234,0.9784677212205234,0.9784677212205234,100,5,100,100,6,0.04795659652035633,414.0,611.1259000026621,590240
46,100,5,97.799815525532,0.97799815525532,0.97799815525532,100,5,100,100,5,0.046956596520354665,414.0,0.06340001709759235,0
47,100,5,97.75285892901167,0.9775285892901167,0.9775285892901167,100,5,100,100,5,0.046956596520356,414.0,0.06260001100599766,0
48,100,5,97.70590233249129,0.9770590233249129,0.9770590233249129,100,5,100,100,5,0.046956596520356,414.0,0.06580003537237644,0
49,100,5,97.65894573597096,0.9765894573597096,0.9765894573597096,100,5,100,100,5,0.04695659652035511,414.0,0.06569997640326619,0
50,100,5,97.61074722303546,0.9761074722303547,0.9761074722303547,100,5,100,100,6,0.04819851293550492,414.0,611.2383999861777,590240
51,100,5,97.56354871009998,0.9756354871009998,0.9756354871009998,100,5,100,100,5,0.04719851293550503,414.0,0.06269995355978608,0
52,100,5,97.51635019716446,0.9751635019716446,0.9751635019716446,100,5,100,100,5,0.04719851293550459,414.0,0.0646000262349844,0
53,100,5,97.46915168422896,0.9746915168422896,0.9746915168422896,100,5,100,100,5,0.047198512935504144,414.0,0.05819997750222683,0
54,100,5,97.42195317129347,0.9742195317129346,0.9742195317129346,100,5,100,100,5,0.0471985129355037,414.0,0.05059997783973813,0
55,100,5,97.37379056599777,0.9737379056599776,0.9737379056599776,100,5,100,100,6,0.04816260529569316,414.0,575.5664999596775,590240
56,100,5,97.3266279607021,0.973266279607021,0.973266279607021,100,5,100,100,5,0.047162605295692384,414.0,0.0638000201433897,0
57,100,5,97.2794653554064,0.972794653554064,0.972794653554064,100,5,100,100,5,0.04716260529569327,414.0,0.06180000491440296,0
