round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,1,99.95149203131975,0.9995149203131974,0.9995149203131974,100,1,100,100,100,0.048507968680250105,1700.0,2.199699985794723,5049
1,100,1,99.90412951112337,0.9990412951112337,0.9990412951112337,100,1,100,100,99,0.04736252019639563,1683.0,0.008500006515532732,0
2,100,1,99.85732358651379,0.9985732358651379,0.9985732358651379,100,1,100,100,99,0.0468059246095989,1666.0,0.011199968867003918,0
3,100,1,99.81083079090656,0.9981083079090657,0.9981083079090657,100,1,100,100,99,0.04649279560720945,1649.0,0.011000025551766157,0
4,100,1,99.76451576631167,0.9976451576631168,0.9976451576631168,100,1,100,100,99,0.04631502459489492,1632.0,0.010000017937272787,0
5,100,1,99.71831777072369,0.9971831777072369,0.9971831777072369,100,1,100,100,99,0.046197995588003554,1615.0,0.00990001717582345,0
6,100,1,99.67215002786133,0.9967215002786134,0.9967215002786134,100,1,100,100,99,0.04616774286235514,1598.0,0.009500014130026102,0
7,100,1,99.62637741091022,0.9962637741091023,0.9962637741091023,100,1,100,100,99,0.04577261695112611,1581.0,0.009599956683814526,0
8,100,1,99.5808681016162,0.995808681016162,0.995808681016162,100,1,100,100,99,0.04550930929400171,1564.0,0.009599956683814526,0
9,100,1,99.53552249995097,0.9953552249995097,0.9953552249995097,100,1,100,100,99,0.04534560166523888,1547.0,0.011599971912801266,0
10,100,1,99.49018455222175,0.9949018455222175,0.9949018455222175,100,1,100,100,99,0.045337947729222616,1530.0,0.011000025551766157,0
11,100,1,99.44503625272488,0.9944503625272487,0.9944503625272487,100,1,100,100,99,0.045148299496885924,1513.0,0.006600050255656242,0
12,100,1,99.40002193489363,0.9940002193489363,0.9940002193489363,100,1,100,100,99,0.04501431783125198,1496.0,0.01109996810555458,0
13,100,1,99.35505269220995,0.9935505269220996,0.9935505269220996,100,1,100,100,99,0.04496924268367497,1479.0,0.011599971912801266,0
14,100,1,99.31007898924442,0.9931007898924442,0.9931007898924442,100,1,100,100,99,0.044973702965525275,1462.0,0.008200004231184721,0
15,100,1,99.26512302732596,0.9926512302732595,0.9926512302732595,100,1,100,100,99,0.0449559619184865,1445.0,0.007200054824352264,0
16,100,1,99.22028117081796,0.9922028117081796,0.9922028117081796,100,1,100,100,99,0.04484185650801009,1428.0,0.012499978765845299,0
17,100,1,99.17552259581467,0.9917552259581467,0.9917552259581467,100,1,100,100,99,0.0447585750032754,1411.0,0.01160003012046218,0
18,100,1,99.1308004071728,0.991308004071728,0.991308004071728,100,1,100,100,99,0.04472218864188393,1394.0,0.011100026313215494,0
19,100,1,99.08607213727701,0.9908607213727701,0.9908607213727701,100,1,100,100,99,0.04472826989578127,1377.0,0.010500021744519472,0
20,100,1,99.04133571494232,0.9904133571494232,0.9904133571494232,100,1,100,100,99,0.04473642233470454,1360.0,0.007399998139590025,0
21,100,1,98.9965928997015,0.989965928997015,0.989965928997015,100,1,100,100,99,0.04474281524082846,1343.0,0.007399998139590025,0
22,100,1,98.95186639010709,0.9895186639010709,0.9895186639010709,100,1,100,100,99,0.04472650959439939,1326.0,0.007399998139590025,0
23,100,1,98.90717736866326,0.9890717736866326,0.9890717736866326,100,1,100,100,99,0.0446890214438358,1309.0,0.012500036973506212,0
