round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95179378955734,0.9995179378955734,0.9995179378955734,100,5,100,100,6,0.048206210442661386,414.0,267.46790000470355,50600
1,100,5,99.90458757911469,0.9990458757911469,0.9990458757911469,100,5,100,100,5,0.04720621044266123,414.0,0.035699980799108744,0
2,100,5,99.85738136867204,0.9985738136867204,0.9985738136867204,100,5,100,100,5,0.047206210442661295,414.0,0.0350000336766243,0
3,100,5,99.8101751582294,0.998101751582294,0.998101751582294,100,5,100,100,5,0.047206210442661684,414.0,0.03239995567128062,0
4,100,5,99.76296894778675,0.9976296894778675,0.9976296894778675,100,5,100,100,5,0.047206210442661906,414.0,0.032800016924738884,0
5,100,5,99.71478243807464,0.9971478243807463,0.9971478243807463,100,5,100,100,6,0.04818650971211236,414.0,271.9704000046477,50600
6,100,5,99.66759592836252,0.9966759592836252,0.9966759592836252,100,5,100,100,5,0.047186509712112246,414.0,0.06360001862049103,0
7,100,5,99.62040941865042,0.9962040941865042,0.9962040941865042,100,5,100,100,5,0.04718650971211236,414.0,0.06350001785904169,0
8,100,5,99.5732229089383,0.9957322290893831,0.9957322290893831,100,5,100,100,5,0.04718650971211236,414.0,0.06330001633614302,0
9,100,5,99.5260363992262,0.995260363992262,0.995260363992262,100,5,100,100,5,0.04718650971211236,414.0,0.062400009483098984,0
10,100,5,99.4780334586,0.9947803345859999,0.9947803345859999,100,5,100,100,6,0.0480029406262224,414.0,268.03830004064366,50600
11,100,5,99.43103051797378,0.9943103051797378,0.9943103051797378,100,5,100,100,5,0.047002940626222456,414.0,0.06859999848529696,0
12,100,5,99.38402757734755,0.9938402757734756,0.9938402757734756,100,5,100,100,5,0.04700294062622212,414.0,0.0638000201433897,0
13,100,5,99.33702463672135,0.9933702463672135,0.9933702463672135,100,5,100,100,5,0.047002940626220235,414.0,0.04449998959898949,0
14,100,5,99.29002169609512,0.9929002169609512,0.9929002169609512,100,5,100,100,5,0.04700294062621968,414.0,0.0651999725960195,0
15,100,5,99.24169067173004,0.9924169067173004,0.9924169067173004,100,5,100,100,6,0.04833102436510539,414.0,249.25880000228062,50600
16,100,5,99.19435964736493,0.9919435964736494,0.9919435964736494,100,5,100,100,5,0.04733102436510528,414.0,0.05299999611452222,0
17,100,5,99.14702862299983,0.9914702862299982,0.9914702862299982,100,5,100,100,5,0.04733102436510528,414.0,0.061400001868605614,0
18,100,5,99.09969759863473,0.9909969759863473,0.9909969759863473,100,5,100,100,5,0.04733102436510539,414.0,0.042000028770416975,0
19,100,5,99.05236657426964,0.9905236657426965,0.9905236657426965,100,5,100,100,5,0.04733102436510517,414.0,0.034800032153725624,0
20,100,5,99.00415819470959,0.9900415819470959,0.9900415819470959,100,5,100,100,6,0.04820837956004986,414.0,279.0692000417039,50600
21,100,5,98.95694981514953,0.9895694981514953,0.9895694981514953,100,5,100,100,5,0.04720837956004997,414.0,0.037299992982298136,0
22,100,5,98.90974143558951,0.989097414355895,0.989097414355895,100,5,100,100,5,0.047208379560050195,414.0,0.0344999716617167,0
23,100,5,98.86253305602945,0.9886253305602944,0.9886253305602944,100,5,100,100,5,0.04720837956004975,414.0,0.03300001844763756,0
24,100,5,98.81532467646942,0.9881532467646942,0.9881532467646942,100,5,100,100,5,0.04720837956004997,414.0,0.033299962524324656,0
25,100,5,98.76732173584318,0.9876732173584318,0.9876732173584318,100,5,100,100,6,0.04800294062621946,414.0,246.71320000197738,50600
26,100,5,98.72031879521698,0.9872031879521699,0.9872031879521699,100,5,100,100,5,0.04700294062622001,414.0,0.06589997792616487,0
27,100,5,98.67331585459075,0.9867331585459076,0.9867331585459076,100,5,100,100,5,0.047002940626220235,414.0,0.04899996565654874,0
28,100,5,98.62631291396455,0.9862631291396455,0.9862631291396455,100,5,100,100,5,0.04700294062621979,414.0,0.060800055507570505,0
29,100,5,98.57930997333833,0.9857930997333832,0.9857930997333832,100,5,100,100,5,0.047002940626220235,414.0,0.06009999196976423,0
30,100,5,98.53097328696796,0.9853097328696796,0.9853097328696796,100,5,100,100,6,0.04833668637039534,414.0,271.0009000147693,50600
31,100,5,98.48363660059756,0.9848363660059757,0.9848363660059757,100,5,100,100,5,0.04733668637039501,414.0,0.06779999239370227,0
32,100,5,98.43629991422716,0.9843629991422717,0.9843629991422717,100,5,100,100,5,0.04733668637039501,414.0,0.06220000796020031,0
33,100,5,98.38896322785679,0.983889632278568,0.983889632278568,100,5,100,100,5,0.04733668637039523,414.0,0.0597000471316278,0
34,100,5,98.34162654148638,0.9834162654148638,0.9834162654148638,100,5,100,100,5,0.04733668637039501,414.0,0.06019999273121357,0
35,100,5,98.29334553395422,0.9829334553395422,0.9829334553395422,100,5,100,100,6,0.048281007532169795,414.0,281.191400019452,50600
36,100,5,98.24606452642206,0.9824606452642206,0.9824606452642206,100,5,100,100,5,0.04728100753216946,414.0,0.08189998334273696,0
37,100,5,98.19878351888991,0.9819878351888991,0.9819878351888991,100,5,100,100,5,0.04728100753216968,414.0,0.06029999349266291,0
38,100,5,98.15150251135773,0.9815150251135774,0.9815150251135774,100,5,100,100,5,0.04728100753216902,414.0,0.058999983593821526,0
39,100,5,98.10422150382558,0.9810422150382558,0.9810422150382558,100,5,100,100,5,0.047281007532169905,414.0,0.059999991208314896,0
40,100,5,98.05586803233257,0.9805586803233257,0.9805586803233257,100,5,100,100,6,0.048353471492988964,414.0,272.6696000318043,50600
41,100,5,98.00851456083961,0.9800851456083961,0.9800851456083961,100,5,100,100,5,0.04735347149298863,414.0,0.06709998706355691,0
42,100,5,97.96116108934663,0.9796116108934663,0.9796116108934663,100,5,100,100,5,0.04735347149298885,414.0,0.06439996650442481,0
43,100,5,97.91380761785364,0.9791380761785363,0.9791380761785363,100,5,100,100,5,0.04735347149298841,414.0,0.060699996538460255,0
44,100,5,97.86645414636064,0.9786645414636064,0.9786645414636064,100,5,100,100,5,0.04735347149298841,414.0,0.05979998968541622,0
45,100,5,97.8180149352347,0.978180149352347,0.978180149352347,100,5,100,100,6,0.04843921112594263,414.0,283.3797999774106,50600
46,100,5,97.77057572410878,0.9777057572410878,0.9777057572410878,100,5,100,100,5,0.04743921112594274,414.0,0.062400009483098984,0
47,100,5,97.72313651298283,0.9772313651298283,0.9772313651298283,100,5,100,100,5,0.04743921112594229,414.0,0.050900038331747055,0
48,100,5,97.6756973018569,0.976756973018569,0.976756973018569,100,5,100,100,5,0.04743921112594318,414.0,0.06259995279833674,0
49,100,5,97.62825809073095,0.9762825809073096,0.9762825809073096,100,5,100,100,5,0.047439211125941405,414.0,0.06279995432123542,0
50,100,5,97.57981673434529,0.9757981673434528,0.9757981673434528,100,5,100,100,6,0.048441356385679146,414.0,276.9399000098929,50600
51,100,5,97.53237537795962,0.9753237537795962,0.9753237537795962,100,5,100,100,5,0.04744135638567881,414.0,0.05030003376305103,0
52,100,5,97.48493402157396,0.9748493402157397,0.9748493402157397,100,5,100,100,5,0.04744135638567748,414.0,0.06520003080368042,0
53,100,5,97.43749266518827,0.9743749266518827,0.9743749266518827,100,5,100,100,5,0.04744135638567837,414.0,0.06059999577701092,0
54,100,5,97.39005130880261,0.9739005130880262,0.9739005130880262,100,5,100,100,5,0.047441356385677924,414.0,0.06290001329034567,0
55,100,5,97.34119317937764,0.9734119317937764,0.9734119317937764,100,5,100,100,6,0.048858129424970365,414.0,269.1087999846786,50600
56,100,5,97.29333504995265,0.9729333504995265,0.9729333504995265,100,5,100,100,5,0.047858129424970475,414.0,0.06710004527121782,0
57,100,5,97.2454769205277,0.972454769205277,0.972454769205277,100,5,100,100,5,0.04785812942497003,414.0,0.06400002166628838,0
