round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,0,99.90216222652224,0.9990216222652224,0.9990216222652224,100,100,100,100,0,0.09783777347776829,1007.0,0.006599992047995329,0
1,100,0,99.80432445304447,0.9980432445304447,0.9980432445304447,100,100,100,100,0,0.09783777347776831,1007.0,0.0036999699659645557,0
2,100,0,99.70648667956668,0.9970648667956667,0.9970648667956667,100,100,100,100,0,0.09783777347776815,1007.0,0.003200024366378784,0
3,100,0,99.60864890608893,0.9960864890608893,0.9960864890608893,100,100,100,100,0,0.09783777347776851,1007.0,0.003600027412176132,0
4,100,0,99.51081113261115,0.9951081113261115,0.9951081113261115,100,100,100,100,0,0.09783777347776851,1007.0,0.0028999638743698597,0
5,100,0,99.41297335913339,0.9941297335913339,0.9941297335913339,100,100,100,100,0,0.0978377734777684,1007.0,0.0035999692045152187,0
6,100,0,99.31513558565564,0.9931513558565563,0.9931513558565563,100,100,100,100,0,0.09783777347776845,1007.0,0.003100023604929447,0
7,100,0,99.21729781217786,0.9921729781217786,0.9921729781217786,100,100,100,100,0,0.09783777347776845,1007.0,0.0030999653972685337,0
8,100,0,99.1194600387001,0.991194600387001,0.991194600387001,100,100,100,100,0,0.09783777347776845,1007.0,0.002600019797682762,0
9,100,0,99.02162226522232,0.9902162226522232,0.9902162226522232,100,100,100,100,0,0.09783777347776845,1007.0,0.0035999692045152187,0
10,100,0,98.92378449174456,0.9892378449174456,0.9892378449174456,100,100,100,100,0,0.09783777347776768,1007.0,0.002900022082030773,0
11,100,0,98.82594671826678,0.9882594671826678,0.9882594671826678,100,100,100,100,0,0.09783777347776756,1007.0,0.0030999653972685337,0
12,100,0,98.728108944789,0.98728108944789,0.98728108944789,100,100,100,100,0,0.09783777347776756,1007.0,0.003300025127828121,0
13,100,0,98.63027117131125,0.9863027117131125,0.9863027117131125,100,100,100,100,0,0.09783777347776756,1007.0,0.002700020559132099,0
14,100,0,98.53243339783347,0.9853243339783347,0.9853243339783347,100,100,100,100,0,0.09783777347776756,1007.0,0.0025999615900218487,0
15,100,0,98.43459562435571,0.984345956243557,0.984345956243557,100,100,100,100,0,0.09783777347776756,1007.0,0.003100023604929447,0
16,100,0,98.33675785087794,0.9833675785087794,0.9833675785087794,100,100,100,100,0,0.09783777347776756,1007.0,0.0029999646358191967,0
17,100,0,98.23892007740015,0.9823892007740015,0.9823892007740015,100,100,100,100,0,0.09783777347776756,1007.0,0.0031999661587178707,0
18,100,0,98.14108230392239,0.9814108230392239,0.9814108230392239,100,100,100,100,0,0.09783777347776756,1007.0,0.002700020559132099,0
19,100,0,98.04324453044462,0.9804324453044463,0.9804324453044463,100,100,100,100,0,0.09783777347776756,1007.0,0.0023999600671231747,0
20,100,0,97.94540675696689,0.9794540675696689,0.9794540675696689,100,100,100,100,0,0.09783777347776956,1007.0,0.003700028173625469,0
21,100,0,97.84756898348908,0.9784756898348909,0.9784756898348909,100,100,100,100,0,0.09783777347776956,1007.0,0.0025999615900218487,0
22,100,0,97.74973121001132,0.9774973121001131,0.9774973121001131,100,100,100,100,0,0.09783777347776956,1007.0,0.0026999623514711857,0
23,100,0,97.65189343653358,0.9765189343653359,0.9765189343653359,100,100,100,100,0,0.09783777347776956,1007.0,0.003600027412176132,0
24,100,0,97.55405566305579,0.9755405566305579,0.9755405566305579,100,100,100,100,0,0.09783777347776956,1007.0,0.005499983672052622,0
25,100,0,97.45621788957804,0.9745621788957805,0.9745621788957805,100,100,100,100,0,0.09783777347776956,1007.0,0.004800036549568176,0
26,100,0,97.35838011610026,0.9735838011610026,0.9735838011610026,100,100,100,100,0,0.09783777347776956,1007.0,0.004300032742321491,0
27,100,0,97.26054234262249,0.9726054234262249,0.9726054234262249,100,100,100,100,0,0.09783777347776956,1007.0,0.002900022082030773,0
28,100,0,97.16270456914472,0.9716270456914472,0.9716270456914472,100,100,100,100,0,0.09783777347776956,1007.0,0.00300002284348011,0
29,100,0,97.06486679566694,0.9706486679566695,0.9706486679566695,100,100,100,100,0,0.09783777347776956,1007.0,0.0031999661587178707,0
30,100,0,96.96702902218917,0.9696702902218917,0.9696702902218917,100,100,100,100,0,0.09783777347776956,1007.0,0.002300017513334751,0
31,100,0,96.8691912487114,0.9686919124871141,0.9686919124871141,100,100,100,100,0,0.09783777347776956,1007.0,0.00300002284348011,0
32,100,0,96.77135347523365,0.9677135347523366,0.9677135347523366,100,100,100,100,0,0.09783777347776956,1007.0,0.0027999631129205227,0
33,100,0,96.67351570175587,0.9667351570175587,0.9667351570175587,100,100,100,100,0,0.09783777347776956,1007.0,0.005499983672052622,0
34,100,0,96.57567792827811,0.9657567792827811,0.9657567792827811,100,100,100,100,0,0.09783777347776956,1007.0,0.0033999676816165447,0
35,100,0,96.47784015480033,0.9647784015480033,0.9647784015480033,100,100,100,100,0,0.09783777347776956,1007.0,0.0032999669201672077,0
36,100,0,96.38000238132257,0.9638000238132257,0.9638000238132257,100,100,100,100,0,0.09783777347776956,1007.0,0.004500034265220165,0
37,100,0,96.2821646078448,0.962821646078448,0.962821646078448,100,100,100,100,0,0.09783777347776956,1007.0,0.004099973011761904,0
38,100,0,96.18432683436704,0.9618432683436704,0.9618432683436704,100,100,100,100,0,0.09783777347776956,1007.0,0.0032999669201672077,0
39,100,0,96.08648906088928,0.9608648906088928,0.9608648906088928,100,100,100,100,0,0.09783777347776956,1007.0,0.0035999692045152187,0
40,100,0,95.9886512874115,0.959886512874115,0.959886512874115,100,100,100,100,0,0.09783777347776867,1007.0,0.002600019797682762,0
41,100,0,95.89081351393372,0.9589081351393373,0.9589081351393373,100,100,100,100,0,0.09783777347776734,1007.0,0.003600027412176132,0
42,100,0,95.79297574045597,0.9579297574045598,0.9579297574045598,100,100,100,100,0,0.09783777347776734,1007.0,0.002500019036233425,0
43,100,0,95.6951379669782,0.9569513796697819,0.9569513796697819,100,100,100,100,0,0.09783777347776734,1007.0,0.003700028173625469,0
44,100,0,95.59730019350044,0.9559730019350045,0.9559730019350045,100,100,100,100,0,0.09783777347776734,1007.0,0.0024999608285725117,0
45,100,0,95.49946242002265,0.9549946242002265,0.9549946242002265,100,100,100,100,0,0.09783777347776734,1007.0,0.003100023604929447,0
46,100,0,95.40162464654486,0.9540162464654486,0.9540162464654486,100,100,100,100,0,0.09783777347776734,1007.0,0.002700020559132099,0
47,100,0,95.30378687306711,0.9530378687306711,0.9530378687306711,100,100,100,100,0,0.09783777347776734,1007.0,0.0031999661587178707,0
48,100,0,95.20594909958936,0.9520594909958936,0.9520594909958936,100,100,100,100,0,0.09783777347776734,1007.0,0.0026999623514711857,0
49,100,0,95.10811132611157,0.9510811132611157,0.9510811132611157,100,100,100,100,0,0.09783777347776734,1007.0,0.004399975296109915,0
50,100,0,95.01027355263382,0.9501027355263382,0.9501027355263382,100,100,100,100,0,0.09783777347776734,1007.0,0.0039000296965241432,0
51,100,0,94.91243577915607,0.9491243577915607,0.9491243577915607,100,100,100,100,0,0.09783777347776734,1007.0,0.004200031980872154,0
52,100,0,94.81459800567828,0.9481459800567827,0.9481459800567827,100,100,100,100,0,0.09783777347776734,1007.0,0.0029999646358191967,0
53,100,0,94.71676023220051,0.9471676023220051,0.9471676023220051,100,100,100,100,0,0.09783777347776734,1007.0,0.0033999676816165447,0
54,100,0,94.61892245872275,0.9461892245872275,0.9461892245872275,100,100,100,100,0,0.09783777347776734,1007.0,0.0037999707274138927,0
55,100,0,94.52108468524497,0.9452108468524497,0.9452108468524497,100,100,100,100,0,0.09783777347776734,1007.0,0.0029999646358191967,0
56,100,0,94.42324691176721,0.9442324691176721,0.9442324691176721,100,100,100,100,0,0.09783777347776734,1007.0,0.0029999646358191967,0
