round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.96988944812557,0.9996988944812557,0.9996988944812557,28,5,25,25,110,0.03011055187444883,414.0,,475
1,100,5,99.94681754083811,0.9994681754083811,0.9994681754083811,25,5,20,20,110,0.023071907287514366,414.0,,475
2,100,5,99.92961154956718,0.9992961154956719,0.9992961154956719,16,5,13,13,110,0.01720599127094477,414.0,,475
3,100,3,99.91245724654644,0.9991245724654644,0.9991245724654644,21,3,18,18,106,0.01715430302078859,680.6666666666666,,291
4,100,11,99.88225208829589,0.9988225208829589,0.9988225208829589,25,7,19,19,120,0.030205158250588712,254.0,,979
5,100,5,99.86302347281654,0.9986302347281654,0.9986302347281654,21,5,17,17,110,0.019228615479423214,414.0,,475
6,100,3,99.84924058901623,0.9984924058901623,0.9984924058901623,13,3,10,10,106,0.013782883800334239,680.6666666666666,,291
7,100,3,99.83150184970427,0.9983150184970426,0.9983150184970426,17,3,14,14,106,0.017738739311957186,680.6666666666666,,291
8,100,4,99.81449569554663,0.9981449569554662,0.9981449569554662,17,4,13,13,108,0.01700615415768711,514.0,,384
9,100,3,99.79601221545988,0.9979601221545988,0.9979601221545988,17,2,15,15,106,0.018483480086785214,894.0,,291
10,100,3,99.78047502290882,0.9978047502290882,0.9978047502290882,15,3,14,14,106,0.015537192551083767,680.6666666666666,,291
11,100,3,99.76068538073945,0.9976068538073944,0.9976068538073944,20,3,17,17,106,0.01978964216937759,680.6666666666666,,291
12,100,5,99.74141478384915,0.9974141478384915,0.9974141478384915,18,5,13,13,110,0.01927059689034058,414.0,,475
13,100,6,99.71918465165766,0.9971918465165766,0.9971918465165766,17,6,12,12,112,0.022230132191520258,347.3333333333333,,564
14,100,4,99.69916169018674,0.9969916169018674,0.9969916169018674,21,4,17,17,108,0.02002296147094651,514.0,,384
15,100,6,99.67989974444244,0.9967989974444244,0.9967989974444244,18,6,13,13,112,0.0192619457443291,347.3333333333333,,564
16,100,10,99.65445295166273,0.9965445295166273,0.9965445295166273,20,6,16,16,120,0.025446792779769578,284.0,,900
17,100,6,99.63616797398073,0.9963616797398074,0.9963616797398074,12,4,8,8,112,0.018284977682033576,404.0,,564
18,100,5,99.62017188514199,0.9962017188514198,0.9962017188514198,11,4,8,8,110,0.015996088838804157,394.0,,475
19,100,5,99.60325684974761,0.9960325684974761,0.9960325684974761,14,4,11,11,110,0.016915035394388822,494.0,,475
20,100,7,99.58521739449618,0.9958521739449618,0.9958521739449618,13,4,10,10,114,0.018039455251511738,374.0,,651
21,100,4,99.57020367478572,0.9957020367478572,0.9957020367478572,14,3,13,13,108,0.015013719710504192,594.0,,384
22,100,6,99.54966276440976,0.9954966276440976,0.9954966276440976,19,5,15,15,112,0.020540910375981714,390.0,,564
23,100,4,99.53187258329503,0.9953187258329502,0.9953187258329502,12,4,11,11,108,0.01779018111477032,514.0,,384
24,100,4,99.51327057679829,0.995132705767983,0.995132705767983,15,4,12,12,108,0.018602006496774126,514.0,,384
25,100,5,99.49606357686055,0.9949606357686055,0.9949606357686055,15,4,12,12,110,0.017206999937787626,444.0,,475
26,100,6,99.47685548419848,0.9947685548419848,0.9947685548419848,17,5,12,12,112,0.019208092662126086,386.0,,564
27,100,4,99.45647086564715,0.9945647086564715,0.9945647086564715,11,4,8,8,108,0.020384618551357647,514.0,,384
28,100,1,99.43976677486734,0.9943976677486733,0.9943976677486733,12,1,11,11,102,0.016704090779850356,2014.0,,99
29,100,5,99.42157511955197,0.9942157511955197,0.9942157511955197,15,4,12,12,110,0.018191655315411892,484.0,,475
30,100,7,99.40240228309027,0.9940240228309026,0.9940240228309026,13,4,10,10,114,0.01917283646174195,434.0,,651
31,100,10,99.37714557916577,0.9937714557916577,0.9937714557916577,19,6,15,15,120,0.0252567039245728,270.6666666666667,,900
32,100,5,99.35894956627732,0.9935894956627732,0.9935894956627732,15,5,11,11,110,0.018196012888465396,414.0,,475
33,100,4,99.34099937665103,0.9934099937665103,0.9934099937665103,17,4,13,13,108,0.017950189626343982,514.0,,384
34,100,6,99.31923776010836,0.9931923776010837,0.9931923776010837,19,6,14,14,112,0.021761616542728124,347.3333333333333,,564
35,100,7,99.29913289802711,0.9929913289802711,0.9929913289802711,15,5,11,11,114,0.020104862081288255,370.0,,651
