run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,apteen,3980,5412,6999,True,24850,74094,73950,99.8056522795368,0.17000295343418764,0.13481880134326563,0.0006945817359831205,412.2435814889336,974.0,548514,588062,,,5361.7265625,332.43685714285715
1,1,apteen,4003,5423,6999,True,24718,72350,72209,99.80511402902556,0.1659301186459127,0.130998512390697,0.002447491140104838,413.8706610567198,934.0,551220,591197,0.848426371214113,18.136660900025163,,336.40714285714284
2,2,apteen,3801,5539,6999,True,24819,73458,73304,99.79035639412997,0.16887179655264087,0.13348046338683187,0.00112892230022638,412.48217091744226,974.0,549174,589438,0.8453490861408811,18.03406840004027,,333.45628571428574
3,3,apteen,4243,5396,6999,True,24799,73261,73150,99.8484869166405,0.16702475698005287,0.13207213323126255,0.004352439075635004,415.59159643534014,994.0,553864,594176,0.8967879859597555,19.155988699989393,,339.705
4,4,apteen,3955,5678,6999,True,25003,74338,74219,99.83992036374399,0.16698524229545308,0.13209142230670112,0.002980521451911135,418.4105907291125,1014.0,561876,604166,0.8856601570566583,18.75836470001377,,343.5174285714286
5,5,apteen,3856,5298,6999,True,24402,71838,71719,99.83434950861661,0.16745143440500673,0.13263807720191156,0.001835639835363144,411.5906892877633,994.0,540712,579277,0.8501821856979015,18.196243799990043,,326.3134285714286
6,6,apteen,3971,5478,6999,True,24472,72347,72229,99.83689717610959,0.1670139998721473,0.13192390937069068,0.0020586154677421182,415.87320202680615,974.0,547505,586878,0.784046685822042,16.722334999998566,,329.8505714285714
7,7,apteen,3770,5495,6999,True,24793,73800,73652,99.79945799457994,0.16957207018209547,0.13435879848369314,0.0023037519987482375,411.49388940426735,954.0,548174,587645,0.7738982285705528,16.590165200002957,,331.23785714285714
8,8,apteen,3954,5609,6999,True,24515,73887,73738,99.79834070946174,0.16925500951936334,0.1344710370635135,0.004297469534816089,416.1198042015093,994.0,548356,588246,0.7849911281872275,16.758357500017155,,332.14628571428574
9,9,apteen,3913,5425,6999,True,24500,74246,74084,99.78180642728228,0.16982241840205697,0.13490519997960507,0.0026022246973266905,417.939387755102,994.0,549156,589554,0.8019273286252948,17.234835700015537,,333.3374285714286
10,10,apteen,3738,5303,6999,True,24429,71806,71694,99.84402417625267,0.16630341892072414,0.13119739998792224,0.004004796579509151,415.2802406975316,974.0,546459,586246,0.8940692572089445,19.19821270002285,,329.9817142857143
11,11,apteen,3870,5521,6999,True,24520,72010,71878,99.8166921260936,0.1665857985890504,0.13160684565060962,0.002132001987071601,413.83160685154974,974.0,546157,585133,0.8350688994063863,17.92288649996044,,329.8477142857143
12,12,apteen,3702,5221,6999,True,23921,69008,68889,99.82755622536517,0.16499966005152109,0.13010394869044292,0.0032008678729384763,408.69135905689564,974.0,529492,566277,0.7497335852240212,15.957252099993639,,316.76757142857144
13,13,apteen,3987,5498,6999,True,24516,72670,72524,99.79909178478052,0.16617163418638198,0.1312677718470413,0.0037120436851620173,418.83284385707293,974.0,552489,593359,0.7889948144771292,16.84409520000918,,336.72485714285716
14,14,apteen,3889,5132,6999,True,23883,70762,70625,99.80639326192023,0.16771261387934094,0.1325815529077833,0.0022488390661402316,415.0661558430683,974.0,532691,570793,0.7679384003276937,16.345015500031877,,318.72785714285715
15,15,apteen,4173,5405,6999,True,24866,75049,74923,99.83210968833696,0.17024370005591932,0.13514980969388676,0.003462293695951214,416.0840907262929,994.0,554370,594137,0.802784457661411,17.164003400015645,,341.7525714285714
16,16,apteen,3801,5154,6999,True,24256,70951,70796,99.7815393722428,0.16887947775770992,0.13361038294370872,0.0017498570810254887,406.21009234828495,974.0,529869,566916,0.863437171302004,18.45601030002581,,319.3294285714286
17,17,apteen,4050,5514,6999,True,24487,73054,72935,99.83710679771129,0.1665329009446752,0.13184058018170447,0.00452733075260014,420.15845142320416,994.0,553206,594526,0.8484424713200757,18.13470509997569,,334.865
18,18,apteen,3831,5280,6999,True,24216,71864,71739,99.82606033619058,0.16819059333733438,0.13329604807197418,0.0032149328937714416,413.2779980178394,974.0,538193,576819,0.7691787146198165,16.4915456000017,,324.418
19,19,apteen,3935,5431,6999,True,24324,71675,71494,99.74747122427625,0.16683146894996087,0.1316466418082217,0.0021982096530057155,413.2073672093406,974.0,543075,582337,0.7968689425615594,16.969935000000987,,326.74057142857146
20,20,apteen,3817,5433,6999,True,24516,71367,71223,99.7982260708731,0.1642135893761137,0.12937099138471264,0.003814016777252769,415.7603197911568,974.0,550533,590604,0.763603057396332,16.352166399999987,,331.54328571428573
21,21,apteen,3834,5375,6999,True,24257,72139,72008,99.8184061326051,0.1675593003224524,0.13252941089859682,0.0016847433451045975,417.43459619903535,974.0,543336,583695,0.9443942428084223,20.061115599994082,,328.4532857142857
22,22,apteen,3860,5288,6999,True,24034,72366,72235,99.81897576209823,0.17117042330847354,0.1362824245008386,0.0028450942744406406,410.60501789132064,974.0,530039,567375,0.8142926284926943,17.420421799994074,,317.0761428571429
23,23,apteen,3800,5572,6999,True,24396,71736,71628,99.84944797591167,0.16469994847343478,0.12995580327012257,0.0051787949418605796,420.36464994261354,994.0,551172,592569,0.8373250571229229,17.883508900005836,,334.06685714285715
24,24,apteen,3854,5186,6999,True,24303,72470,72307,99.77507934317649,0.16938239451512016,0.1341298726353319,0.0031247093529641994,413.5049170884253,974.0,539082,578505,0.7739779286701898,16.603198900003918,,325.9561428571429
25,25,apteen,4059,5453,6999,True,24691,74011,73875,99.81624353136695,0.16866231898477707,0.1336414700109446,0.001637182898584868,416.70855777408775,994.0,552785,594050,0.8036863431833419,17.21679460001178,,338.23942857142856
26,26,apteen,3913,5430,6999,True,24790,73331,73206,99.82954003081916,0.1680355802418424,0.13305512792783622,0.0013099852991428546,412.9999193223074,954.0,550193,589931,0.7724355709589352,16.612615999998525,,333.9605714285714
27,27,apteen,3828,5423,6999,True,24767,73160,72992,99.77036632039365,0.16844074882027035,0.13324692631367574,0.002635855627047652,411.24173295110427,974.0,547795,586886,0.9382241715710344,19.998840300017036,,331.53414285714285
28,28,apteen,3919,5514,6999,True,24628,71609,71466,99.80030443100728,0.16418454827130444,0.1290400629798421,0.002087952824007457,418.31456066266037,994.0,553828,595399,0.8418193852911438,18.14840439998079,,336.35085714285714
29,29,apteen,3934,5475,6999,True,24512,73056,72891,99.7741458607096,0.1677262807363984,0.13278452004036856,0.00412420144019056,417.2669304830287,974.0,548942,589607,0.8254116428267609,17.79181399999652,,337.2984285714286
