run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,dqn,1437,1921,2395,False,9895,196467,195641,99.57957315986908,1.0003564209229265,0.9961506540323936,0.0,409.5512885295604,954.0,196397,12238,,,1899.572265625,8132.9365609348915
1,1,dqn,1542,1956,2456,False,10109,198949,197971,99.50841672991571,1.0003217940015587,0.99540437941524,0.0,405.7716885943219,854.0,198885,12456,0.510680504072356,5.229829599964432,,8070.331705331705
2,2,dqn,1450,1951,2425,False,9937,197110,196327,99.6027598802699,1.0003451040894835,0.9963713320002842,0.0,409.25611351514544,894.0,197042,12310,0.5279330169914102,5.324339299986605,,7995.933223413025
3,3,dqn,1538,1988,2468,False,10024,199767,198786,99.50892790100467,1.0003405124712692,0.995428119319576,0.0,410.72785315243414,854.0,199699,12465,0.5739701095343831,5.660505599982571,,7945.04617253949
4,4,dqn,1442,1996,2480,False,10027,200027,199025,99.49906762587051,1.0003400697142915,0.995329042453703,0.0,411.0798843123566,914.0,199959,12494,0.5270743664974967,5.439278699981514,,7865.703345425231
5,5,dqn,1481,1960,2427,False,9950,196801,195899,99.54166899558437,1.0003507309436188,0.9957658133908057,0.0,407.87336683417084,914.0,196732,12296,0.5270588133369819,5.295364800025709,,7974.041186161449
6,6,dqn,1426,1956,2401,False,9928,196099,195062,99.47118547264392,1.0002958564790019,0.9950061466733999,0.0,407.04794520547944,894.0,196041,12232,0.5207606574321176,5.242809000017587,,8054.510824313073
7,7,dqn,1615,1955,2398,False,9969,198449,197578,99.56109630182061,1.0003377322539344,0.9959472129527881,0.0,410.4931286989668,894.0,198382,12321,0.5099008756306561,5.182012900011614,,8208.347644852021
8,8,dqn,1341,1995,2431,False,9960,197396,196055,99.32065492715151,1.0002787053881352,0.9934833612883284,0.0,407.76506024096386,974.0,197341,12268,0.5101773841057653,5.22782799997367,,7900.8264802631575
9,9,dqn,1516,1976,2481,False,10064,198318,197471,99.57290815760547,1.0003682312290347,0.996095740119549,0.0,406.53974562798095,954.0,198245,12458,0.5028958095231609,5.203911699994933,,7882.745366639807
10,10,dqn,1414,1946,2445,False,10014,197457,196455,99.49254774457224,1.0002836865061473,0.995207724378296,0.0,406.45456361094466,934.0,197401,12408,0.5407854458237202,5.440625599992927,,7986.366312346689
11,11,dqn,1541,1982,2402,False,9937,196752,195799,99.5156338944458,1.0003152168386802,0.9954700289796126,0.0,408.1833551373654,894.0,196690,12220,0.5217575941632471,5.263211100012995,,8085.156471077819
12,12,dqn,1559,1929,2304,False,9755,193870,192555,99.32171042451127,1.0003044202857423,0.9935194596797912,0.0,408.86827268067657,894.0,193811,11995,0.5323721047181741,5.138782299996819,,8421.793926247288
13,13,dqn,1464,1998,2453,False,10022,197926,197134,99.59985044915777,1.0003689607941249,0.9963659888907421,0.0,407.5122729994013,894.0,197853,12295,0.5144180525807753,5.236853800015524,,7957.529747351263
14,14,dqn,1563,1929,2352,False,9810,194402,193380,99.47428524397897,1.0003190285067407,0.9950602037665947,0.0,408.3527013251784,934.0,194340,12072,0.5552572036625899,5.346754300000612,,8225.509562260944
15,15,dqn,1409,2013,2494,False,10126,200235,199163,99.4646290608535,1.0003497114880224,0.9949941298428796,0.0,407.4761998814932,854.0,200165,12541,0.5237465326810529,5.38656000001356,,7857.228456913827
16,16,dqn,1587,1917,2356,False,9825,195083,193825,99.35514627107437,1.0002922687231446,0.9938418467281286,0.0,408.6381679389313,874.0,195026,12068,0.5265509129219756,5.147542599996086,,8270.352142554095
17,17,dqn,1486,1976,2484,False,10028,198712,197596,99.43838318772897,1.0003372851065973,0.994719222734023,0.0,408.20023932987635,954.0,198645,12422,0.5004571432199036,5.228456999990158,,7816.809657947686
18,18,dqn,1477,1898,2403,False,9789,194352,193252,99.43401662962049,1.000329407889319,0.9946677097916495,0.0,408.9392174890183,954.0,194288,12117,0.49850748796786915,5.033866900019348,,7951.278702163062
19,19,dqn,1512,1952,2436,False,9927,196315,195598,99.63477064921172,1.0003566969859106,0.9967031007159418,0.0,408.19159867029316,954.0,196245,12311,0.5088529754376553,5.183149999997113,,7968.780057447681
20,20,dqn,1554,1962,2360,False,9936,197209,196276,99.52689785963116,1.000339856550101,0.9956072272777997,0.0,409.18518518518516,934.0,197142,12196,0.5288382466085262,5.226375300029758,,8318.015247776366
21,21,dqn,1473,1931,2448,False,9910,196378,195611,99.60942671786044,1.0003463909123325,0.9964393051805818,0.0,408.88597376387486,914.0,196310,12271,0.5328866881364025,5.39780040003825,,7886.313189056757
22,22,dqn,1422,1935,2317,False,9811,195259,194520,99.62152832903989,1.000389378173304,0.996603187777624,0.0,410.65681378045053,954.0,195183,11916,0.580094564428659,5.552828000043519,,8349.444779982743
23,23,dqn,1441,1980,2452,False,9984,197794,196664,99.4286985449508,1.0002832030262265,0.9945685705327251,0.0,408.04246794871796,874.0,197738,12371,0.529271829484165,5.4696359999943525,,7909.061557276804
24,24,dqn,1640,1957,2448,False,10036,198504,197438,99.46298311369041,1.0002922709452446,0.9949205325378189,0.0,407.55520127540854,874.0,198446,12313,0.504433156733457,5.172060800017789,,8037.548795426705
25,25,dqn,1569,1939,2503,False,10069,199473,198385,99.45456277290661,1.0003058993440717,0.9948498585842377,0.0,408.1444036150561,914.0,199412,12487,0.5575563901015884,5.779956599988509,,7872.648162939297
