run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,nsga2,1959,2032,2285,False,10451,206641,205872,99.62785700804777,1.0003776087682692,0.9966547736041789,0.0,407.9351258252799,554.0,206563,10847,,,2013.1494140625,104795.7305336833
1,1,nsga2,1969,2048,2650,False,10984,208032,207628,99.80579910782956,1.0004183798600592,0.9984755584409339,0.0,391.8782774945375,574.0,207945,11177,104.77198427011687,281.2970372000127,,90831.05243304414
2,2,nsga2,1940,2020,2349,False,10478,206071,205523,99.73407223723862,1.0004077927247836,0.9977474306631001,0.0,406.29251765604124,574.0,205987,10845,104.94859629773852,250.07763839996187,,101180.8340425532
3,3,nsga2,1954,2013,2560,False,10790,206914,206251,99.67957702233778,1.0003722738194811,0.9971668511920014,0.0,396.04467099165896,574.0,206837,10961,83.24015240097867,215.88099460001104,,92919.14096056228
4,4,nsga2,1979,2056,2625,False,10796,208655,208375,99.86580719369293,1.0004411137162392,0.9990985937102937,0.0,400.16432011856244,554.0,208563,11322,75.6649049886253,201.03078829997685,,91783.13785224676
5,5,nsga2,1943,2005,2361,False,10390,204442,203954,99.7613014938222,1.0004159387738125,0.9980279608723949,0.0,406.6415784408085,574.0,204357,10766,74.5716001275591,178.344918399991,,99857.79847586791
6,6,nsga2,1959,2029,2367,False,10434,205913,205359,99.73095433508327,1.0004081057576921,0.9977165511176753,0.0,407.7638489553383,554.0,205829,10879,117.28180358902652,281.52500109997345,,100671.4527027027
7,7,nsga2,1984,2070,2314,False,10570,207326,206795,99.74388161639158,1.000386014687859,0.9978238421971956,0.0,405.2662251655629,574.0,207246,10901,111.15552241917494,261.0137381000095,,104292.30237580993
8,8,nsga2,1952,2032,2402,False,10526,206533,206083,99.78211714350734,1.0003826518255883,0.9982029895279336,0.0,405.5961428842865,594.0,206454,10919,108.3832688308819,264.07704390003346,,99246.95796920516
9,9,nsga2,2004,2071,2337,False,10547,208598,208033,99.72914409534128,1.0003932551938461,0.9976836309923459,0.0,408.6022565658481,594.0,208516,10992,105.9121250645381,251.1484431999852,,103756.39007698889
10,10,nsga2,1953,2037,2361,False,10477,207548,207185,99.8251006995972,1.0004482899906004,0.998698512930515,0.0,409.6488498616016,614.0,207455,10904,106.430383234659,254.87382859998615,,101386.5368331922
11,11,nsga2,1966,2023,2428,False,10475,205651,205236,99.7982018079173,1.000437826241359,0.9984189607950924,0.0,406.0084964200477,574.0,205561,10923,105.46694767409103,259.60911099996883,,97989.098394401
12,12,nsga2,1939,2010,2414,False,10521,203974,203332,99.68525400296116,1.0003972671940675,0.9972485568410883,0.0,400.42581503659346,594.0,203893,10874,119.30560385078041,291.93232020002324,,97781.31677018634
13,13,nsga2,1922,2002,2849,False,10873,205645,205244,99.80500376863041,1.0004183713678312,0.9984675932457348,0.0,391.56341396118825,554.0,205559,11015,106.34921631630787,306.8040627000155,,82765.43157894736
14,14,nsga2,1933,2009,2924,False,10984,204801,204448,99.82763756036348,1.0004396441813093,0.9987152620035074,0.0,386.3112709395484,574.0,204711,11001,102.98054222158817,304.86316629999783,,80720.82051282052
15,15,nsga2,1969,2041,2402,False,10506,208165,207816,99.83234453438378,1.000432536345068,0.9987552565180824,0.0,409.7776508661717,574.0,208075,10999,107.21701314894516,261.15156430000206,,99755.75530586767
16,16,nsga2,1929,2008,2786,False,10774,204613,204188,99.79229081241172,1.0004009172203725,0.9983229926025884,0.0,393.1560237609059,594.0,204531,10918,103.35651004734905,291.55598280002596,,84722.6551847865
17,17,nsga2,1949,2012,2591,False,10615,206037,205628,99.80149196503541,1.000422432629279,0.9984365137169215,0.0,401.56222326895903,574.0,205950,10999,101.77255817967465,267.24935130000813,,91498.79629629629
18,18,nsga2,1939,2011,2916,False,11085,205018,204391,99.69417319454877,1.0003805991997659,0.9973211671708793,0.0,382.6105548037889,574.0,204940,10950,111.75412032821075,329.8601026000106,,81303.95611930065
19,19,nsga2,1968,2032,2356,False,10491,205829,205299,99.74250470050382,1.0004082723759995,0.9978322680988603,0.0,405.4019635878372,594.0,205745,10915,109.57588184133763,261.907499700028,,101328.57021637676
20,20,nsga2,1949,2027,2427,False,10566,206810,206169,99.69005367245298,1.0003918173067154,0.9972911396078925,0.0,404.2267650955896,594.0,206729,10981,107.74606845194522,265.242464800016,,98250.0823723229
21,21,nsga2,1939,2034,2416,False,10563,205990,205625,99.82280693237536,1.0004225290549433,0.9986498496865028,0.0,403.3558648111332,574.0,205903,10976,105.83405390974823,259.3294991000439,,98484.83243690526
22,22,nsga2,1959,2035,2979,False,11090,206166,205753,99.79967598925138,1.0004124591786725,0.9984083928164168,0.0,385.14995491433723,594.0,206081,11394,102.9931859403533,310.5633034000057,,80064.05369127517
23,23,nsga2,1939,2010,2341,False,10383,205545,205143,99.80442238925782,1.0004137058308187,0.9984571206074175,0.0,409.23673312144854,554.0,205460,10795,103.4827824512693,245.7698107000324,,101080.64901793339
24,24,nsga2,1969,2052,2667,False,10819,207497,207046,99.78264745996329,1.0004242824564025,0.9982498348673394,0.0,396.8636657731768,594.0,207409,10912,113.79779280401851,307.5489551000064,,90058.95052473764
25,25,nsga2,1970,2032,2348,False,10699,207149,206697,99.78179957421952,1.0004008383800334,0.9982179594911768,0.0,400.13057295074304,574.0,207066,10936,110.75124985120834,263.82548559998395,,102011.51128139634
26,26,nsga2,1969,2041,2377,False,10473,207395,206982,99.8008630873454,1.000395537182907,0.9984033803958265,0.0,409.39778477991024,574.0,207313,10955,108.7017238851767,262.13933560001897,,100624.07064760303
27,27,nsga2,1958,2041,2543,False,10655,206625,206152,99.77108287961283,1.0004357614932093,0.9981455927566756,0.0,401.07433129985924,554.0,206535,10925,104.32331273653936,268.8952455999679,,94131.30503144654
28,28,nsga2,1963,2040,2408,False,10592,207160,206756,99.80498165669049,1.0004249729562664,0.9984739607479524,0.0,404.41295317220545,554.0,207072,11004,107.65274865096593,262.8748045999673,,99441.92611041926
29,29,nsga2,1965,2049,2360,False,10556,207587,207322,99.87234268041834,1.00042409842939,0.999146983840886,0.0,406.8582796513831,554.0,207499,10977,106.26903079174106,254.30445380002493,,101708.36086404066
