run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,som,848,2050,2729,False,10706,203049,202107,99.53607257361523,1.0002906547120547,0.9956500320212819,0.0,390.8601718662432,554.0,202990,10784,,,2078.818359375,6713.375457875458
1,1,som,1009,2117,2988,False,10898,206465,205671,99.61543118688397,1.0003052296004884,0.9964583676514762,0.0,391.20572582125163,574.0,206402,11243,37.04093900916496,114.32217990001664,,6333.645700903312
2,2,som,1015,2024,2880,False,10779,204503,203652,99.58386918529312,1.0003179448047819,0.9961553135914066,0.0,391.37814268485016,514.0,204438,11023,38.70282485271024,115.04719469998963,,6429.098229781326
3,3,som,1167,2063,2822,False,10802,205358,204294,99.48188042345562,1.0002727688965525,0.9950901598620568,0.0,391.7219033512313,554.0,205302,11035,39.675188593982426,115.62275830004364,,6652.837407013815
4,4,som,1024,2111,2962,False,10898,207221,206326,99.56809396731026,1.000279972775061,0.9959597032288584,0.0,392.2803266654432,514.0,207163,11127,38.43878133640032,117.60787129995879,,6275.219034762065
5,5,som,1274,2030,2790,False,10462,201943,201071,99.56819498571379,1.0003021567054022,0.9959828018347351,0.0,398.16144140699674,554.0,201882,10866,39.23351769978751,113.05711870000232,,6608.871730562522
6,6,som,1138,2068,2825,False,10823,204373,203564,99.60415514769564,1.0003181471112241,0.9963584392192181,0.0,389.5004157812067,534.0,204308,10939,43.831229866229386,127.85058620001655,,6495.493276716206
7,7,som,1184,2048,2879,False,10767,205067,204225,99.58940248796735,1.000287793647077,0.996180636853196,0.0,392.9275564224018,554.0,205008,10985,41.97343430518635,124.78987819998292,,6495.758333333333
8,8,som,1113,2134,2890,False,10735,204358,203540,99.59972205639124,1.0003622408020207,0.9963580113958999,0.0,392.8846762925012,574.0,204284,11019,38.5104336901919,115.01340039999923,,6364.925977170529
9,9,som,1142,2025,3005,False,10697,203791,202870,99.54806640136218,1.0002895961361005,0.9957689513674828,0.0,393.1319061419089,534.0,203732,10894,37.11966277424761,115.27940769999987,,6169.231869594145
