run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,stub,308,1276,3202,False,148648,148748,148648,99.93277220534058,1.0006727302082772,1.0,0.0,678.8641354071364,1637.0,148648,0,,,6751.9765625,0.0
1,1,stub,336,1078,3305,False,139852,139952,139852,99.92854693037613,1.000715041615422,1.0,0.0,673.7176729685667,1697.0,139852,0,0.0026859948721461345,1.7658301999908872,,0.0
2,2,stub,334,1497,3212,False,151042,151142,151042,99.93383705389634,1.0006620675044027,1.0,0.0,668.4758808808147,1637.0,151042,0,0.002953719401049755,1.8859856000053696,,0.0
3,3,stub,323,1285,3315,False,141937,142037,141937,99.92959580954258,1.0007045379287993,1.0,0.0,692.8774667634232,1677.0,141937,0,0.0026321471966488513,1.8014313000021502,,0.0
4,4,stub,302,1667,3323,False,159741,159841,159741,99.9374378288424,1.0006260133591252,1.0,0.0,694.7120463750697,1657.0,159741,0,0.003004753791949029,2.113037600007374,,0.0
5,5,stub,297,1212,3104,False,131270,131370,131270,99.92387912004263,1.0007617886798201,1.0,0.0,671.4165460501257,1677.0,131270,0,0.0026266018773058665,1.6876318999566138,,0.0
6,6,stub,299,1186,3125,False,145060,145160,145060,99.93111049875999,1.000689369915897,1.0,0.0,655.9944850406728,1657.0,145060,0,0.002825623846649218,1.807153899979312,,0.0
7,7,stub,309,1282,3176,False,148264,148364,148264,99.93259820441617,1.0006744725624561,1.0,0.0,673.6606863432795,1657.0,148264,0,0.002943877752801139,1.8944380999892019,,0.0
8,8,stub,308,1353,3235,False,149953,150053,149953,99.93335688056887,1.000666875621028,1.0,0.0,667.0344774696072,1637.0,149953,0,0.0026999082269805524,1.8946800000267103,,0.0
9,9,stub,328,1217,3144,False,142100,142200,142100,99.929676511955,1.0007037297677692,1.0,0.0,681.4002814919071,1697.0,142100,0,0.0028259141795597795,1.7743073999881744,,0.0
10,10,stub,332,1003,3216,False,138183,138283,138183,99.92768453099802,1.0007236780211748,1.0,0.0,648.7507942366283,1677.0,138183,0,0.0026763753479425957,1.727169000019785,,0.0
11,11,stub,321,1281,3202,False,140371,140471,140371,99.92881092894619,1.0007123978599568,1.0,0.0,668.8305063011591,1657.0,140371,0,0.002996877267319375,1.751954899984412,,0.0
12,12,stub,310,1008,3120,False,126768,126868,126768,99.92117791720528,1.0007888426101224,1.0,0.0,637.2372838571248,1657.0,126768,0,0.002625536909747662,1.5348085999721661,,0.0
13,13,stub,293,1275,3225,False,145366,145466,145366,99.93125541363618,1.0006879187705515,1.0,0.0,680.6436305601035,1677.0,145366,0,0.002899999600088585,1.7915767999948002,,0.0
14,14,stub,307,990,3201,False,132823,132923,132823,99.92476847498175,1.0007528816545328,1.0,0.0,638.843204866627,1657.0,132823,0,0.002740318220874282,1.6266726999892853,,0.0
15,15,stub,356,1350,3195,False,147553,147653,147553,99.93227364157856,1.0006777225810386,1.0,0.0,700.7032117273116,1697.0,147553,0,0.002827002410893474,1.8291158999782056,,0.0
16,16,stub,295,943,3150,False,124240,124340,124240,99.91957535788966,1.0008048937540244,1.0,0.0,653.2606245975531,1677.0,124240,0,0.0027063157795436305,1.5845414999639615,,0.0
17,17,stub,292,1203,3199,False,147858,147958,147858,99.93241325240948,1.0006763245816932,1.0,0.0,672.4752532835558,1657.0,147858,0,0.0027701250473910477,1.8728282999945804,,0.0
18,18,stub,324,1189,3278,False,140129,140229,140129,99.9286880745067,1.0007136281569124,1.0,0.0,640.1516673921886,1657.0,140129,0,0.0032320821779340133,1.780049599998165,,0.0
19,19,stub,339,1245,3237,False,139114,139214,139114,99.9281681440085,1.0007188349123741,1.0,0.0,657.4229624624409,1677.0,139114,0,0.0029243986522681075,1.8559518000110984,,0.0
20,20,stub,338,1192,3213,False,141303,141403,141303,99.92928014257123,1.0007076990580526,1.0,0.0,659.0940815127775,1677.0,141303,0,0.0028160856932392384,1.7507637000526302,,0.0
21,21,stub,328,1149,3283,False,139062,139162,139062,99.9281413029419,1.000719103709137,1.0,0.0,662.8868706044785,1657.0,139062,0,0.003213519947268704,1.7500512999831699,,0.0
22,22,stub,347,1009,3174,False,131330,131430,131330,99.92391387050141,1.0007614406457017,1.0,0.0,642.8463412776974,1677.0,131330,0,0.0026816381948200738,1.5914141000248492,,0.0
23,23,stub,313,1313,3143,False,143750,143850,143750,99.93048314216198,1.000695652173913,1.0,0.0,675.9005913043478,1657.0,143750,0,0.002616412067340341,1.7145888999802992,,0.0
24,24,stub,344,1052,2982,False,131128,131228,131128,99.92379675069346,1.0007626136294308,1.0,0.0,667.7241779025074,1677.0,131128,0,0.002800905870188164,1.66990400000941,,0.0
25,25,stub,340,1351,3093,False,145699,145799,145699,99.93141242395353,1.0006863465088984,1.0,0.0,690.7748371642907,1677.0,145699,0,0.002708920405132536,1.7994490999844857,,0.0
26,26,stub,330,1196,3316,False,150985,151085,150985,99.9338120925307,1.0006623174487532,1.0,0.0,655.0424545484651,1657.0,150985,0,0.0026742842971867542,1.785845700011123,,0.0
