run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,teen,4105,5646,6999,True,24485,69384,69278,99.84722702640379,0.15689027487723656,0.12219549020714568,0.002577346496952812,427.4336940984276,974.0,566944,610397,,,5370.3203125,345.35742857142856
1,1,teen,4210,5620,6999,True,24468,67593,67487,99.84317902741408,0.15339332134980072,0.1186985320758832,0.004253071511847104,426.7211868563021,954.0,568558,612368,0.8629377428192778,18.151171100034844,,348.80185714285716
2,2,teen,4011,5717,6999,True,24627,68892,68774,99.828717412762,0.15616127501063157,0.12135681628490107,0.0036586707859229115,422.809639826207,974.0,566709,609595,0.8726523283652828,18.418805200024508,,345.763
3,3,teen,4408,5658,6999,True,24462,68570,68439,99.8089543532157,0.15408055276162155,0.11971662220667337,0.007883197499577346,428.63473959610826,1014.0,571675,615111,0.8569452711879941,18.042052000004333,,352.1531428571429
4,4,teen,4142,5902,6999,True,24832,69741,69605,99.8049927589223,0.15455503123238168,0.12000717232723053,0.004984785284047768,429.2280525128866,1034.0,580007,625267,0.9336081427422219,19.64616569998907,,355.63057142857144
5,5,teen,4104,5478,6999,True,24025,67182,67065,99.82584620880594,0.15410912294776655,0.12009863614223089,0.006237935813383226,425.6659313215401,1014.0,558416,600047,0.8639187715681536,18.092940700007603,,338.62228571428574
6,6,teen,4135,5617,6999,True,24251,67931,67797,99.8027410166198,0.15461712648786075,0.12003271833023206,0.004344497397288527,426.85159374871137,974.0,564821,607621,0.7928918282767492,16.559056899975985,,342.14471428571426
7,7,teen,3833,5618,6999,True,24425,69383,69240,99.79389764063244,0.1566458931101821,0.12203289459770034,0.0038578926850668703,427.8827021494371,974.0,567388,611591,0.7866108429900903,16.46648839995032,,344.06314285714285
8,8,teen,4009,5817,6999,True,24227,68969,68828,99.79556032420362,0.15569503089711834,0.121345897867614,0.006559785868997077,430.4147026045321,1014.0,567205,610890,0.8096832146735063,17.04545999999391,,344.9188571428571
9,9,teen,4038,5607,6999,True,24453,69502,69358,99.7928117176484,0.15697861406714428,0.12256532234407637,0.006722074746606363,423.82889624994885,994.0,565886,607281,0.8205477427025991,17.343129700049758,,345.20628571428574
10,10,teen,3900,5466,6999,True,24315,67078,66962,99.82706699663079,0.15316185909938793,0.11873284489300888,0.0073386673622812286,424.12699979436564,974.0,563972,605948,0.7931578286807053,16.687050200009253,,342.21985714285717
11,11,teen,4015,5696,6999,True,24373,67239,67099,99.7917875042758,0.15307320661823481,0.1186610029214739,0.004472253586235639,424.0561276822714,974.0,565468,607325,0.9033309278643823,18.978296699991915,,342.5342857142857
12,12,teen,3849,5414,6999,True,23746,64479,64357,99.81079111028397,0.152420943190388,0.11780178504748168,0.005930193998310959,418.41253263707574,974.0,546316,585319,0.7771760567723375,16.19103330001235,,328.113
13,13,teen,4171,5565,6999,True,24488,68060,67942,99.82662356744049,0.1537442654011807,0.11919544565398549,0.0056579784530072,428.23815746488077,994.0,570005,614251,0.8296847567294857,16.98575340001844,,348.77957142857144
14,14,teen,3973,5369,6999,True,24018,66225,66103,99.81577953944884,0.1549129117758425,0.12033429936212973,0.005464411582223715,418.4701473894579,974.0,549328,588271,0.8065438861792374,16.53605359996436,,329.836
15,15,teen,4436,5567,6999,True,24596,70486,70357,99.81698493317822,0.15754954022405662,0.12302131982535683,0.005303890449806729,429.6178240364287,1014.0,571909,616042,0.8650415428149115,17.76657099998556,,353.95642857142855
16,16,teen,3971,5290,6999,True,23856,66598,66464,99.79879275653923,0.1563494385721078,0.12154639552320691,0.004104506707645016,419.9908618376928,974.0,546820,586790,0.7995271717331239,16.43258710001828,,330.56642857142856
17,17,teen,4147,5719,6999,True,24432,68391,68282,99.84062230410434,0.15396679806473748,0.11952206577371992,0.007450346838032288,430.255566470203,1014.0,571292,614632,1.0027373428456485,20.378221400023904,,346.83042857142857
