round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,4,99.96305879542038,0.9996305879542038,0.9996305879542038,42,4,39,39,108,0.036941204579651214,514.0,1.281999982893467,384
1,100,4,99.93452359360302,0.9993452359360302,0.9993452359360302,33,3,30,16,108,0.02853520181740419,307.3333333333333,1.7383999656885862,384
2,100,5,99.90412201275937,0.9990412201275938,0.9990412201275938,28,2,24,12,110,0.0304015808436445,494.0,1.9019999890588224,475
3,100,4,99.8821091490505,0.998821091490505,0.998821091490505,28,4,24,24,108,0.022012863708921887,514.0,0.8940999978221953,384
4,100,6,99.85210746205694,0.9985210746205694,0.9985210746205694,31,5,26,19,112,0.03000168699362743,338.0,1.2075999984517694,564
5,100,6,99.82510041352866,0.9982510041352866,0.9982510041352866,21,5,17,16,112,0.027007048528331218,342.0,1.2762999976985157,564
6,100,4,99.79765853250017,0.9979765853250017,0.9979765853250017,20,2,17,12,108,0.02744188102849135,714.0,1.1752000427804887,384
7,100,5,99.77441325661046,0.9977441325661046,0.9977441325661046,19,3,15,8,110,0.023245275889761746,347.3333333333333,1.3348999782465398,475
8,100,4,99.75571103717813,0.9975571103717813,0.9975571103717813,15,2,12,4,108,0.018702219432343847,344.0,1.2221999932080507,384
9,100,5,99.7404032705296,0.997404032705296,0.997404032705296,12,3,9,9,110,0.015307766648562815,527.3333333333334,1.2959999730810523,475
10,100,8,99.7089222215832,0.997089222215832,0.997089222215832,20,7,13,11,116,0.031481048946436885,276.85714285714283,1.1758999899029732,736
11,100,5,99.69077825684593,0.9969077825684594,0.9969077825684594,19,5,14,14,110,0.01814396473732749,414.0,1.1981000425294042,475
12,100,5,99.66617497959417,0.9966617497959418,0.9966617497959418,21,3,18,14,110,0.024603277251787348,474.0,1.1610999936237931,475
13,100,9,99.6354574069985,0.996354574069985,0.996354574069985,15,3,12,8,118,0.030717572595713893,314.0,1.2422000290825963,819
14,100,7,99.6084421441685,0.9960844214416851,0.9960844214416851,21,5,15,11,114,0.027015262830028586,318.0,0.9494000114500523,651
15,100,2,99.59523231778408,0.9959523231778408,0.9959523231778408,14,2,12,12,104,0.013209826384447343,1014.0,1.0268999612890184,196
16,100,8,99.57275233167131,0.9957275233167131,0.9957275233167131,22,8,15,15,116,0.022479986112820483,264.0,0.9227000409737229,736
17,100,3,99.55134175460657,0.9955134175460657,0.9955134175460657,13,3,11,11,106,0.021410577064772673,680.6666666666666,0.9613999864086509,291
18,100,4,99.53412434075234,0.9953412434075234,0.9953412434075234,17,3,15,15,106,0.017217413854261565,674.0,1.0544999968260527,384
19,100,2,99.51610664518714,0.9951610664518714,0.9951610664518714,19,2,17,17,104,0.018017695565235026,1014.0,1.0814000270329416,196
20,100,1,99.50314534368263,0.9950314534368263,0.9950314534368263,12,1,11,11,102,0.012961301504516742,2014.0,1.3724000309593976,99
21,100,4,99.4789206488058,0.994789206488058,0.994789206488058,16,2,13,7,108,0.024224694876867736,624.0,1.0004000505432487,384
22,100,7,99.4534257094115,0.994534257094115,0.994534257094115,22,6,17,17,112,0.02549493939437164,344.0,1.013199973385781,651
23,100,4,99.43553946278594,0.9943553946278594,0.9943553946278594,17,2,15,15,104,0.017886246625567703,994.0,1.244200044311583,384
24,100,3,99.42174197466667,0.9942174197466668,0.9942174197466668,13,2,11,11,106,0.013797488119309587,794.0,1.240899960976094,291
25,100,6,99.40081491418738,0.9940081491418737,0.9940081491418737,18,5,12,10,112,0.020927060479335347,342.0,1.180300023406744,564
