round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.9397154354588,0.999397154354588,0.999397154354588,100,5,100,97,5,0.06028456454121642,414.0,0.6646999972872436,10575
1,100,5,99.87997480075082,0.9987997480075081,0.9987997480075081,100,5,100,98,6,0.059740634707992596,414.0,0.5763000226579607,10575
2,100,5,99.82328942104915,0.9982328942104916,0.9982328942104916,100,5,100,99,5,0.056685379701656546,414.0,0.5474999779835343,10575
3,100,5,99.76620395487545,0.9976620395487545,0.9976620395487545,100,4,100,63,6,0.05708546617371302,334.0,0.5322000361047685,10575
4,100,5,99.70739549933137,0.9970739549933136,0.9970739549933136,100,5,100,98,5,0.05880845554409603,414.0,0.5728999967686832,10575
5,100,5,99.65156761863322,0.9965156761863322,0.9965156761863322,100,5,100,99,6,0.05582788069816824,414.0,0.527299998793751,10575
6,100,5,99.59690608758702,0.9959690608758701,0.9959690608758701,100,5,100,99,6,0.05466153104620286,414.0,0.5307999672368169,10575
7,100,5,99.54235407425487,0.9954235407425487,0.9954235407425487,100,5,100,100,4,0.05455201333216719,414.0,0.5450000171549618,10575
8,100,5,99.48412245731397,0.9948412245731397,0.9948412245731397,100,5,100,98,5,0.05823161694090262,414.0,0.575200014282018,10575
9,100,5,99.42709583189112,0.9942709583189112,0.9942709583189112,100,5,100,98,4,0.057026625422871846,414.0,0.5694999708794057,10575
10,100,5,99.37029154545395,0.9937029154545395,0.9937029154545395,100,4,100,45,5,0.056804286437192264,244.0,0.5668000085279346,10575
11,100,5,99.31266128316547,0.9931266128316547,0.9931266128316547,100,5,100,98,5,0.057630262288502654,414.0,0.5435000057332218,10575
12,100,5,99.25504469725827,0.9925504469725827,0.9925504469725827,100,5,100,98,5,0.05761658590718677,414.0,0.5284000071696937,10575
13,100,5,99.19923473795835,0.9919923473795835,0.9919923473795835,100,5,100,99,6,0.05580995929991528,414.0,0.5592999514192343,10575
14,100,5,99.14423938068589,0.9914423938068588,0.9914423938068588,100,5,100,99,4,0.05499535727249505,414.0,0.604200002271682,10575
15,100,5,99.08711350830094,0.9908711350830095,0.9908711350830095,100,5,100,99,4,0.057125872384943155,414.0,0.5681000184267759,10575
16,100,5,99.03132060460943,0.9903132060460943,0.9903132060460943,100,4,100,51,5,0.05579290369152834,274.0,0.6081000319682062,10575
