round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.92605436212052,0.9992605436212052,0.9992605436212052,100,3,100,52,6,0.07394563787949013,360.6666666666667,1.5098999720066786,12038
1,100,5,99.84936337441205,0.9984936337441205,0.9984936337441205,100,2,100,43,6,0.0766909877084768,444.0,1.1977999820373952,12027
2,100,5,99.77961163356706,0.9977961163356706,0.9977961163356706,100,2,100,48,6,0.06975174084501704,494.0,1.2659999774768949,12035
3,100,5,99.71504446100519,0.9971504446100519,0.9971504446100519,100,4,100,93,6,0.06456717256186109,484.0,2.5108999689109623,12053
4,100,5,99.65996505546481,0.996599650554648,0.996599650554648,100,5,100,99,6,0.05507940554039775,414.0,2.155299996957183,12053
5,100,5,99.60452270866769,0.9960452270866769,0.9960452270866769,100,5,100,99,6,0.05544234679714499,414.0,1.422200002707541,12041
6,100,5,99.54219954904414,0.9954219954904414,0.9954219954904414,100,4,100,92,6,0.062323159623560664,479.0,2.8773999656550586,12034
7,100,5,99.48712014350374,0.9948712014350375,0.9948712014350375,100,5,100,99,6,0.05507940554039792,414.0,1.5854000230319798,12044
8,100,5,99.42479698388019,0.9942479698388018,0.9942479698388018,100,4,100,92,6,0.06232315962356039,479.0,1.3004999491386116,12036
9,100,5,99.36579531805624,0.9936579531805624,0.9936579531805624,100,4,100,85,6,0.05900166582395938,444.0,1.3053000438958406,12040
10,100,5,99.30391456050585,0.9930391456050585,0.9930391456050585,100,4,100,87,6,0.061880757550427656,454.0,1.458299986552447,12048
11,100,5,99.24844792477914,0.9924844792477914,0.9924844792477914,100,5,100,99,6,0.05546663572671928,414.0,1.777099969331175,12023
12,100,5,99.18944625895517,0.9918944625895517,0.9918944625895517,100,4,100,85,6,0.05900166582395949,444.0,1.3144999975338578,12042
13,100,5,99.12273725347453,0.9912273725347452,0.9912273725347452,100,3,100,76,6,0.06670900548066971,527.3333333333334,1.5238000196404755,12024
14,100,5,99.06373558765057,0.9906373558765057,0.9906373558765057,100,4,100,85,6,0.05900166582395683,444.0,1.594299974385649,12022
15,100,5,99.00473392182663,0.9900473392182663,0.9900473392182663,100,4,100,85,6,0.05900166582395694,444.0,1.3853000127710402,12029
16,100,5,98.94039982872742,0.9894039982872742,0.9894039982872742,100,3,100,70,6,0.06433409309919869,487.3333333333333,1.4887999859638512,12034
17,100,5,98.88139816290348,0.9888139816290348,0.9888139816290348,100,4,100,85,6,0.05900166582395805,444.0,1.4169999631121755,12040
18,100,5,98.81464596298682,0.9881464596298681,0.9881464596298681,100,3,100,49,6,0.06675219991666559,340.6666666666667,1.386100018862635,12033
19,100,5,98.75120955644972,0.9875120955644973,0.9875120955644973,100,4,100,64,6,0.06343640653712312,339.0,1.7752000130712986,12042
20,100,5,98.68250636712663,0.9868250636712663,0.9868250636712663,100,3,100,64,6,0.0687031893230825,447.3333333333333,1.338500005658716,12030
21,100,5,98.62596176135122,0.9862596176135122,0.9862596176135122,100,5,100,99,6,0.056544605775448176,414.0,1.4712000265717506,12030
22,100,5,98.56850309055093,0.9856850309055093,0.9856850309055093,100,5,100,99,6,0.05745867080028533,414.0,2.1872000070288777,12040
23,100,5,98.5036050577106,0.985036050577106,0.985036050577106,100,4,100,95,6,0.0648980328403308,494.0,1.4799999771639705,12038
24,100,5,98.43455028643626,0.9843455028643626,0.9843455028643626,100,3,100,57,6,0.06905477127436366,400.6666666666667,2.045400033239275,12037
25,100,5,98.37947088089587,0.9837947088089587,0.9837947088089587,100,5,100,99,6,0.055079405540396476,414.0,1.546100014820695,12034
26,100,5,98.32046921507192,0.9832046921507193,0.9832046921507193,100,4,100,85,6,0.059001665823957605,444.0,1.4543000143021345,12046
27,100,5,98.25086890111997,0.9825086890111997,0.9825086890111997,100,3,100,57,6,0.06960031395194521,400.6666666666667,1.714400015771389,12051
28,100,5,98.18740774269416,0.9818740774269417,0.9818740774269417,100,3,100,53,6,0.06346115842581201,374.0,1.3180000241845846,12037
29,100,5,98.12840607687023,0.9812840607687023,0.9812840607687023,100,4,100,85,6,0.05900166582395805,444.0,1.5144000062718987,12050
30,100,5,98.05935130559588,0.9805935130559589,0.9805935130559589,100,3,100,57,6,0.06905477127436255,400.6666666666667,1.4463000115938485,12053
31,100,5,97.99589014717007,0.9799589014717007,0.9799589014717007,100,3,100,53,6,0.06346115842581024,374.0,1.838600030168891,12053
32,100,5,97.92683537589572,0.9792683537589572,0.9792683537589572,100,3,100,57,6,0.06905477127436077,400.6666666666667,2.181700023356825,12063
33,100,5,97.86339896935861,0.9786339896935862,0.9786339896935862,100,4,100,64,6,0.06343640653712068,339.0,1.5197000466287136,12054
34,100,5,97.80021469217431,0.978002146921743,0.978002146921743,100,4,100,64,6,0.06318427718431074,339.0,1.424300018697977,12037
35,100,5,97.73675353374848,0.9773675353374849,0.9773675353374849,100,3,100,53,6,0.06346115842580868,374.0,1.4795999741181731,12041
36,100,5,97.6732923753227,0.9767329237532271,0.9767329237532271,100,3,100,53,6,0.06346115842580913,374.0,1.5568999806419015,12049
37,100,5,97.60983121689691,0.976098312168969,0.976098312168969,100,3,100,53,6,0.06346115842580824,374.0,1.3821999891661108,12053
38,100,5,97.54639481035979,0.9754639481035978,0.9754639481035978,100,4,100,64,6,0.06343640653712068,339.0,1.4916000072844326,12047
39,100,5,97.47586802255884,0.9747586802255884,0.9747586802255884,100,3,100,49,6,0.0705267878009308,340.6666666666667,1.4720000326633453,12028
40,100,5,97.41243161602175,0.9741243161602174,0.9741243161602174,100,4,100,64,6,0.06343640653712024,339.0,1.5644999803043902,12044
41,100,5,97.33601337959779,0.9733601337959779,0.9733601337959779,100,3,100,52,6,0.07641823642394563,360.6666666666667,1.8913999665528536,12036
42,100,5,97.26695860832342,0.9726695860832342,0.9726695860832342,100,3,100,57,6,0.06905477127436033,400.6666666666667,1.2066999915987253,12023
43,100,5,97.19790383704908,0.9719790383704908,0.9719790383704908,100,3,100,57,6,0.06905477127436166,400.6666666666667,1.5436999965459108,12027
44,100,5,97.1284207105572,0.971284207105572,0.971284207105572,100,4,100,76,6,0.0694831264919138,404.0,1.3834999990649521,12025
45,100,5,97.05277338415776,0.9705277338415776,0.9705277338415776,100,3,100,70,6,0.07564732639945593,494.0,1.7766000237315893,12025
46,100,5,96.98268953213615,0.9698268953213615,0.9698268953213615,100,4,100,76,6,0.07008385202161982,404.0,1.6841000178828835,12038
47,100,5,96.91320640564423,0.9691320640564424,0.9691320640564424,100,4,100,76,6,0.0694831264919138,404.0,1.4332999708130956,12031
48,100,5,96.84372327915233,0.9684372327915233,0.9684372327915233,100,4,100,76,6,0.06948312649191468,404.0,1.6566000413149595,12031
49,100,5,96.77424015266043,0.9677424015266043,0.9677424015266043,100,4,100,76,6,0.0694831264919138,404.0,1.392900012433529,12043
50,100,5,96.704016258389,0.96704016258389,0.96704016258389,100,4,100,94,6,0.07022389427141063,494.0,1.5038000419735909,12030
51,100,5,96.6345131318971,0.9663451313189709,0.9663451313189709,100,4,100,77,6,0.06950312649191348,404.0,1.7198999994434416,12027
52,100,5,96.56564961045781,0.9656564961045782,0.9656564961045782,100,4,100,77,6,0.06886352143929031,404.0,1.4989000046625733,12039
53,100,5,96.49668492629168,0.9649668492629168,0.9649668492629168,100,4,100,95,6,0.0689646841661613,494.0,1.66529999114573,12027
54,100,5,96.42646103202026,0.9642646103202026,0.9642646103202026,100,4,100,94,6,0.07022389427140974,494.0,1.4403000241145492,12031
55,100,5,96.35623713774886,0.9635623713774887,0.9635623713774887,100,4,100,94,6,0.07022389427141018,494.0,2.2628000006079674,12035
56,100,5,96.28601324347746,0.9628601324347745,0.9628601324347745,100,4,100,94,6,0.07022389427140974,494.0,1.9440999603830278,12034
57,100,5,96.21578934920605,0.9621578934920605,0.9621578934920605,100,4,100,94,6,0.07022389427140974,494.0,2.6750999968498945,12034
58,100,5,96.1391577266675,0.961391577266675,0.961391577266675,100,3,100,71,6,0.07663162253856948,500.6666666666667,2.670799964107573,12034
59,100,5,96.06252610412893,0.9606252610412893,0.9606252610412893,100,3,100,71,6,0.07663162253856859,500.6666666666667,1.4875000342726707,12034
60,100,5,95.9834218830459,0.959834218830459,0.959834218830459,100,3,100,71,6,0.07910422108302795,500.6666666666667,1.2429000344127417,12034
61,100,5,95.9043176619629,0.959043176619629,0.959043176619629,100,3,100,71,6,0.0791042210830275,500.6666666666667,1.5766999567858875,12034
62,100,5,95.82768603942434,0.9582768603942433,0.9582768603942433,100,3,100,71,6,0.07663162253856814,500.6666666666667,1.399700006004423,12040
63,100,5,95.74610921979685,0.9574610921979685,0.9574610921979685,100,3,100,71,6,0.08157681962748686,500.6666666666667,1.3526999973692,12041
64,100,5,95.6694775972583,0.9566947759725829,0.9566947759725829,100,3,100,71,6,0.0766316225385717,500.6666666666667,1.621500006876886,12041
65,100,5,95.60121376055714,0.9560121376055715,0.9560121376055715,100,4,100,95,6,0.06826383670115721,494.0,1.3907999964430928,12041
66,100,5,95.53356952890861,0.9553356952890861,0.9553356952890861,100,4,100,96,6,0.0676442316485355,494.0,1.4155000098980963,12033
67,100,5,95.46036049511854,0.9546036049511853,0.9546036049511853,100,4,100,95,6,0.07320903379007682,494.0,1.4545000158250332,12037
68,100,5,95.38962405987294,0.9538962405987295,0.9538962405987295,100,4,100,95,6,0.07073643524561835,494.0,1.3387000071816146,12034
69,100,5,95.32136022317177,0.9532136022317177,0.9532136022317177,100,4,100,95,6,0.06826383670115899,494.0,1.3455000007525086,12037
70,100,5,95.26025958319012,0.9526025958319012,0.9526025958319012,100,4,100,61,6,0.06110063998167803,319.0,1.4040999813005328,12039
71,100,5,95.19498165965726,0.9519498165965726,0.9519498165965726,100,2,100,64,6,0.06527792353287509,654.0,1.3505000388249755,12036
72,100,5,95.12424522441164,0.9512424522441164,0.9512424522441164,100,4,100,95,6,0.07073643524561923,494.0,1.4070000033825636,12035
73,100,5,95.05350878916603,0.9505350878916603,0.9505350878916603,100,4,100,95,6,0.07073643524561746,494.0,1.5305000124499202,12035
74,100,5,94.98029975537597,0.9498029975537596,0.9498029975537596,100,3,100,82,6,0.07320903379007859,567.3333333333334,1.5697999624535441,12033
75,100,5,94.92434246163758,0.9492434246163758,0.9492434246163758,100,5,100,100,6,0.05595729373839564,414.0,1.4759000041522086,12027
76,100,5,94.86343997081029,0.9486343997081029,0.9486343997081029,100,4,100,85,6,0.06090249082731436,439.0,1.3531000004149973,12028
77,100,5,94.80253747998297,0.9480253747998297,0.9480253747998297,100,4,100,85,6,0.06090249082731436,439.0,1.845100021455437,12025
78,100,5,94.74680525213643,0.9474680525213642,0.9474680525213642,100,4,100,80,6,0.05573222784656995,414.0,1.4338000328280032,12025
79,100,5,94.69107302428985,0.9469107302428985,0.9469107302428985,100,4,100,80,6,0.055732227846571725,414.0,2.007200033403933,12025
80,100,5,94.63625437069415,0.9463625437069415,0.9463625437069415,100,4,100,92,6,0.05481865359573401,474.0,1.4325999654829502,12035
81,100,5,94.57922892925541,0.9457922892925541,0.9457922892925541,100,4,100,90,6,0.05702544143873478,464.0,1.358299981802702,12042
82,100,5,94.5230601486493,0.945230601486493,0.945230601486493,100,4,100,90,6,0.056168780606125956,464.0,1.873200002592057,12029
83,100,5,94.46797141758304,0.9446797141758304,0.9446797141758304,100,4,100,87,6,0.055088731066244456,449.0,1.4649999793618917,12032
84,100,5,94.41288268651682,0.9441288268651682,0.9441288268651682,100,4,100,87,6,0.05508873106624268,449.0,1.5371000044979155,12032
85,100,5,94.35779395545059,0.9435779395545059,0.9435779395545059,100,4,100,87,6,0.05508873106624357,449.0,1.4960000407882035,12032
86,100,5,94.30681042294665,0.9430681042294665,0.9430681042294665,100,5,100,100,6,0.050983532503964035,414.0,1.4889999874867499,12042
87,100,5,94.25582689044268,0.9425582689044267,0.9425582689044267,100,5,100,100,6,0.05098353250396315,414.0,1.4322999631986022,12040
88,100,5,94.20484335793874,0.9420484335793874,0.9420484335793874,100,5,100,100,6,0.05098353250396315,414.0,1.4498999807983637,12041
89,100,5,94.15176877143693,0.9415176877143694,0.9415176877143694,100,4,100,81,6,0.05307458650180674,419.0,1.5638000331819057,12037
90,100,5,94.10078523893297,0.9410078523893297,0.9410078523893297,100,5,100,100,6,0.05098353250396315,414.0,1.3781000161543489,12035
91,100,5,94.0492189268557,0.940492189268557,0.940492189268557,100,5,100,100,6,0.05156631207728868,414.0,1.4605000033043325,12032
92,100,5,93.99671330989338,0.9399671330989338,0.9399671330989338,100,5,100,100,6,0.052505616962321255,414.0,1.3689000043086708,12039
93,100,5,93.94572977738943,0.9394572977738943,0.9394572977738943,100,5,100,100,6,0.05098353250396315,414.0,1.4253000263124704,12039
94,100,5,93.89265519088762,0.9389265519088762,0.9389265519088762,100,4,100,81,6,0.053074586501805854,419.0,1.2577000306919217,12036
95,100,5,93.83958060438583,0.9383958060438583,0.9383958060438583,100,4,100,81,6,0.05307458650180674,419.0,1.4253999688662589,12032
96,100,5,93.78801429230857,0.9378801429230857,0.9378801429230857,100,5,100,100,6,0.05156631207728957,414.0,1.3727000332437456,12028
