round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,6,99.94307905046445,0.9994307905046445,0.9994307905046445,100,5,100,83,106,0.05692094953558493,346.0,1.0569000151008368,564
1,100,8,99.88635785992909,0.9988635785992909,0.9988635785992909,100,8,100,100,108,0.056721190535402026,264.0,1.0012999991886318,736
2,100,4,99.82348555769167,0.9982348555769167,0.9982348555769167,100,3,100,82,104,0.06287230223744632,560.6666666666666,0.9493000106886029,384
3,100,4,99.76321433309465,0.9976321433309465,0.9976321433309465,100,4,100,100,104,0.06027122459704054,514.0,1.0308999917469919,384
4,100,6,99.70839200016457,0.9970839200016457,0.9970839200016457,100,6,100,100,106,0.054822332930135886,347.3333333333333,0.8379999781027436,564
5,100,6,99.65081009814986,0.9965081009814987,0.9965081009814987,100,6,100,100,106,0.057581902014727904,347.3333333333333,0.8797000045888126,564
6,100,6,99.59492733284893,0.9959492733284893,0.9959492733284893,100,6,100,100,106,0.05588276530099695,347.3333333333333,0.9817000245675445,564
7,100,2,99.53013245042584,0.9953013245042583,0.9953013245042583,100,1,100,38,102,0.06479488242310594,774.0,1.012300024740398,196
8,100,2,99.4762374986053,0.994762374986053,0.994762374986053,100,2,100,100,102,0.05389495182056897,1014.0,1.041000010445714,196
9,100,7,99.4185674123637,0.994185674123637,0.994185674123637,100,7,100,100,107,0.05767008624163861,299.7142857142857,0.9843999869190156,651
10,100,3,99.362962388094,0.99362962388094,0.99362962388094,100,3,100,100,103,0.05560502426969094,680.6666666666666,0.9580000187270343,291
11,100,4,99.29098868365345,0.9929098868365345,0.9929098868365345,100,2,100,77,104,0.07197370444059137,784.0,0.9627999970689416,384
12,100,2,99.23148710138892,0.9923148710138893,0.9923148710138893,100,2,100,100,102,0.0595015822645788,1014.0,0.9917999850586057,196
13,100,9,99.15967928044297,0.9915967928044297,0.9915967928044297,100,7,100,83,109,0.07180782094597715,251.14285714285714,0.952600035816431,819
14,100,4,99.10387830192933,0.9910387830192933,0.9910387830192933,100,4,100,100,103,0.055800978513657395,514.0,1.0275999666191638,384
15,100,3,99.04571507280188,0.9904571507280189,0.9904571507280189,100,2,100,55,103,0.05816322912747329,564.0,1.1433999752625823,291
16,100,5,98.98681547077635,0.9898681547077635,0.9898681547077635,100,5,100,100,105,0.058899602025562436,414.0,0.971200002823025,475
17,100,8,98.91650295685436,0.9891650295685436,0.9891650295685436,100,6,100,74,108,0.07031251392201976,260.6666666666667,0.8685999782755971,736
18,100,7,98.85290287809558,0.9885290287809557,0.9885290287809557,100,7,100,100,107,0.06360007875881424,299.7142857142857,1.0860000038519502,651
19,100,4,98.79534455957896,0.9879534455957897,0.9879534455957897,100,3,100,70,104,0.057558318516644835,480.6666666666667,1.0976999765262008,384
20,100,6,98.73614403948343,0.9873614403948343,0.9873614403948343,100,5,100,79,106,0.05920052009558763,330.0,1.1283999774605036,564
21,100,8,98.6735992108161,0.9867359921081611,0.9867359921081611,100,8,100,100,108,0.06254482866736932,264.0,1.1300000478513539,736
22,100,6,98.61560331205094,0.9861560331205094,0.9861560331205094,100,6,100,100,106,0.0579958987651934,347.3333333333333,1.024700002744794,564
23,100,6,98.55732539433812,0.9855732539433812,0.9855732539433812,100,5,100,73,106,0.05827791771286206,306.0,1.0849999962374568,564
24,100,1,98.46101209793017,0.9846101209793017,0.9846101209793017,100,0,100,0,101,0.09631329640797137,0.0,1.1048999731428921,99
25,100,7,98.39689351490554,0.9839689351490555,0.9839689351490555,100,5,100,68,107,0.06411858302468243,286.0,1.1088000028394163,651
26,100,6,98.33512952331306,0.9833512952331306,0.9833512952331306,100,4,100,67,106,0.06176399159251056,349.0,0.7955000037327409,564
27,100,6,98.27150882727943,0.9827150882727943,0.9827150882727943,100,4,100,58,106,0.06362069603368536,304.0,1.130899996496737,564
28,100,11,98.19800100791261,0.981980010079126,0.981980010079126,100,10,100,94,111,0.07350781936687634,202.0,1.0648999596014619,979
29,100,3,98.1421831602556,0.981421831602556,0.981421831602556,100,3,100,100,103,0.05581784765704145,680.6666666666666,1.0999999940395355,291
30,100,3,98.08530434228075,0.9808530434228075,0.9808530434228075,100,3,100,100,103,0.05687881797487493,680.6666666666666,1.1715000146068633,291
31,100,4,98.02151645635149,0.9802151645635149,0.9802151645635149,100,3,100,75,104,0.06378788592931262,514.0,1.0151999886147678,384
32,100,2,97.95915891894431,0.9795915891894431,0.9795915891894431,100,2,100,98,102,0.062357537407170094,1014.0,0.789899961091578,196
33,100,5,97.9040242815743,0.979040242815743,0.979040242815743,100,5,100,100,105,0.055134637370055195,414.0,0.9422000148333609,475
34,100,4,97.8435838656109,0.978435838656109,0.978435838656109,100,3,100,76,104,0.06044041596345284,520.6666666666666,0.9411000064574182,384
35,100,2,97.79001248342568,0.9779001248342568,0.9779001248342568,100,2,100,100,102,0.05357138218522728,1014.0,0.9312999900430441,196
36,100,7,97.73237248326342,0.9773237248326342,0.9773237248326342,100,7,100,100,107,0.05764000016230364,299.7142857142857,0.9380999836139381,651
37,100,4,97.67034157940442,0.9767034157940442,0.9767034157940442,100,3,100,76,104,0.06203090385904364,520.6666666666666,0.7282000151462853,384
38,100,7,97.61179590147435,0.9761179590147435,0.9761179590147435,100,7,100,100,107,0.058545677930127216,299.7142857142857,0.957300013396889,651
39,100,2,97.5569597331567,0.975569597331567,0.975569597331567,100,2,100,100,102,0.05483616831764859,1014.0,1.080900023225695,196
40,100,6,97.50178094767982,0.9750178094767982,0.9750178094767982,100,6,100,100,106,0.055178785476938774,347.3333333333333,1.1622000019997358,564
41,100,10,97.43113958048176,0.9743113958048175,0.9743113958048175,100,8,100,76,110,0.07064136719809833,204.0,1.1492000194266438,900
42,100,3,97.37536431003103,0.9737536431003103,0.9737536431003103,100,3,100,100,103,0.055775270450779235,680.6666666666666,1.0806000209413469,291
43,100,3,97.3219970219239,0.973219970219239,0.973219970219239,100,3,100,100,103,0.05336728810714675,680.6666666666666,0.9879000135697424,291
44,100,4,97.26750474486421,0.9726750474486421,0.9726750474486421,100,4,100,100,104,0.05449227705970161,514.0,1.2360999826341867,384
45,100,9,97.20719639952829,0.9720719639952828,0.9720719639952828,100,8,100,76,109,0.060308345336021585,204.0,0.9000999853014946,819
46,100,3,97.14731031098587,0.9714731031098587,0.9714731031098587,100,3,100,100,102,0.05988608854241395,680.6666666666666,0.9151000413112342,291
47,100,6,97.08551425653064,0.9708551425653065,0.9708551425653065,100,5,100,84,106,0.06179605445527603,350.0,1.3823999906890094,564
48,100,12,97.01089727160712,0.9701089727160712,0.9701089727160712,100,9,100,74,112,0.07461698492359226,178.44444444444446,0.8985999738797545,1056
49,100,2,96.95525415406541,0.9695525415406542,0.9695525415406542,100,2,100,100,102,0.0556431175417611,1014.0,1.1124000302515924,196
50,100,1,96.89413316837596,0.9689413316837596,0.9689413316837596,100,1,100,99,101,0.06112098568941171,2014.0,1.0633000056259334,99
51,100,4,96.83731950626897,0.9683731950626897,0.9683731950626897,100,4,100,100,104,0.05681366210705718,514.0,1.0216999799013138,384
52,100,4,96.78076757764984,0.9678076757764984,0.9678076757764984,100,3,100,90,104,0.05655192861915026,614.0,0.9480000007897615,384
53,100,6,96.72482349521854,0.9672482349521855,0.9672482349521855,100,6,100,100,106,0.05594408243134552,347.3333333333333,0.9794000070542097,564
54,100,3,96.67167923082943,0.9667167923082942,0.9667167923082942,100,3,100,100,103,0.05314426438913067,680.6666666666666,0.998999981675297,291
55,100,3,96.60608755070974,0.9660608755070974,0.9660608755070974,100,2,100,85,103,0.06559168011972627,864.0,0.9594999719411135,291
56,100,6,96.54657164036828,0.9654657164036828,0.9654657164036828,100,5,100,70,106,0.05951591034149173,294.0,0.9401999996043742,564
57,100,6,96.48454909076624,0.9648454909076624,0.9648454909076624,100,6,100,100,106,0.0620225496020721,347.3333333333333,0.9381999843753874,564
58,100,5,96.43049048706115,0.9643049048706115,0.9643049048706115,100,5,100,100,105,0.05405860370512805,414.0,0.9576999582350254,475
59,100,4,96.36411382739396,0.9636411382739396,0.9636411382739396,100,2,100,67,104,0.06637665966724349,684.0,1.185900007840246,384
60,100,4,96.30438337868218,0.9630438337868218,0.9630438337868218,100,4,100,100,104,0.05973044871179489,514.0,0.8981999708339572,384
61,100,7,96.24064372716644,0.9624064372716644,0.9624064372716644,100,6,100,77,107,0.06373965151581684,270.6666666666667,0.8783999946899712,651
62,100,7,96.17565318957473,0.9617565318957473,0.9617565318957473,100,6,100,96,107,0.06499053759173057,334.0,1.1959999683313072,651
63,100,2,96.10876491907162,0.9610876491907162,0.9610876491907162,100,2,100,99,102,0.06688827050313595,1014.0,1.2602999922819436,196
64,100,8,96.04210459079555,0.9604210459079554,0.9604210459079554,100,6,100,87,108,0.06666032827611135,304.0,0.8979000267572701,736
65,100,5,95.98300293439569,0.9598300293439569,0.9598300293439569,100,5,100,100,105,0.05910165639991494,414.0,1.0710000060498714,475
66,100,5,95.92026876969719,0.9592026876969719,0.9592026876969719,100,3,100,55,105,0.06273416469855242,380.6666666666667,1.0460999910719693,475
67,100,4,95.85163871495268,0.9585163871495268,0.9585163871495268,100,2,100,30,103,0.06863005474449846,314.0,0.9163999930024147,384
68,100,3,95.79434897724617,0.9579434897724617,0.9579434897724617,100,3,100,100,103,0.05728973770658019,680.6666666666666,1.0186999570578337,291
69,100,6,95.73881408533511,0.9573881408533511,0.9573881408533511,100,6,100,100,106,0.05553489191107719,347.3333333333333,0.8225999772548676,564
70,100,4,95.68389166293301,0.9568389166293301,0.9568389166293301,100,4,100,100,104,0.05492242240215006,514.0,1.3207000447437167,384
71,100,10,95.62533590398905,0.9562533590398905,0.9562533590398905,100,10,100,100,110,0.058555758943989566,214.0,1.0428999667055905,900
72,100,4,95.56707334240072,0.9556707334240072,0.9556707334240072,100,4,100,100,104,0.058262561588391826,514.0,1.0700999991968274,384
73,100,7,95.50744486136797,0.9550744486136797,0.9550744486136797,100,6,100,80,107,0.05962848103278162,280.6666666666667,0.9761999826878309,651
74,100,2,95.45433777444433,0.9545433777444433,0.9545433777444433,100,2,100,100,102,0.05310708692368049,1014.0,0.9077999857254326,196
75,100,7,95.39728461637951,0.9539728461637951,0.9539728461637951,100,7,100,100,107,0.0570531580648268,299.7142857142857,1.6131000011228025,651
76,100,5,95.34304724123743,0.9534304724123743,0.9534304724123743,100,5,100,100,105,0.054237375142078825,414.0,0.991299981251359,475
77,100,3,95.28823217060818,0.9528823217060818,0.9528823217060818,100,3,100,100,103,0.05481507062924518,680.6666666666666,0.9972999687306583,291
78,100,5,95.22843869749684,0.9522843869749684,0.9522843869749684,100,4,100,89,105,0.059793473111339424,459.0,0.9934999980032444,475
79,100,2,95.17336909799599,0.9517336909799599,0.9517336909799599,100,1,100,47,102,0.05506959950084145,954.0,0.9699999936856329,196
80,100,6,95.10899874441864,0.9510899874441864,0.9510899874441864,100,6,100,100,106,0.06437035357734544,347.3333333333333,1.0792000102810562,564
81,100,6,95.05402960863704,0.9505402960863704,0.9505402960863704,100,6,100,100,105,0.054969135781625766,347.3333333333333,1.095400017220527,564
82,100,5,94.994332089947,0.94994332089947,0.94994332089947,100,5,100,100,105,0.059697518690028595,414.0,1.0844999924302101,475
83,100,5,94.93434323022146,0.9493434323022146,0.9493434323022146,100,4,100,76,105,0.05998885972554113,394.0,1.4269999810494483,475
84,100,2,94.86833399700838,0.9486833399700838,0.9486833399700838,100,0,100,0,102,0.06600923321310237,0.0,1.3713000225834548,196
85,100,8,94.80225359123916,0.9480225359123916,0.9480225359123916,100,7,100,97,107,0.0660804057691946,291.14285714285717,0.8662999607622623,736
86,100,8,94.74149929588138,0.9474149929588138,0.9474149929588138,100,7,100,89,108,0.060754295357762444,268.2857142857143,1.0526000405661762,736
87,100,3,94.6873341415944,0.946873341415944,0.946873341415944,100,3,100,100,103,0.05416515428698254,680.6666666666666,1.1374999885447323,291
88,100,6,94.6149700027498,0.946149700027498,0.946149700027498,100,4,100,79,105,0.07236413884460902,409.0,1.021500036586076,564
89,100,3,94.5559998877512,0.945559998877512,0.945559998877512,100,2,100,77,103,0.058970114998615486,784.0,2.4913999950513244,291
90,100,4,94.50034303572626,0.9450034303572626,0.9450034303572626,100,4,100,100,104,0.05565685202492254,514.0,1.0998999932780862,384
91,100,5,94.44495336489577,0.9444495336489577,0.9444495336489577,100,5,100,100,105,0.05538967083051727,414.0,1.042500021867454,475
92,100,6,94.38910962669563,0.9438910962669563,0.9438910962669563,100,6,100,100,106,0.05584373820013244,347.3333333333333,1.0374999837949872,564
