round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95028988172429,0.9995028988172429,0.9995028988172429,100,4,100,70,6,0.04971011827571648,364.0,599.7959999949671,590240
1,100,5,99.90157976344858,0.9990157976344858,0.9990157976344858,100,4,100,70,5,0.04871011827571637,364.0,0.07880001794546843,0
2,100,5,99.85286964517289,0.9985286964517289,0.9985286964517289,100,4,100,70,5,0.04871011827571638,364.0,0.07010000990703702,0
3,100,5,99.80415952689718,0.9980415952689718,0.9980415952689718,100,4,100,70,5,0.04871011827571681,364.0,0.06749999010935426,0
4,100,5,99.75544940862146,0.9975544940862145,0.9975544940862145,100,4,100,70,5,0.048710118275717,364.0,0.06399996345862746,0
5,100,5,99.70588174045739,0.9970588174045738,0.9970588174045738,100,4,100,73,6,0.04956766816406205,379.0,581.9668000331149,590240
6,100,5,99.65561481342857,0.9965561481342857,0.9965561481342857,100,3,100,48,5,0.05026692702882596,334.0,0.06360001862049103,0
7,100,5,99.60704714526452,0.9960704714526452,0.9960704714526452,100,4,100,73,5,0.04856766816406205,379.0,0.06589997792616487,0
8,100,5,99.55847947710048,0.9955847947710048,0.9955847947710048,100,4,100,73,5,0.048567668164061994,379.0,0.0646000262349844,0
9,100,5,99.50906217950404,0.9950906217950404,0.9950906217950404,100,4,100,73,5,0.04941729759644409,379.0,0.06390002090483904,0
10,100,5,99.46029492999577,0.9946029492999577,0.9946029492999577,100,4,100,75,6,0.0487672495082897,389.0,585.633400012739,590240
11,100,5,99.41252768048747,0.9941252768048747,0.9941252768048747,100,4,100,75,5,0.04776724950828981,389.0,0.059699988923966885,0
12,100,5,99.36476043097919,0.9936476043097919,0.9936476043097919,100,4,100,75,5,0.04776724950828959,389.0,0.05979998968541622,0
13,100,5,99.31699318147089,0.9931699318147089,0.9931699318147089,100,4,100,75,5,0.04776724950828781,389.0,0.05989999044686556,0
14,100,5,99.26922593196262,0.9926922593196262,0.9926922593196262,100,4,100,75,5,0.047767249508286924,389.0,0.0523999915458262,0
15,100,5,99.21883361678775,0.9921883361678775,0.9921883361678775,100,4,100,78,6,0.05039231517488796,404.0,600.4552000085823,590240
16,100,5,99.16944130161286,0.9916944130161286,0.9916944130161286,100,4,100,78,5,0.04939231517488796,404.0,0.06829999620094895,0
17,100,5,99.12004898643798,0.9912004898643798,0.9912004898643798,100,4,100,78,5,0.049392315174887846,404.0,0.07579999510198832,0
18,100,5,99.0706566712631,0.9907065667126309,0.9907065667126309,100,4,100,78,5,0.04939231517488796,404.0,0.06390002090483904,0
19,100,5,99.02126435608821,0.9902126435608821,0.9902126435608821,100,4,100,78,5,0.04939231517488796,404.0,0.06350001785904169,0
20,100,5,98.97236528420889,0.989723652842089,0.989723652842089,100,4,100,82,6,0.04889907187932485,424.0,606.1114000040106,590240
21,100,5,98.92446621232958,0.9892446621232958,0.9892446621232958,100,4,100,82,5,0.04789907187932507,424.0,0.06220000796020031,0
22,100,5,98.87656714045026,0.9887656714045027,0.9887656714045027,100,4,100,82,5,0.047899071879325295,424.0,0.05960004637017846,0
23,100,5,98.82866806857092,0.9882866806857092,0.9882866806857092,100,4,100,82,5,0.04789907187932507,424.0,0.05960004637017846,0
24,100,5,98.7807689966916,0.987807689966916,0.987807689966916,100,4,100,82,5,0.04789907187932552,424.0,0.06120000034570694,0
25,100,5,98.7282905030167,0.9872829050301669,0.9872829050301669,100,3,100,56,6,0.05247849367492541,387.3333333333333,643.9330999855883,590240
