round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.9451888624802,0.9994518886248019,0.9994518886248019,100,3,100,54,6,0.05481113751981466,374.0,289.23049999866635,50600
1,100,5,99.89137772496038,0.9989137772496037,0.9989137772496037,100,3,100,54,5,0.053811137519814506,374.0,0.06640003994107246,0
2,100,5,99.83756658744059,0.998375665874406,0.998375665874406,100,3,100,54,5,0.05381113751981463,374.0,0.06620003841817379,0
3,100,5,99.78375544992078,0.9978375544992077,0.9978375544992077,100,3,100,54,5,0.05381113751981506,374.0,0.06429996574297547,0
4,100,5,99.72994431240096,0.9972994431240096,0.9972994431240096,100,3,100,54,5,0.0538111375198152,374.0,0.06220000796020031,0
5,100,5,99.67401123985806,0.9967401123985806,0.9967401123985806,100,3,100,55,6,0.055933072542915685,380.6666666666667,259.09030000912026,50600
6,100,5,99.61907816731515,0.9961907816731516,0.9961907816731516,100,3,100,55,5,0.05493307254291563,380.6666666666667,0.0651999725960195,0
7,100,5,99.56414509477224,0.9956414509477224,0.9956414509477224,100,3,100,55,5,0.054933072542915684,380.6666666666667,0.06230000872164965,0
8,100,5,99.50921202222933,0.9950921202222933,0.9950921202222933,100,3,100,55,5,0.054933072542915684,380.6666666666667,0.063000014051795,0
9,100,5,99.45427894968643,0.9945427894968643,0.9945427894968643,100,3,100,55,5,0.05493307254291574,380.6666666666667,0.06019999273121357,0
10,100,5,99.40337868647806,0.9940337868647806,0.9940337868647806,100,4,100,72,6,0.05090026320835839,374.0,289.0936000039801,50600
11,100,5,99.35347842326973,0.9935347842326974,0.9935347842326974,100,4,100,72,5,0.0499002632083585,374.0,0.06819999543949962,0
12,100,5,99.30357816006136,0.9930357816006137,0.9930357816006137,100,4,100,72,5,0.049900263208358275,374.0,0.08040003012865782,0
13,100,5,99.253677896853,0.9925367789685301,0.9925367789685301,100,4,100,72,5,0.04990026320835628,374.0,0.032100011594593525,0
14,100,5,99.20377763364466,0.9920377763364466,0.9920377763364466,100,4,100,72,5,0.04990026320835572,374.0,0.05889998283237219,0
15,100,5,99.14787447396075,0.9914787447396075,0.9914787447396075,100,3,100,59,6,0.05590315968392623,407.3333333333333,259.51429997803643,50600
