round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,0,99.79227028341678,0.9979227028341678,0.9979227028341678,100,80,100,80,0,0.20772971658324202,1035.75,0.00600004568696022,0
1,100,0,99.58066567559071,0.9958066567559071,0.9958066567559071,100,81,100,81,0,0.21160460782606322,1020.7037037037037,0.004199973773211241,0
2,100,0,99.37240134491431,0.9937240134491431,0.9937240134491431,100,79,100,79,0,0.20826433067639155,1049.9113924050632,0.003500026650726795,0
3,100,0,99.1657256505248,0.991657256505248,0.991657256505248,100,81,100,81,0,0.2066756943895034,1033.0493827160494,0.004099973011761904,0
4,100,0,98.96067315314139,0.9896067315314139,0.9896067315314139,100,81,100,81,0,0.20505249738341724,1036.5061728395062,0.0032999669201672077,0
5,100,0,98.75106844330071,0.987510684433007,0.987510684433007,100,82,100,82,0,0.20960470984066193,1019.6829268292682,0.0037999707274138927,0
6,100,0,98.54561772619012,0.9854561772619012,0.9854561772619012,100,81,100,81,0,0.20545071711060903,1023.9135802469136,0.0032999669201672077,0
7,100,0,98.3322865890471,0.983322865890471,0.983322865890471,100,80,100,80,0,0.2133311371429889,1024.75,0.00400003045797348,0
8,100,0,98.12199715165494,0.9812199715165494,0.9812199715165494,100,80,100,80,0,0.2102894373921842,1029.5,0.0032999669201672077,0
9,100,0,97.90757596717586,0.9790757596717586,0.9790757596717586,100,79,100,79,0,0.2144211844790853,1018.0126582278481,0.0032999669201672077,0
10,100,0,97.70963479815657,0.9770963479815657,0.9770963479815657,100,83,100,83,0,0.19794116901927916,1011.4578313253012,0.0037999707274138927,0
11,100,0,97.50031542203637,0.9750031542203637,0.9750031542203637,100,81,100,81,0,0.20931937612022988,1033.5432098765432,0.0029999646358191967,0
12,100,0,97.28491805880853,0.9728491805880853,0.9728491805880853,100,80,100,80,0,0.21539736322784453,1053.75,0.0028999638743698597,0
13,100,0,97.07344123033631,0.9707344123033631,0.9707344123033631,100,81,100,81,0,0.21147682847219418,1022.679012345679,0.003100023604929447,0
14,100,0,96.86596542678518,0.9686596542678518,0.9686596542678518,100,81,100,81,0,0.20747580355114792,1023.9135802469136,0.002700020559132099,0
15,100,0,96.65625752271228,0.9665625752271229,0.9665625752271229,100,81,100,81,0,0.2097079040728933,1019.9629629629629,0.002800021320581436,0
16,100,0,96.44873463199849,0.9644873463199849,0.9644873463199849,100,82,100,82,0,0.2075228907138036,1030.658536585366,0.002700020559132099,0
17,100,0,96.24191326576732,0.9624191326576732,0.9624191326576732,100,81,100,81,0,0.20682136623116065,1031.567901234568,0.0026999623514711857,0
18,100,0,96.02656711413907,0.9602656711413907,0.9602656711413907,100,80,100,80,0,0.21534615162824622,1035.75,0.0027999631129205227,0
19,100,0,95.81298182402722,0.9581298182402722,0.9581298182402722,100,78,100,78,0,0.213585290111852,1032.8974358974358,0.0030999653972685337,0
20,100,0,95.60192265377059,0.9560192265377059,0.9560192265377059,100,79,100,79,0,0.21105917025663334,1011.4303797468355,0.002900022082030773,0
21,100,0,95.38555837511676,0.9538555837511676,0.9538555837511676,100,81,100,81,0,0.21636427865383467,1043.1728395061727,0.002700020559132099,0
22,100,0,95.17447690045381,0.9517447690045381,0.9517447690045381,100,78,100,78,0,0.21108147466293659,1059.5641025641025,0.002800021320581436,0
23,100,0,94.96871066284845,0.9496871066284845,0.9496871066284845,100,81,100,81,0,0.20576623760537238,1042.1851851851852,0.0030999653972685337,0
24,100,0,94.75848857281689,0.9475848857281689,0.9475848857281689,100,81,100,81,0,0.21022209003156256,1028.851851851852,0.002900022082030773,0
25,100,0,94.54511691807431,0.9454511691807431,0.9454511691807431,100,81,100,81,0,0.21337165474257525,1030.5802469135801,0.002700020559132099,0
