round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,7,99.96907157105542,0.9996907157105542,0.9996907157105542,38,7,32,32,114,0.030928428944601984,299.7142857142857,1.2045000330545008,651
1,100,9,99.94034495132696,0.9994034495132696,0.9994034495132696,24,8,18,18,118,0.02872661972853441,249.0,1.0769999935291708,819
2,100,5,99.91923014029328,0.9991923014029328,0.9991923014029328,22,5,18,18,110,0.021114811033717984,414.0,1.0996999917551875,475
3,100,3,99.9007622864605,0.9990076228646051,0.9990076228646051,22,3,19,19,106,0.01846785383279219,680.6666666666666,1.0782000026665628,291
4,100,3,99.88481210864383,0.9988481210864383,0.9988481210864383,18,3,15,15,106,0.015950177816730665,680.6666666666666,1.0483000078238547,291
5,100,3,99.86440294854859,0.9986440294854859,0.9986440294854859,19,2,16,14,106,0.020409160095249526,754.0,1.0707999463193119,291
6,100,5,99.84687212125566,0.9984687212125566,0.9984687212125566,18,3,15,15,110,0.01753082729296937,634.0,1.0717999539338052,475
7,100,4,99.83046180134262,0.9983046180134262,0.9983046180134262,17,3,14,14,108,0.016410319913045923,654.0,1.0576999629847705,384
8,100,3,99.81144086328622,0.9981144086328623,0.9981144086328623,19,3,16,16,106,0.019020938056424352,680.6666666666666,1.069399993866682,291
9,100,4,99.79130496948343,0.9979130496948343,0.9979130496948343,22,4,20,20,108,0.02013589380285588,514.0,1.022100041154772,384
10,100,5,99.76457423463138,0.9976457423463139,0.9976457423463139,19,3,16,13,110,0.02673073485207203,580.6666666666666,0.9911999804899096,475
11,100,5,99.74066404515753,0.9974066404515753,0.9974066404515753,18,3,14,13,110,0.023910189473892035,607.3333333333334,1.413299993146211,475
12,100,4,99.72105023541381,0.9972105023541381,0.9972105023541381,22,3,19,19,108,0.019613809743739774,594.0,1.044000033289194,384
13,100,7,99.6997039820035,0.996997039820035,0.996997039820035,17,4,14,14,114,0.02134625341034102,419.0,1.0241999989375472,651
14,100,5,99.67536498639008,0.9967536498639008,0.9967536498639008,23,2,19,8,110,0.02433899561343772,434.0,1.0074999881908298,475
15,100,5,99.65730443649487,0.9965730443649486,0.9965730443649486,16,4,13,13,110,0.018060549895243028,494.0,0.9812999633140862,475
16,100,5,99.64110333808071,0.9964110333808072,0.9964110333808072,15,4,11,11,110,0.01620109841419859,494.0,1.1269999668002129,475
17,100,6,99.61676116596544,0.9961676116596544,0.9961676116596544,17,4,12,9,112,0.024342172115334404,289.0,1.0874000145122409,564
18,100,2,99.60157626218285,0.9960157626218284,0.9960157626218284,14,2,12,12,104,0.0151849037826024,1014.0,0.8965000160969794,196
