run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,apteen,2159,5160,6999,True,20941,69834,61601,88.2106137411576,0.16977656654683213,0.1190633576868066,0.0015192516119638378,405.73573372809324,974.0,517380,553829,,,5207.53125,296.2752857142857
1,1,apteen,2299,5289,6999,True,21048,68357,60099,87.91930599645977,0.16643681260473447,0.11575977040275826,0.002613402678149127,400.0530216647663,934.0,519170,554189,0.8049369286330018,17.16694979998283,,298.3497142857143
2,2,apteen,2085,5601,6999,True,22361,70067,65171,93.01240241483151,0.1688747668979854,0.12452042126501789,0.0013331195895716135,403.90072000357765,974.0,523376,559743,0.8296557139256038,17.72121759998845,,299.59114285714287
3,3,apteen,2285,5409,6999,True,22053,70190,65128,92.78814645960964,0.16682424110018343,0.12265945465434698,0.00451790405689173,416.76211853262595,1014.0,530966,569587,0.844184757093899,18.164644000004046,,309.6618571428571
4,4,apteen,2272,5621,6999,True,21905,70910,63987,90.23692003948666,0.16733612095847386,0.11976618388592948,0.003912185243652998,409.5692307692308,1014.0,534266,572002,0.8723304859927988,18.651507600035984,,308.97742857142856
5,5,apteen,1973,5346,6999,True,20854,67436,61233,90.80164897087609,0.1669833883256462,0.12033392354267096,0.0029262702018426102,410.74153639589525,994.0,508859,544012,0.8278373428537245,17.755137600004673,,285.22742857142856
6,6,apteen,2126,5174,6999,True,20970,68643,60885,88.69804641405533,0.16751789906953823,0.11765558421983247,0.0021023287012164114,405.8438721983786,954.0,517485,553018,0.8265849003551661,17.656269900035113,,295.39471428571426
7,7,apteen,2036,5414,6999,True,22671,71084,66777,93.94097124528726,0.16949389654852987,0.12624134391252317,0.002851138084122972,409.28393101318864,974.0,528963,567277,0.8021149431671282,17.138422700052615,,308.7015714285714
8,8,apteen,2152,5619,6999,True,21585,70299,64427,91.6471073557234,0.16897457095179044,0.1232929928504723,0.004842284490084609,412.4778318276581,1034.0,522552,559355,0.8052292148183499,17.199528700031806,,298.6524285714286
9,9,apteen,2346,5397,6999,True,22137,71028,65670,92.45649602973475,0.17001351446657886,0.1251756022896442,0.003520720830194576,408.13678456882144,974.0,524623,561718,0.7687156285142659,16.438599199987948,,303.05885714285716
10,10,apteen,2071,5251,6999,True,21137,67723,61489,90.79485551437473,0.1664157856659432,0.11958466553089532,0.0044852073705728725,410.73671760420115,974.0,514188,550083,0.7974156856819589,17.011349599983077,,289.091
11,11,apteen,2096,5410,6999,True,21350,68246,61345,89.88805204700641,0.16655119775675106,0.11838618850315626,0.002812847753503983,405.3279156908665,974.0,518177,553390,0.8058772711499061,17.22785110003315,,294.16085714285714
12,12,apteen,1859,5257,6999,True,20807,65068,59472,91.39976639822954,0.16491559935901298,0.11942600334951865,0.004389352889729745,401.94227904070743,974.0,497982,530151,0.7718534292902665,16.340411200013477,,277.0297142857143
13,13,apteen,2163,5449,6999,True,21065,68598,61676,89.90932680253069,0.166299546792434,0.11834051583540238,0.004566185363114573,413.4274863517683,994.0,521174,557793,0.7771179705991277,16.663547300035134,,297.09985714285716
14,14,apteen,2189,5089,6999,True,20960,66692,60379,90.53409704312362,0.16766048049951854,0.12037208708879332,0.0029724862167208486,400.8093034351145,954.0,501603,534147,0.7790356003679335,16.632858900004067,,280.39785714285716
15,15,apteen,2316,5365,6999,True,22433,72233,67180,93.00458239308902,0.1699703297423274,0.12575696595876115,0.002907657780948907,414.13364240181875,994.0,534205,571882,0.7898139143196333,17.096409199992195,,318.323
16,16,apteen,2096,4982,6999,True,19718,65265,54894,84.10940013789934,0.16853288336623445,0.11241122842656226,0.002858189682768404,383.00968658078915,934.0,488332,518643,0.7554583856253885,16.175948999996763,,270.56357142857144
17,17,apteen,2229,5504,6999,True,21788,69935,64347,92.00972331450633,0.16596806706556172,0.12111213794064005,0.004767199326102579,417.10294657609694,1014.0,531301,568865,0.8099418574046078,17.20687969995197,,305.83785714285716
18,18,apteen,1968,5192,6999,True,20688,67517,60597,89.75072944591732,0.1680117243204595,0.11968642973110698,0.003813533540945792,407.376401778809,974.0,506298,540557,0.7607240286805401,16.280482699978165,,284.26142857142855
