run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,leach,1056,1689,2112,False,10622,165530,140092,84.63239291971244,1.0003686491125225,0.8466359257625296,0.0,272.51449821125965,834.0,165469,169982,,,1719.4921875,337.5508755324184
1,1,leach,1105,1705,2102,False,10477,168811,143117,84.77942788088454,1.0003970511544114,0.8481308965059499,0.0,282.23060036269925,817.9999999999782,168744,173855,0.8986413218286925,6.820005899993703,,348.3613884926296
2,2,leach,1020,1674,2066,False,10723,167326,149609,89.41168736478491,1.0004663732899646,0.8945338658758252,0.0,288.1690758183344,834.0,167248,172236,0.892330816829551,6.902663699991535,,348.93807450411225
3,3,leach,1039,1723,2304,False,11387,170751,154220,90.31865113527886,1.0003866772124088,0.9035357529952837,0.0,279.3834196891192,854.0,170685,175346,0.8166742736095898,7.090327200014144,,320.25596529284167
4,4,leach,979,1700,2207,False,11898,169732,147879,87.12499705417953,1.0003772072518093,0.8715786123488224,0.0,256.50512691208604,814.0,169668,173528,0.795185733717306,6.6688831000356,,331.1671195652174
5,5,leach,1026,1658,2386,False,11103,165007,142994,86.65935384559444,1.0003880128286742,0.8669297878661113,0.0,265.62406556786453,854.0,164943,169003,0.7308472973455694,6.530660899996292,,293.6112274821952
6,6,leach,1005,1676,2174,False,10249,166338,141849,85.27756736283952,1.0004089733565886,0.8531244361580562,0.0,285.9511171821641,854.0,166270,171283,0.7990933331425419,6.451204099983443,,330.25563218390806
7,7,leach,1054,1713,2133,False,11741,170010,156015,91.76813128639492,1.0003412728299754,0.9179944925626059,0.0,274.36180904522615,834.0,169952,174447,0.8782355671309043,6.958548700029496,,347.53092783505156
8,8,leach,1012,1696,2183,False,11136,168886,148477,87.91551697594826,1.0003909489396992,0.8794988745409311,0.0,275.20824353448273,854.0,168820,173490,0.7995259161844965,6.486939900030848,,332.4363553113553
9,9,leach,1142,1694,2155,False,11427,169500,153034,90.28554572271386,1.00037181961437,0.9031911565950766,0.0,276.5460750853242,854.0,169437,174035,0.8110897963556006,6.553742300020531,,341.82328385899814
10,10,leach,1054,1679,2151,False,10755,166365,145439,87.42163315601238,1.000414922788281,0.8745790638379757,0.0,279.02715016271503,834.0,166296,170889,0.8677695620621964,6.941846500034444,,331.1621747211896
11,11,leach,1002,1675,2140,False,10990,166245,144597,86.97825498511233,1.0004212426658643,0.8701489393711449,0.0,271.52565969062783,854.0,166175,170568,0.884224428163014,7.070569599978626,,334.62634283045304
12,12,leach,994,1633,2153,False,10722,160962,141268,87.76481405549136,1.0004039851582067,0.8780026973778255,0.0,272.1203133743704,854.0,160897,165170,0.7838467967524837,6.321839299984276,,317.5557103064067
13,13,leach,1040,1674,2196,False,11020,166501,144295,86.66314316430532,1.0004085728190923,0.8669855136901936,0.0,270.1940108892922,854.0,166433,170701,0.8324360494337837,6.747474399977364,,325.5735093309058
14,14,leach,988,1642,2233,False,11471,163380,141899,86.85212388297221,1.000367376928729,0.8688403134949791,0.0,255.18141400052306,794.0,163320,166995,0.7612256486906404,6.348546700028237,,312.0192479856759
15,15,leach,1080,1740,2247,False,11625,172627,156542,90.68222236382489,1.0003534879408458,0.9071427743587961,0.0,277.8472258064516,874.0,172566,177183,0.7816156133382955,6.54168749996461,,335.8509786476868
16,16,leach,1020,1624,2072,False,10009,161981,128897,79.57538229792384,1.0004508733354744,0.7961126071596215,0.0,266.05315216305326,794.0,161908,166398,0.8433691747203556,6.517572499986272,,332.7038109020743
17,17,leach,1074,1671,2238,False,11940,169162,151215,89.39064328868186,1.0004080594702323,0.8942711998722597,0.0,261.2545226130653,834.0,169093,173028,0.8339140694033124,6.923436900018714,,325.34435015631976
18,18,leach,1066,1653,2197,False,10624,164836,141298,85.72035235021475,1.0004309167602343,0.8575729068673565,0.0,274.48804593373495,834.0,164765,169307,0.8093761608292271,6.514674600039143,,321.55732484076435
19,19,leach,1123,1683,2088,False,10686,167789,151442,90.25740662379536,1.0003875414371228,0.9029238510886933,0.0,292.949747332959,874.0,167724,173054,0.8802816651343797,6.8480785000137985,,349.38343705122065
20,20,leach,1092,1678,2131,False,11305,168929,153529,90.88374405815462,1.0003790009771119,0.9091818908595624,0.0,280.5662096417514,834.0,168865,173700,0.8193757975282668,6.5379130999790505,,344.21998123827393
21,21,leach,1065,1673,2147,False,11496,167529,149349,89.14814748491307,1.0004180127673041,0.8918541254874327,0.0,268.25843771746696,814.0,167459,171844,0.8014047027509608,6.407443600008264,,337.49674115456236
22,22,leach,1092,1678,2190,False,9814,163391,138171,84.5646333029359,1.0004347293656626,0.8460139603232917,0.0,290.9074791114734,854.0,163320,168565,0.8125691464507042,6.634505599969998,,319.29392971246006
23,23,leach,1023,1661,2188,False,11024,167541,146059,87.17806387690177,1.0003761688102317,0.8721085754546866,0.0,273.3808962264151,834.0,167478,171928,0.8452458198602635,6.892426900041755,,330.43535861123803
24,24,leach,1067,1661,2353,False,10028,164278,128880,78.45237950303753,1.000365367986457,0.7848104349096933,0.0,265.26715197447146,814.0,164218,168622,0.7257744681634904,6.3781249999883585,,297.0267629566695
25,25,leach,1101,1675,2200,False,11017,169154,147111,86.96867942821335,1.0004080787769465,0.8700416950054706,0.0,275.64863392938184,834.0,169085,173754,0.8402232160088926,6.812531900010072,,331.6746933212176
26,26,leach,997,1691,2191,False,11388,168459,154624,91.78731916964958,1.0003622370812004,0.9182056794023682,0.0,280.16552511415523,834.0,168398,172971,0.8069755479807704,6.50232250004774,,331.80018248175185
27,27,leach,980,1684,2177,False,10715,166482,148616,89.26850950853546,1.0003785625439403,0.8930230322258876,0.0,286.2762482501167,854.0,166419,171208,0.7892964640365019,6.418937399983406,,328.3223140495868
28,28,leach,1032,1690,2247,False,11887,168170,154416,91.82137123149194,1.0004104675165526,0.9185906092170778,0.0,268.07150668797846,834.0,168101,172167,0.7783721530585453,6.582468400010839,,323.710409252669
29,29,leach,1040,1689,2372,False,12055,170261,153538,90.17802080335485,1.000352524368247,0.9020981075316832,0.0,262.72102861883036,814.0,170201,174060,0.7682188364095889,6.808556100004353,,314.47914032869784
