run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,stub,112,1100,3202,False,129830,135374,129830,95.90467888959475,1.0007392403566095,0.9597557549861762,0.0,608.7587614572903,1497.0,135274,0,,,6171.703125,0.0
1,1,stub,119,925,3305,False,122871,128029,122871,95.97122526927492,1.0007816835901164,0.9604624440119128,0.0,582.2604764346347,1477.0,127929,0,0.0027153962201630967,1.7649575999821536,,0.0
2,2,stub,111,1497,3212,False,140618,143583,140618,97.93499230410285,1.0006969466766098,0.98003247771513,0.0,615.0511741028887,1457.0,143483,0,0.00274248349161774,2.169612199999392,,0.0
3,3,stub,107,1213,3315,False,130175,133497,130175,97.51155456676929,1.000749642045923,0.9758465332803586,0.0,629.3252544651431,1537.0,133397,0,0.0030485225162571084,1.7550764000043273,,0.0
4,4,stub,110,1667,3323,False,144383,148925,144383,96.95014268927312,1.0006719301192677,0.9701528641021334,0.0,621.7333827389651,1457.0,148825,0,0.0028992781131758068,2.128417299943976,,0.0
5,5,stub,118,1198,3104,False,119107,122782,119107,97.00689026078742,1.0008151155018665,0.9708596208082685,0.0,603.3673839488863,1437.0,122682,0,0.0030870856447280316,1.5901772999786772,,0.0
6,6,stub,99,911,3125,False,126019,131695,126019,95.69004138349976,1.0007599072913105,0.9576275694365287,0.0,575.3508835969179,1457.0,131595,0,0.00263330191779007,1.771645599976182,,0.0
7,7,stub,119,1207,3176,False,137510,140335,137510,97.98695977482453,1.0007130887438942,0.9805683317288837,0.0,625.903207039488,1557.0,140235,0,0.0030180358151744888,1.7628786000423133,,0.0
8,8,stub,102,1338,3235,False,138763,142198,138763,97.58435421032645,1.0007037396726204,0.9765302819181129,0.0,602.8423354928908,1437.0,142098,0,0.0027441907842725294,1.8833250000025146,,0.0
9,9,stub,145,1093,3144,False,130714,133841,130714,97.66364566911484,1.0007477138648582,0.9773667013107424,0.0,618.3723090105115,1537.0,133741,0,0.002655994616425189,1.6564606999745592,,0.0
10,10,stub,115,982,3216,False,125070,128669,125070,97.2029004655356,1.0007777924694132,0.9727850414952283,0.0,567.3425281842168,1437.0,128569,0,0.0034516316579170188,1.684356200043112,,0.0
11,11,stub,107,1179,3202,False,126099,130526,126099,96.60833856856105,1.000766718292365,0.9668240994893657,0.0,605.8084758800625,1477.0,130426,0,0.002866282210375066,1.8095530000282452,,0.0
12,12,stub,103,957,3120,False,115591,118800,115591,97.29882154882155,1.0008424599831507,0.9738079191238416,0.0,574.9683539375903,1457.0,118700,0,0.002857353572591361,1.6948361999820918,,0.0
13,13,stub,104,1141,3225,False,131228,135587,131228,96.78509001600449,1.0007380781920037,0.9685652498025641,0.0,607.8609443106654,1477.0,135487,0,0.002591412389444237,1.7144486000179313,,0.0
14,14,stub,102,945,3201,False,119669,123534,119669,96.87130668479934,1.0008101495536077,0.969497869306674,0.0,566.7559100518931,1457.0,123434,0,0.002959276153807814,1.5950541000347584,,0.0
15,15,stub,122,1199,3195,False,132304,136543,132304,96.89548347407045,1.0007329067815864,0.9696649883101368,0.0,643.2366973031806,1597.0,136443,0,0.002580068757651474,1.7783010000130162,,0.0
16,16,stub,98,807,3150,False,104993,110866,104993,94.7026139664099,1.0009028041095642,0.9478811187548526,0.0,540.8819730839199,1437.0,110766,0,0.002645032441344612,1.5019463000353426,,0.0
17,17,stub,129,1190,3199,False,137589,140920,137589,97.63624751632132,1.0007101264024996,0.9770558159352365,0.0,614.4294456678949,1477.0,140820,0,0.002840656197804492,1.9578476999886334,,0.0
18,18,stub,108,1117,3278,False,125893,130254,125893,96.65192623643037,1.000768320604822,0.9672618590285355,0.0,559.9224817900916,1417.0,130154,0,0.0033112536678695666,1.8139441999956034,,0.0
19,19,stub,127,1122,3237,False,129219,132094,129219,97.82351961481976,1.0007576101944027,0.978976317105323,0.0,606.844991835566,1537.0,131994,0,0.0027322723850069443,1.7492850999697112,,0.0
20,20,stub,119,1121,3213,False,130229,133156,130229,97.80182642915078,1.0007515632515633,0.9787533068783069,0.0,606.5450322124873,1537.0,133056,0,0.0028837587999953067,1.8060708999983035,,0.0
21,21,stub,115,1042,3283,False,125561,128976,125561,97.35222056816772,1.0007759396629319,0.9742776001738105,0.0,599.4534688318826,1497.0,128876,0,0.002671893940298125,1.7063032999867573,,0.0
22,22,stub,126,959,3174,False,114906,119262,114906,96.3475373547316,1.0008391937026904,0.9642839160134943,0.0,565.8938784745792,1457.0,119162,0,0.002616913622523856,1.5927485000574961,,0.0
23,23,stub,104,1257,3143,False,127650,132404,127650,96.4094740340171,1.0007558350465595,0.9648234369331237,0.0,599.2774774774775,1477.0,132304,0,0.002649458929921237,1.7363368999795057,,0.0
24,24,stub,117,884,2982,False,109115,116069,109115,94.00873618278783,1.0008622994076004,0.940897998603075,0.0,560.173165925858,1417.0,115969,0,0.002986020378910812,1.6009361000033095,,0.0
25,25,stub,121,1276,3093,False,130077,134572,130077,96.65978063787415,1.0007436492355286,0.9673166160985186,0.0,613.289121059065,1497.0,134472,0,0.0036798970145910845,2.164096500026062,,0.0
26,26,stub,110,1196,3316,False,142189,144618,142189,98.3204027161211,1.000691955327364,0.9838843604256909,0.0,607.531194396191,1517.0,144518,0,0.002612149540698821,1.7344697000226006,,0.0
27,27,stub,105,1245,3263,False,131944,135986,131944,97.02763519774095,1.0007359109842073,0.9709903890025463,0.0,618.3138907415267,1497.0,135886,0,0.00251265323730003,1.6560192999895662,,0.0
28,28,stub,118,1341,3293,False,138433,140952,138433,98.21286679153187,1.0007099650697187,0.9828259449635078,0.0,627.1899113650647,1497.0,140852,0,0.002618185111616117,1.704262099985499,,0.0
29,29,stub,129,1205,3132,False,124492,128807,124492,96.65002678425863,1.0007769585181847,0.9672511984585143,0.0,641.3080679883045,1617.0,128707,0,0.0025825094172426052,1.593271600024309,,0.0
