run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,teen,2200,5489,6999,True,20805,65569,57820,88.1819152343333,0.15674291509696506,0.10799422486780887,0.0028693618558905815,415.6554193703437,974.0,535399,573846,,,5222.2265625,307.2
1,1,teen,2246,5551,6999,True,20964,63786,56120,87.98168877183082,0.15303829866443297,0.10446274838289357,0.004938774067222596,410.88151116199197,914.0,537225,575481,0.8797640144974659,17.946850000007544,,310.49885714285716
2,2,teen,2029,5836,6999,True,22023,65663,60979,92.86660676484473,0.15572379367720465,0.1127361804400074,0.0036257590302122816,416.3129909639922,994.0,540900,579668,0.8952129141045069,18.3390505000134,,310.52042857142857
3,3,teen,2438,5655,6999,True,21868,65721,60884,92.64009981588838,0.1539966175863593,0.11119593525928793,0.00882117503247234,425.01417596488017,1014.0,547538,587711,0.9134691572980955,18.66978840000229,,320.3682857142857
4,4,teen,2383,5905,6999,True,21683,66352,59966,90.37557270315891,0.15426822643149468,0.10859077903734018,0.006908101613746192,421.60761887192734,1014.0,552220,592696,0.9554792715436113,19.39696919999551,,321.147
5,5,teen,2074,5570,6999,True,20581,63101,57282,90.77827609705076,0.15379053265922407,0.10899791259540315,0.006975001770708593,424.324036732909,1054.0,525533,563403,0.8935896569996008,18.100592600007076,,296.41285714285715
6,6,teen,2183,5430,6999,True,20736,64292,56975,88.61911279785977,0.15472911443636242,0.10675593130145739,0.00573669118452454,417.64125192901236,974.0,533694,571866,0.8046165714871937,16.85716409998713,,306.3178571428571
7,7,teen,2022,5595,6999,True,22529,66984,62802,93.75671802221426,0.15667302584137358,0.11465135596469289,0.004438438783692798,418.8463313950908,954.0,547765,588553,0.8186634712203938,17.008826499979477,,320.73985714285715
8,8,teen,2147,5826,6999,True,21504,65761,60170,91.4980003345448,0.15562475253753102,0.11132573276643613,0.0076692998943575655,420.85825892857144,1034.0,540486,579406,0.8247497858413096,17.283268999948632,,309.8707142857143
9,9,teen,2422,5652,6999,True,21901,66491,61593,92.63358950835452,0.1566064270369632,0.11367461741191061,0.0070122514150652085,419.36696954476963,994.0,541836,580586,0.8434805570037237,17.690567200013902,,315.1182857142857
