run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,leach,1056,1689,2112,False,10622,165530,140092,84.63239291971244,1.0003686491125225,0.8466359257625296,0.0,272.51449821125965,834.0,165469,169982,,,1719.4921875,337.5508755324184
1,1,leach,1105,1705,2102,False,10477,168811,143117,84.77942788088454,1.0003970511544114,0.8481308965059499,0.0,282.23060036269925,817.9999999999782,168744,173855,0.8370396573184199,6.404407900001388,,348.3613884926296
2,2,leach,1020,1674,2066,False,10723,167326,149609,89.41168736478491,1.0004663732899646,0.8945338658758252,0.0,288.1690758183344,834.0,167248,172236,0.8333918230932965,6.398360199993476,,348.93807450411225
3,3,leach,1039,1723,2304,False,11387,170751,154220,90.31865113527886,1.0003866772124088,0.9035357529952837,0.0,279.3834196891192,854.0,170685,175346,0.6644424286402293,5.656730899994727,,320.25596529284167
4,4,leach,979,1700,2207,False,11898,169732,147879,87.12499705417953,1.0003772072518093,0.8715786123488224,0.0,256.50512691208604,814.0,169668,173528,0.8002735060775498,6.325666800024919,,331.1671195652174
5,5,leach,1026,1658,2386,False,11103,165007,142994,86.65935384559444,1.0003880128286742,0.8669297878661113,0.0,265.62406556786453,854.0,164943,169003,0.6965335137753115,6.019960400008131,,293.6112274821952
6,6,leach,1005,1676,2174,False,10249,166338,141849,85.27756736283952,1.0004089733565886,0.8531244361580562,0.0,285.9511171821641,854.0,166270,171283,0.7062713562874873,5.615093100001104,,330.25563218390806
7,7,leach,1054,1713,2133,False,11741,170010,156015,91.76813128639492,1.0003412728299754,0.9179944925626059,0.0,274.36180904522615,834.0,169952,174447,0.7981857538682382,6.3040544000105,,347.53092783505156
8,8,leach,1012,1696,2183,False,11136,168886,148477,87.91551697594826,1.0003909489396992,0.8794988745409311,0.0,275.20824353448273,854.0,168820,173490,0.7577157509427913,6.149302899953909,,332.4363553113553
9,9,leach,1142,1694,2155,False,11427,169500,153034,90.28554572271386,1.00037181961437,0.9031911565950766,0.0,276.5460750853242,854.0,169437,174035,0.7231488399158348,5.689601099991705,,341.82328385899814
10,10,leach,1054,1679,2151,False,10755,166365,145439,87.42163315601238,1.000414922788281,0.8745790638379757,0.0,279.02715016271503,834.0,166296,170889,0.7745331310910315,6.07126309996238,,331.1621747211896
11,11,leach,1002,1675,2140,False,10990,166245,144597,86.97825498511233,1.0004212426658643,0.8701489393711449,0.0,271.52565969062783,854.0,166175,170568,0.7697381134386818,6.105365499970503,,334.62634283045304
12,12,leach,994,1633,2153,False,10722,160962,141268,87.76481405549136,1.0004039851582067,0.8780026973778255,0.0,272.1203133743704,854.0,160897,165170,0.7099330083636988,5.625176300003659,,317.5557103064067
13,13,leach,1040,1674,2196,False,11020,166501,144295,86.66314316430532,1.0004085728190923,0.8669855136901936,0.0,270.1940108892922,854.0,166433,170701,0.7432322258150488,6.020393699989654,,325.5735093309058
14,14,leach,988,1642,2233,False,11471,163380,141899,86.85212388297221,1.000367376928729,0.8688403134949791,0.0,255.18141400052306,794.0,163320,166995,0.7083388541524124,5.890830299991649,,312.0192479856759
