run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,teen,2200,5489,6999,True,20805,65569,57820,88.1819152343333,0.15674291509696506,0.10799422486780887,0.0028693618558905815,415.6554193703437,974.0,535399,573846,,,5222.2265625,307.2
1,1,teen,2246,5551,6999,True,20964,63786,56120,87.98168877183082,0.15303829866443297,0.10446274838289357,0.004938774067222596,410.88151116199197,914.0,537225,575481,0.824709885487599,17.069036600005347,,310.49885714285716
2,2,teen,2029,5836,6999,True,22023,65663,60979,92.86660676484473,0.15572379367720465,0.1127361804400074,0.0036257590302122816,416.3129909639922,994.0,540900,579668,0.7965403717077736,16.616822800016962,,310.52042857142857
3,3,teen,2438,5655,6999,True,21868,65721,60884,92.64009981588838,0.1539966175863593,0.11119593525928793,0.00882117503247234,425.01417596488017,1014.0,547538,587711,0.7511559999298437,15.50924489996396,,320.3682857142857
4,4,teen,2383,5905,6999,True,21683,66352,59966,90.37557270315891,0.15426822643149468,0.10859077903734018,0.006908101613746192,421.60761887192734,1014.0,552220,592696,0.781263113969804,16.039559799944982,,321.147
5,5,teen,2074,5570,6999,True,20581,63101,57282,90.77827609705076,0.15379053265922407,0.10899791259540315,0.006975001770708593,424.324036732909,1054.0,525533,563403,0.7283388286513011,15.151370899984613,,296.41285714285715
6,6,teen,2183,5430,6999,True,20736,64292,56975,88.61911279785977,0.15472911443636242,0.10675593130145739,0.00573669118452454,417.64125192901236,974.0,533694,571866,0.7296970425689194,15.073663500021212,,306.3178571428571
7,7,teen,2022,5595,6999,True,22529,66984,62802,93.75671802221426,0.15667302584137358,0.11465135596469289,0.004438438783692798,418.8463313950908,954.0,547765,588553,0.7669416996899859,15.950284500024281,,320.73985714285715
8,8,teen,2147,5826,6999,True,21504,65761,60170,91.4980003345448,0.15562475253753102,0.11132573276643613,0.0076692998943575655,420.85825892857144,1034.0,540486,579406,0.7532182147177602,15.721206000016537,,309.8707142857143
9,9,teen,2422,5652,6999,True,21901,66491,61593,92.63358950835452,0.1566064270369632,0.11367461741191061,0.0070122514150652085,419.36696954476963,994.0,541836,580586,0.7388365716739956,15.328767099999823,,315.1182857142857
10,10,teen,2147,5389,6999,True,21035,63119,57440,91.0027091683962,0.1533039830465296,0.10839351525982174,0.009187279813777663,420.117185642976,994.0,529921,568006,0.7271494431437792,15.148231500003021,,300.6187142857143
11,11,teen,2258,5618,6999,True,21060,63643,57286,90.01147023239005,0.15314800283974142,0.10702462354743489,0.00614702191037853,417.9675213675214,974.0,535260,572868,0.733696885406971,15.313528799975757,,304.66814285714287
12,12,teen,1933,5379,6999,True,20400,60722,55335,91.12842132999572,0.15217272776838778,0.10775039528924268,0.007568321863535323,416.088431372549,994.0,513548,548920,0.7375611572227042,14.971797400037758,,286.5975714285714
13,13,teen,2274,5716,6999,True,20833,64033,57567,89.90208173910328,0.15302974298774655,0.10692653316715547,0.007204432057658036,427.36422982767726,1014.0,538379,578359,0.7769943002079215,15.743694600008894,,308.4415714285714
14,14,teen,2252,5269,6999,True,20789,62368,56643,90.820613134941,0.1550057989703197,0.10967314718541796,0.006721146279223433,410.4068016739622,974.0,516471,550772,0.7642143277584442,15.422661200049333,,289.92214285714283
