round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.87381284620147,0.9987381284620147,0.9987381284620147,100,4,100,56,3,0.12618715379855763,324.0,26.622600038535893,13175
1,100,5,99.74445032044171,0.9974445032044171,0.9974445032044171,100,4,100,55,2,0.12936252575973164,324.0,0.07190002361312509,0
2,100,5,99.61905117159759,0.996190511715976,0.996190511715976,100,4,100,57,2,0.12539914884415837,324.0,0.06280001252889633,0
3,100,5,99.49052696992258,0.9949052696992259,0.9949052696992259,100,4,100,57,2,0.1285242016750125,324.0,0.05849997978657484,0
4,100,5,99.36351725341846,0.9936351725341847,0.9936351725341847,100,4,100,56,2,0.12700971650410886,324.0,0.05720002809539437,0
5,100,5,99.2437432863138,0.992437432863138,0.992437432863138,100,4,100,40,5,0.11977396710467358,244.0,26.49119996931404,13175
6,100,5,99.1289244778115,0.991289244778115,0.991289244778115,100,5,100,93,4,0.11481880850231885,414.0,0.062700011767447,0
7,100,5,99.01640619824717,0.9901640619824716,0.9901640619824716,100,4,100,41,4,0.11251827956433291,244.0,0.06250001024454832,0
8,100,5,98.90146096782317,0.9890146096782317,0.9890146096782317,100,5,100,92,4,0.11494523042401072,414.0,0.048600020818412304,0
9,100,5,98.77914971603154,0.9877914971603154,0.9877914971603154,100,4,100,39,4,0.12231125179161162,244.0,0.05040003452450037,0
10,100,5,98.66983945067376,0.9866983945067376,0.9866983945067376,100,5,100,94,6,0.10931026535781108,414.0,25.660899991635233,13175
11,100,5,98.56222924684354,0.9856222924684355,0.9856222924684355,100,5,100,94,5,0.1076102038302178,414.0,0.06150000263005495,0
12,100,5,98.45655515019511,0.9845655515019511,0.9845655515019511,100,5,100,94,5,0.10567409664843908,414.0,0.05229999078437686,0
13,100,5,98.34674305262949,0.9834674305262949,0.9834674305262949,100,5,100,94,5,0.10981209756562671,414.0,0.062700011767447,0
14,100,5,98.23765101659146,0.9823765101659145,0.9823765101659145,100,5,100,93,5,0.10909203603803364,414.0,0.06480002775788307,0
15,100,5,98.11000850007412,0.9811000850007412,0.9811000850007412,100,4,100,85,5,0.12764251651736003,474.0,25.733599963132292,13175
16,100,5,97.99138326426709,0.9799138326426708,0.9799138326426708,100,4,100,85,4,0.11862523580703743,474.0,0.06370001938194036,0
17,100,5,97.87075860463948,0.9787075860463947,0.9787075860463947,100,4,100,85,4,0.12062465962760349,474.0,0.058999983593821526,0
18,100,5,97.74750030373933,0.9774750030373933,0.9774750030373933,100,4,100,85,4,0.1232583009001611,474.0,0.059699988923966885,0
19,100,5,97.6230176154421,0.976230176154421,0.976230176154421,100,4,100,85,4,0.12448268829721387,474.0,0.05819997750222683,0
20,100,5,97.49639100381093,0.9749639100381092,0.9749639100381092,100,4,100,53,6,0.12662661163120026,319.0,26.6507999622263,13175
