round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.7815837672846,0.997815837672846,0.997815837672846,100,0,100,0,6,0.2184162327154162,0.0,1.6080999630503356,12063
1,100,5,99.62022651486669,0.9962022651486668,0.9962022651486668,100,2,100,18,6,0.16135725241791252,194.0,1.5672000008635223,12057
2,100,5,99.48902646911313,0.9948902646911313,0.9948902646911313,100,3,100,65,6,0.13120004575357297,447.3333333333333,1.229099987540394,12051
3,100,5,99.35225023547692,0.9935225023547691,0.9935225023547691,100,3,100,73,6,0.13677623363623925,514.0,1.4242000179365277,12059
4,100,5,99.23585491286804,0.9923585491286804,0.9923585491286804,100,3,100,35,6,0.11639532260887031,254.0,2.0730000105686486,12049
5,100,5,98.95440792520601,0.9895440792520601,0.9895440792520601,100,0,100,0,6,0.2814469876620229,0.0,1.4236000133678317,12055
6,100,5,98.86758167819667,0.9886758167819667,0.9886758167819667,100,2,100,29,6,0.08682624700937103,304.0,1.269300002604723,12047
7,100,5,98.73451934410109,0.9873451934410109,0.9873451934410109,100,1,100,23,6,0.1330623340955852,474.0,0.9222999797202647,12061
8,100,5,98.64298101014593,0.9864298101014594,0.9864298101014594,100,4,100,76,6,0.09153833395517896,394.0,0.8414000039920211,12046
9,100,5,98.51387147445249,0.9851387147445249,0.9851387147445249,100,2,100,64,6,0.12910953569346617,654.0,0.9280999656766653,12048
10,100,5,98.39956626421717,0.9839956626421718,0.9839956626421718,100,3,100,55,6,0.11430521023530527,380.6666666666667,0.8296000305563211,12062
11,100,5,98.14648810816283,0.9814648810816283,0.9814648810816283,100,1,100,43,6,0.25307815605436423,994.0,0.826900009997189,12059
12,100,5,97.94729991058557,0.9794729991058557,0.9794729991058557,100,1,100,56,6,0.1991881975772709,1294.0,1.256599964108318,12052
13,100,5,97.76619697822402,0.9776619697822402,0.9776619697822402,100,2,100,76,6,0.18110293236156405,854.0,1.359499990940094,12052
14,100,5,97.5794920868535,0.975794920868535,0.975794920868535,100,2,100,76,6,0.18670489137052693,854.0,1.3351999805308878,12052
15,100,5,97.3867118796086,0.973867118796086,0.973867118796086,100,2,100,76,6,0.1927802072449203,854.0,1.3487000251188874,12052
16,100,5,97.19393167236368,0.9719393167236368,0.9719393167236368,100,2,100,76,6,0.19278020724492073,854.0,1.3418999733403325,12052
17,100,5,97.00788623698196,0.9700788623698196,0.9700788623698196,100,1,100,38,6,0.18604543538173424,794.0,1.4397999620996416,12048
18,100,5,96.86332930975631,0.9686332930975631,0.9686332930975631,100,2,100,81,6,0.14455692722564173,824.0,1.3979999930597842,12047
19,100,5,96.7291929945719,0.967291929945719,0.967291929945719,100,1,100,11,6,0.13413631518442948,234.0,1.301799959037453,12048
20,100,5,96.53610807828633,0.9653610807828633,0.9653610807828633,100,1,100,37,6,0.19308491628559565,754.0,1.4176000258885324,12046
21,100,5,96.40919715791719,0.9640919715791719,0.9640919715791719,100,2,100,47,6,0.12691092036915474,484.0,1.3408000231720507,12048
22,100,5,96.22179649062761,0.9622179649062761,0.9622179649062761,100,1,100,21,6,0.18740066728956783,434.0,1.3711999636143446,12054
23,100,5,96.03767003319776,0.9603767003319775,0.9603767003319775,100,1,100,22,6,0.184126457429858,454.0,1.3469000114127994,12054
24,100,5,95.87147267316007,0.9587147267316007,0.9587147267316007,100,1,100,43,6,0.1661973600376938,894.0,1.399399945512414,12058
25,100,5,95.707786621636,0.95707786621636,0.95707786621636,100,1,100,44,6,0.16368605152408122,894.0,1.3785999617539346,12056
26,100,5,95.54412461820473,0.9554412461820473,0.9554412461820473,100,1,100,44,6,0.1636620034312859,894.0,1.2587999808602035,12053
27,100,5,95.3727477702342,0.953727477702342,0.953727477702342,100,1,100,56,6,0.1713768479705564,1134.0,1.3988999999128282,12056
28,100,5,95.23324894809504,0.9523324894809504,0.9523324894809504,100,2,100,64,6,0.13949882213915643,654.0,1.3235000078566372,12057
29,100,5,95.00684704224687,0.9500684704224688,0.9500684704224688,100,0,100,0,6,0.2264019058481841,0.0,1.3401999603956938,12064
30,100,5,94.79164905441662,0.9479164905441663,0.9479164905441663,100,1,100,71,6,0.215197987830261,1594.0,1.367799995932728,12064
31,100,5,94.57645106658636,0.9457645106658635,0.9457645106658635,100,1,100,71,6,0.215197987830261,1594.0,1.2553000124171376,12059
32,100,5,94.33586274571168,0.9433586274571168,0.9433586274571168,100,0,100,0,6,0.24058832087470616,0.0,1.3292999938130379,12061
33,100,5,94.10987372487239,0.9410987372487238,0.9410987372487238,100,1,100,46,6,0.2259890208392843,994.0,1.4954000362195075,12061
34,100,5,93.87902477473187,0.9387902477473188,0.9387902477473188,100,1,100,43,6,0.2308489501405262,994.0,1.373999984934926,12059
35,100,5,93.64491263161862,0.9364491263161863,0.9364491263161863,100,1,100,45,5,0.2341121431132409,994.0,1.4057999942451715,12050
36,100,5,93.38605873077637,0.9338605873077637,0.9338605873077637,100,0,100,0,6,0.25885390084227655,0.0,1.3274000375531614,12050
37,100,5,93.12357097445023,0.9312357097445023,0.9312357097445023,100,0,100,0,6,0.2624877563261361,0.0,1.3604999985545874,12048
38,100,5,92.85349451748442,0.9285349451748443,0.9285349451748443,100,0,100,0,5,0.2700764569658123,0.0,1.3642000267282128,12060
39,100,5,92.63301471522689,0.9263301471522689,0.9263301471522689,100,2,100,78,6,0.22047980225754849,874.0,1.3229000032879412,12053
40,100,5,92.50144782468077,0.9250144782468077,0.9250144782468077,100,1,100,3,6,0.13156689054613224,74.0,1.3863000203855336,12055
41,100,5,92.3976492288988,0.923976492288988,0.923976492288988,100,3,100,60,6,0.10379859578196537,414.0,1.345600001513958,12063
42,100,5,92.29425135954202,0.9229425135954201,0.9229425135954201,100,3,100,57,6,0.10339786935677964,394.0,1.3990000006742775,12048
43,100,5,92.15444353205088,0.9215444353205088,0.9215444353205088,100,2,100,34,6,0.13980782749116294,374.0,1.3799999724142253,12052
44,100,5,92.04514849391462,0.9204514849391462,0.9204514849391462,100,2,100,20,6,0.10929503813625896,214.0,1.4265000354498625,12050
45,100,5,91.93027307531196,0.9193027307531196,0.9193027307531196,100,2,100,20,6,0.1148754186026606,214.0,1.2082000030204654,12050
46,100,5,91.78359722436538,0.9178359722436538,0.9178359722436538,100,2,100,34,6,0.14667585094657198,374.0,1.414199999999255,12054
47,100,5,91.58413569830059,0.9158413569830058,0.9158413569830058,100,1,100,32,6,0.19946152606481427,694.0,1.435799989849329,12059
48,100,5,91.46421285583617,0.9146421285583617,0.9146421285583617,100,3,100,44,6,0.1199228424644474,320.6666666666667,1.3823999906890094,12056
49,100,5,91.34697723394969,0.9134697723394969,0.9134697723394969,100,3,100,30,6,0.11723562188648629,220.66666666666666,1.4263999764807522,12053
50,100,5,91.16883102202192,0.9116883102202192,0.9116883102202192,100,1,100,21,6,0.17814621192774993,434.0,1.3525999966077507,12052
51,100,5,91.01356600299546,0.9101356600299546,0.9101356600299546,100,3,100,77,6,0.1552650190264746,580.6666666666666,1.3455000007525086,12053
52,100,5,90.82029021999853,0.9082029021999852,0.9082029021999852,100,2,100,78,6,0.19327578299695958,864.0,1.361000002361834,12050
53,100,5,90.62929028551066,0.9062929028551067,0.9062929028551067,100,1,100,56,6,0.19099993448786456,1294.0,1.5430999919772148,12053
54,100,5,90.46285161895884,0.9046285161895884,0.9046285161895884,100,1,100,15,6,0.1664386665518105,314.0,1.257500029169023,12050
55,100,5,90.33559252179174,0.9033559252179174,0.9033559252179174,100,1,100,26,6,0.12725909716712636,534.0,1.533999980892986,12068
56,100,5,90.23210833166857,0.9023210833166857,0.9023210833166857,100,1,100,5,6,0.10348419012317223,114.0,0.7967000128701329,12051
57,100,5,90.04856700784231,0.9004856700784231,0.9004856700784231,100,0,100,0,6,0.18354132382625998,0.0,1.420999993570149,12047
58,100,5,89.93728099582218,0.8993728099582218,0.8993728099582218,100,2,100,21,6,0.11128601202015886,224.0,0.8799000061117113,12056
59,100,5,89.7583481025513,0.897583481025513,0.897583481025513,100,0,100,0,6,0.17893289327089512,0.0,1.3289999915286899,12056
60,100,5,89.6641178920122,0.896641178920122,0.896641178920122,100,1,100,24,6,0.09423021053907732,494.0,1.3466000091284513,12049
61,100,5,89.57280309468625,0.8957280309468625,0.8957280309468625,100,3,100,65,6,0.09131479732595871,447.3333333333333,1.3509999844245613,12048
62,100,5,89.48706047161849,0.894870604716185,0.894870604716185,100,3,100,71,6,0.08574262306778557,487.3333333333333,1.3171000173315406,12049
63,100,5,89.39624583343445,0.8939624583343445,0.8939624583343445,100,3,100,51,6,0.09081463818402824,360.6666666666667,1.3189000310376287,12054
64,100,5,89.31670568945047,0.8931670568945047,0.8931670568945047,100,4,100,69,6,0.07954014398401199,359.0,1.4149000053294003,12050
65,100,5,89.16853872786552,0.8916853872786552,0.8916853872786552,100,2,100,20,6,0.1481669615849377,214.0,1.4214999973773956,12051
66,100,5,89.07041941081295,0.8907041941081295,0.8907041941081295,100,1,100,25,6,0.09811931705258203,534.0,1.3828999944962561,12056
67,100,5,88.97613563076494,0.8897613563076494,0.8897613563076494,100,2,100,55,6,0.09428378004800919,564.0,1.3528999988920987,12060
68,100,5,88.81929169774627,0.8881929169774626,0.8881929169774626,100,1,100,45,6,0.15684393301869548,934.0,1.360700000077486,12056
69,100,5,88.65912766943633,0.8865912766943633,0.8865912766943633,100,1,100,18,6,0.16016402830996412,374.0,1.413599995430559,12051
