round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,0,98.8833571913763,0.9888335719137631,0.9888335719137631,100,45,100,45,0,1.1166428086236964,941.4444444444445,0.006799993570894003,0
1,100,0,97.79718405873838,0.9779718405873838,0.9779718405873838,100,49,100,49,0,1.086173132637928,989.2448979591836,0.003700028173625469,0
2,100,0,96.66227789880776,0.9666227789880776,0.9666227789880776,100,43,100,43,0,1.1349061599306385,951.4186046511628,0.0032999669201672077,0
3,100,0,95.5551879176522,0.9555518791765221,0.9555518791765221,100,47,100,47,0,1.1070899811555277,969.3404255319149,0.0032999669201672077,0
4,100,0,94.40696795954818,0.9440696795954818,0.9440696795954818,100,43,100,43,0,1.14821995810403,979.7906976744187,0.003300025127828121,0
5,100,0,93.31586104137581,0.9331586104137581,0.9331586104137581,100,46,100,46,0,1.091106918172363,931.3478260869565,0.003600027412176132,0
6,100,0,92.20880278716113,0.9220880278716114,0.9220880278716114,100,45,100,45,0,1.1070582542146639,946.3333333333334,0.004400033503770828,0
7,100,0,91.06871285392657,0.9106871285392657,0.9106871285392657,100,44,100,44,0,1.140089933234563,930.1818181818181,0.0033999676816165447,0
8,100,0,89.94429361064911,0.8994429361064911,0.8994429361064911,100,44,100,44,0,1.1244192432774955,890.1818181818181,0.002700020559132099,0
9,100,0,88.85400240765206,0.8885400240765207,0.8885400240765207,100,46,100,46,0,1.090291202997058,960.4782608695652,0.002500019036233425,0
10,100,0,87.70759447950948,0.8770759447950948,0.8770759447950948,100,44,100,44,0,1.1464079281425938,938.3636363636364,0.002900022082030773,0
11,100,0,86.63469583466951,0.8663469583466952,0.8663469583466952,100,47,100,47,0,1.0728986448399613,940.4042553191489,0.003300025127828121,0
12,100,0,85.53427297407279,0.8553427297407279,0.8553427297407279,100,48,100,48,0,1.100422860596705,958.6666666666666,0.002900022082030773,0
13,100,0,84.43289205945139,0.8443289205945139,0.8443289205945139,100,45,100,45,0,1.1013809146214228,946.3333333333334,0.0032999669201672077,0
14,100,0,83.30813084512167,0.8330813084512166,0.8330813084512166,100,46,100,46,0,1.1247612143297356,960.4782608695652,0.0029999646358191967,0
15,100,0,82.17402995553664,0.8217402995553664,0.8217402995553664,100,44,100,44,0,1.1341008895850138,927.9090909090909,0.0030999653972685337,0
16,100,0,81.08386163916965,0.8108386163916965,0.8108386163916965,100,45,100,45,0,1.0901683163669844,927.2222222222222,0.0038999714888632298,0
17,100,0,79.97765689235618,0.7997765689235617,0.7997765689235617,100,44,100,44,0,1.1062047468134644,932.4545454545455,0.003300025127828121,0
18,100,0,78.85507349199311,0.7885507349199311,0.7885507349199311,100,46,100,46,0,1.1225834003630482,953.5217391304348,0.003100023604929447,0
19,100,0,77.72288211372009,0.7772288211372009,0.7772288211372009,100,46,100,46,0,1.1321913782730526,937.0,0.003200024366378784,0
20,100,0,76.6281887266979,0.766281887266979,0.766281887266979,100,47,100,47,0,1.0946933870221827,913.5957446808511,0.003100023604929447,0
21,100,0,75.51469405288883,0.7551469405288883,0.7551469405288883,100,47,100,47,0,1.1134946738090505,945.0851063829788,0.003100023604929447,0
22,100,0,74.4356702650882,0.744356702650882,0.744356702650882,100,47,100,47,0,1.079023787800594,927.2127659574468,0.0031999661587178707,0
23,99,0,73.37171895970714,0.7337171895970713,0.7411284743404761,100,45,100,45,0,1.0639513053810639,941.4444444444445,0.003200024366378784,0
24,99,0,72.30166891794514,0.7230166891794514,0.730319888060052,99,45,99,45,0,1.0700500417620056,951.2222222222222,0.003300025127828121,0
25,97,0,71.27393312208405,0.7127393312208404,0.7347828156915881,99,45,99,45,0,1.0277357958611155,937.8888888888889,0.002800021320581436,0
26,97,0,70.28971513323705,0.7028971513323705,0.7246362384869799,97,47,97,47,0,0.9842179888470106,923.8085106382979,0.0034999684430658817,0
27,97,0,69.31105066424871,0.6931105066424871,0.7145469140644197,97,46,97,46,0,0.9786644689883417,942.6521739130435,0.0027999631129205227,0
28,97,0,68.33121346314935,0.6833121346314935,0.7044454996200967,97,44,97,44,0,0.9798372010993361,907.9090909090909,0.0028999638743698597,0
29,96,0,67.32194731285698,0.6732194731285698,0.7012702845089271,97,45,97,45,0,1.009266150292376,969.0,0.0021999585442245007,0
30,96,0,66.36264112601495,0.6636264112601495,0.6912775117293223,96,44,96,44,0,0.9593061868420705,940.1818181818181,0.002100015990436077,0
31,96,0,65.40886989165212,0.6540886989165212,0.6813423947047094,96,45,96,45,0,0.95377123436284,894.7777777777778,0.0025999615900218487,0
32,96,0,64.4512039169628,0.644512039169628,0.6713667074683625,96,44,96,44,0,0.9576659746893128,907.9090909090909,0.002200016751885414,0
33,95,0,63.49722861248442,0.6349722861248442,0.6683918801314149,96,42,96,42,0,0.9539753044783836,945.0952380952381,0.002400018274784088,0
34,93,0,62.597229636578064,0.6259722963657807,0.6730884907158932,95,44,95,44,0,0.899998975906378,887.4545454545455,0.0021999585442245007,0
35,93,0,61.70421621583521,0.6170421621583521,0.6634861958691958,93,43,93,43,0,0.8930134207428537,896.0697674418604,0.0020999577827751637,0
36,93,0,60.81632635522192,0.6081632635522192,0.6539389930669024,93,45,93,45,0,0.8878898606133063,886.7777777777778,0.003300025127828121,0
37,93,0,59.962928948599696,0.5996292894859969,0.6447626768666633,93,45,93,45,0,0.8533974066222285,871.6666666666666,0.0025999615900218487,0
38,91,0,59.115313876134174,0.5911531387613418,0.6496188338036722,93,45,93,45,0,0.8476150724655369,897.0,0.003400025889277458,0
39,90,0,58.31692890177379,0.5831692890177379,0.6479658766863755,91,46,91,46,0,0.7983849743603955,875.695652173913,0.002500019036233425,0
40,88,0,57.53827042249837,0.5753827042249837,0.6538439820738451,90,43,90,43,0,0.7786584792754354,841.1860465116279,0.00300002284348011,0
41,87,0,56.81909964520465,0.5681909964520465,0.6530930993701686,88,42,88,42,0,0.7191707772937193,840.8095238095239,0.002500019036233425,0
42,86,0,56.09897610706271,0.5609897610706271,0.6523136756635199,87,45,87,45,0,0.7201235381419622,855.6666666666666,0.002300017513334751,0
43,85,0,55.41702141130324,0.5541702141130324,0.6519649577800382,86,44,86,44,0,0.6819546957594795,798.8181818181819,0.002400018274784088,0
44,85,0,54.75133937339788,0.5475133937339788,0.6441334043929162,85,47,85,47,0,0.6656820379053698,806.7872340425532,0.0026999623514711857,0
45,83,0,54.120963541499954,0.5412096354149996,0.6520598017048187,85,47,85,47,0,0.6303758318979433,819.1276595744681,0.002600019797682762,0
46,80,0,53.522160524888285,0.5352216052488828,0.6690270065611035,83,44,83,44,0,0.5988030166116829,807.4545454545455,0.002600019797682762,0
47,79,0,52.977205006843064,0.5297720500684306,0.6705975317321908,80,44,80,44,0,0.5449555180452279,796.5454545454545,0.0023999600671231747,0
48,78,0,52.453599974858,0.52453599974858,0.6724820509597179,79,44,79,44,0,0.5236050319850918,774.7272727272727,0.002200016751885414,0
49,76,0,51.96462453653618,0.5196462453653617,0.6837450596912655,78,45,78,45,0,0.4889754383218232,787.6666666666666,0.002300017513334751,0
50,76,0,51.483554491698385,0.5148355449169838,0.677415190680242,76,42,76,42,0,0.4810700448377929,729.8571428571429,0.002200016751885414,0
51,76,0,51.00779359251778,0.5100779359251778,0.6711551788489182,76,43,76,43,0,0.4757608991806208,727.2325581395348,0.002300017513334751,0
52,76,0,50.51876257651064,0.5051876257651063,0.6647205602172453,76,43,76,43,0,0.4890310160071394,731.4186046511628,0.0027999631129205227,0
53,76,0,50.033672990094544,0.5003367299009455,0.658337802501244,76,44,76,44,0,0.4850895864161089,747.9090909090909,0.00400003045797348,0
54,76,0,49.566663004934924,0.49566663004934924,0.6521929342754597,76,44,76,44,0,0.46700998515962056,732.9090909090909,0.0030999653972685337,0
55,76,0,49.103141958937954,0.4910314195893795,0.6460939731439205,76,45,76,45,0,0.46352104599698407,726.3333333333334,0.00300002284348011,0
56,75,0,48.64209268514173,0.48642092685141736,0.6485612358018897,76,46,76,46,0,0.4610492737962275,740.9130434782609,0.003300025127828121,0
57,75,0,48.17619101308468,0.48176191013084685,0.6423492135077957,75,44,75,44,0,0.4659016720570506,713.3636363636364,0.002900022082030773,0
58,74,0,47.70232857556224,0.4770232857556224,0.6446260618319223,75,41,75,41,0,0.47386243752244184,737.0,0.003100023604929447,0
59,74,0,47.25144051356393,0.4725144051356393,0.638532979913026,74,43,74,43,0,0.4508880619983273,732.8139534883721,0.003200024366378784,0
60,74,0,46.80375424184295,0.46803754241842954,0.6324831654303101,74,42,74,42,0,0.4476862717209684,706.5238095238095,0.0025999615900218487,0
61,73,0,46.37678636543906,0.4637678636543906,0.6352984433621789,74,44,74,44,0,0.4269678764039071,715.6363636363636,0.00300002284348011,0
62,72,0,45.962124010931376,0.45962124010931377,0.638362833485158,73,43,73,43,0,0.41466235450769773,712.3488372093024,0.002900022082030773,0
63,72,0,45.54574369868251,0.45545743698682506,0.6325797735928125,72,43,72,43,0,0.41638031224887584,694.6744186046511,0.002900022082030773,0
64,72,0,45.137779683008006,0.45137779683008006,0.6269136067084445,72,43,72,43,0,0.4079640156745086,681.1860465116279,0.002900022082030773,0
65,72,0,44.70915232542252,0.44709152325422524,0.6209604489642016,72,41,72,41,0,0.4286273575854693,686.7560975609756,0.002800021320581436,0
66,70,0,44.3029093365961,0.443029093365961,0.6328987048085157,72,43,72,43,0,0.4062429888264063,690.0232558139535,0.0031999661587178707,0
67,69,0,43.934092453095936,0.43934092453095935,0.6367259775811005,70,41,70,41,0,0.3688168835001733,660.9024390243902,0.0025999615900218487,0
68,68,0,43.56751691288083,0.4356751691288083,0.6406987781306004,69,42,69,42,0,0.3665755402151021,656.047619047619,0.002600019797682762,0
69,67,0,43.2035975879849,0.43203597587984904,0.6448298147460433,68,44,68,44,0,0.3639193248959245,610.6363636363636,0.0028999638743698597,0
70,67,0,42.870935442342244,0.42870935442342245,0.6398647080946603,67,45,67,45,0,0.33266214564265795,625.8888888888889,0.0033999676816165447,0
71,65,0,42.55717810307628,0.4255717810307628,0.6547258169704044,67,45,67,45,0,0.31375733926596183,625.8888888888889,0.003100023604929447,0
72,65,0,42.23978765798246,0.42239787657982464,0.6498428870458838,65,42,65,42,0,0.3173904450938352,586.047619047619,0.002700020559132099,0
73,64,0,41.91622594384884,0.41916225943848845,0.6549410303726382,65,42,65,42,0,0.323561714133632,586.047619047619,0.00300002284348011,0
74,64,0,41.61573759417198,0.4161573759417198,0.6502458999089371,64,44,64,44,0,0.30048834967686844,583.8181818181819,0.003200024366378784,0
75,64,0,41.33284247356291,0.41332842473562914,0.6458256636494205,64,44,64,44,0,0.2828951206090693,600.1818181818181,0.00300002284348011,0
76,62,0,41.0385153590629,0.410385153590629,0.6619115380494017,64,40,64,40,0,0.294327114500021,579.0,0.002900022082030773,0
77,62,0,40.75163128801903,0.40751631288019025,0.6572843756132101,62,43,62,43,0,0.286884071043886,603.5116279069767,0.002600019797682762,0
78,62,0,40.469037413758606,0.4046903741375861,0.6527264098993323,62,42,62,42,0,0.2825938742604279,573.6666666666666,0.0028999638743698597,0
79,62,0,40.179751146176365,0.4017975114617636,0.6480605023576832,62,40,62,40,0,0.2892862675822556,599.0,0.0033999676816165447,0
80,62,0,39.90775706918744,0.3990775706918744,0.6436735011159265,62,43,62,43,0,0.27199407698892486,580.7209302325581,0.00300002284348011,0
81,61,0,39.65056639210794,0.3965056639210794,0.6500092851165234,62,43,62,43,0,0.2571906770795138,603.9767441860465,0.003100023604929447,0
