round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,3,99.92585864944925,0.9992585864944925,0.9992585864944925,33,1,33,3,106,0.07414135055079184,314.0,1.0810000239871442,291
1,100,4,99.87633845172226,0.9987633845172226,0.9987633845172226,23,1,21,8,108,0.04952019772699927,734.0,1.0819000308401883,384
2,100,2,99.84943770063626,0.9984943770063626,0.9984943770063626,19,2,18,17,104,0.026900751086022218,1014.0,1.0849999962374568,196
3,100,6,99.7240152457187,0.997240152457187,0.997240152457187,24,2,21,9,112,0.12542245491760406,414.0,1.070300000719726,564
4,100,7,99.6268509519385,0.996268509519385,0.996268509519385,24,4,17,11,114,0.097164293780239,339.0,1.0229999898001552,651
5,100,3,99.58972652857962,0.9958972652857961,0.9958972652857961,29,1,27,4,106,0.037124423358925074,334.0,1.018800016026944,291
6,100,8,99.49276398945106,0.9949276398945106,0.9949276398945106,24,3,18,7,116,0.09696253912859754,200.66666666666666,0.9731999598443508,736
7,100,4,99.40496908551555,0.9940496908551555,0.9940496908551555,19,2,15,10,108,0.08779490393554357,724.0,1.1513999779708683,384
8,100,6,99.33523760439563,0.9933523760439563,0.9933523760439563,22,3,18,11,112,0.06973148111994765,360.6666666666667,1.0759999859146774,564
9,100,9,99.26094011742994,0.9926094011742994,0.9926094011742994,22,4,16,11,116,0.07429748696576355,244.0,1.0608999873511493,819
10,100,5,99.16477008097414,0.9916477008097414,0.9916477008097414,19,2,15,13,110,0.09617003645581446,694.0,1.0158999939449131,475
11,100,3,99.10803352498746,0.9910803352498746,0.9910803352498746,15,2,13,10,106,0.05673655598670013,634.0,1.0359999723732471,291
12,100,4,99.07234446481672,0.9907234446481672,0.9907234446481672,15,4,12,12,108,0.03568906017076334,514.0,1.0170000023208559,384
13,100,2,99.03532821455002,0.9903532821455002,0.9903532821455002,14,1,12,6,104,0.037016250266735495,1014.0,1.0280999704264104,196
14,100,8,98.93833811007123,0.9893833811007123,0.9893833811007123,20,5,15,11,116,0.09699010447881662,266.0,0.972100009676069,736
15,100,6,98.84664912340865,0.9884664912340866,0.9884664912340866,19,2,14,5,112,0.09168898666261138,354.0,1.0168000007979572,564
16,100,4,98.81675687240401,0.9881675687240401,0.9881675687240401,15,3,12,10,108,0.029892251004671522,400.6666666666667,0.9589999681338668,384
17,100,7,98.70420076787629,0.9870420076787628,0.9870420076787628,18,1,12,1,114,0.11255610452779075,74.0,0.9546999935992062,651
18,100,3,98.64324884849417,0.9864324884849417,0.9864324884849417,16,1,14,6,106,0.06095191938214062,1074.0,1.0165999992750585,291
19,100,6,98.57156790175027,0.9857156790175027,0.9857156790175027,18,3,14,9,112,0.07168094674397052,407.3333333333333,0.9813999640755355,564
