run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,fuzzy_t2,121,1308,1463,False,5240,120849,91847,76.00145636289916,1.0006458504111087,0.7605054193473599,0.0,374.0473282442748,1054.0,120771,6307,,,1100.78515625,1993.014344262295
1,1,fuzzy_t2,628,1347,1385,False,5206,128062,89589,69.95752057597102,1.0006016330038676,0.6999960932921827,0.0,366.1494429504418,1054.0,127985,6360,4.772301298642765,8.864995800016914,,2339.71645021645
2,2,fuzzy_t2,364,1395,1518,False,5528,128807,99859,77.52606612994636,1.0006836597549702,0.7757906758132055,0.0,384.22178002894356,974.0,128719,6599,4.372510862580566,8.91132379998453,,2055.2982225148126
3,3,fuzzy_t2,757,1418,1478,False,5675,136021,101554,74.66053035928276,1.0006400164785851,0.747083143290126,0.0,377.2977973568282,994.0,135934,6930,4.7194774173190055,9.37269590003416,,2331.056795131846
4,4,fuzzy_t2,283,1450,1606,False,5569,138678,103418,74.5741934553426,1.0006277463904583,0.7462100713610552,0.0,391.22948464715387,1014.0,138591,7134,4.401097261342819,9.495234399975743,,2123.469197261979
5,5,fuzzy_t2,233,1313,1405,False,5425,125279,93582,74.6988721174339,1.0006789462753807,0.7474958863843315,0.0,368.4237788018433,1014.0,125194,6248,4.530725462846047,8.586282400006894,,2222.817211948791
6,6,fuzzy_t2,247,1348,1432,False,4913,124765,89027,71.35574880775859,1.0006897713327827,0.7140496795771542,0.0,386.0801953999593,974.0,124679,6313,4.493261410189248,8.694456199998967,,2135.3928820655965
7,7,fuzzy_t2,270,1414,1475,False,5346,129278,96327,74.51151781432263,1.0006811672730087,0.7456227262171995,0.0,382.4985035540591,954.0,129190,6629,4.494162397613739,8.93360320001375,,2140.7540650406504
8,8,fuzzy_t2,309,1418,1552,False,6067,132383,109436,82.66620336448032,1.0006197987921481,0.8271743977747712,0.0,381.93077303444863,1094.0,132301,6631,4.344620991488337,9.116596599982586,,2076.786864133934
9,9,fuzzy_t2,195,1354,1443,False,5532,128496,95428,74.26534678122276,1.000622975330177,0.743116122601545,0.0,366.68148951554593,1114.0,128416,6283,4.590261358452685,8.902161299949512,,2217.6059556786704
10,10,fuzzy_t2,313,1295,1408,False,5169,120425,87859,72.95744239153001,1.0006897010187632,0.7300776121387379,0.0,363.76397755852196,1094.0,120342,6003,4.407680696130957,8.36160679999739,,2089.902058197303
11,11,fuzzy_t2,717,1339,1425,False,5098,127652,86591,67.83364146272679,1.00070553926718,0.6788150076041455,0.0,360.53511180855236,1014.0,127562,6369,4.477678471629222,8.594187499955297,,2253.5799438990184
12,12,fuzzy_t2,509,1246,1306,False,4485,115859,77371,66.78031054989255,1.000742832957598,0.6682991716548764,0.0,369.60089186176145,1014.0,115773,5846,4.622819509952919,8.14229799999157,,2205.1453710788064
13,13,fuzzy_t2,561,1405,1484,False,5748,132605,99649,75.14724180837827,1.0006263111030622,0.7519430736028735,0.0,366.85299234516356,1034.0,132522,6718,4.506021077032844,9.017644400009885,,2243.981818181818
14,14,fuzzy_t2,392,1263,1356,False,5100,117359,88330,75.2647858281001,1.00074186506583,0.7532062214339313,0.0,372.08176470588234,1034.0,117272,5976,4.326996242299102,7.907474200008437,,2122.76565954311
