round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95621880813863,0.9995621880813863,0.9995621880813863,100,5,100,100,6,0.0437811918613801,414.0,387.68220000201836,590240
1,100,5,99.91343761627726,0.9991343761627727,0.9991343761627727,100,5,100,100,5,0.04278119186137999,414.0,0.03619998460635543,0
2,100,5,99.87065642441588,0.9987065642441588,0.9987065642441588,100,5,100,100,5,0.04278119186137999,414.0,0.027999980375170708,0
3,100,5,99.82787523255453,0.9982787523255453,0.9982787523255453,100,5,100,100,5,0.04278119186138049,414.0,0.05100003909319639,0
4,100,5,99.78509404069312,0.9978509404069312,0.9978509404069312,100,5,100,100,5,0.04278119186138071,414.0,0.045900000259280205,0
5,100,5,99.74131361649555,0.9974131361649554,0.9974131361649554,100,5,100,100,6,0.04378042419760911,414.0,397.47409999836236,590240
6,100,5,99.69853319229794,0.9969853319229794,0.9969853319229794,100,5,100,100,5,0.042780424197609024,414.0,0.05460000829771161,0
7,100,5,99.65575276810034,0.9965575276810035,0.9965575276810035,100,5,100,100,5,0.042780424197609135,414.0,0.03609998384490609,0
8,100,5,99.61297234390274,0.9961297234390274,0.9961297234390274,100,5,100,100,5,0.042780424197609135,414.0,0.0363999861292541,0
9,100,5,99.57019191970514,0.9957019191970514,0.9957019191970514,100,5,100,100,5,0.04278042419760908,414.0,0.033400021493434906,0
10,100,5,99.52636119843572,0.9952636119843572,0.9952636119843572,100,5,100,100,6,0.04383072126943072,414.0,448.8537000142969,590240
11,100,5,99.48353047716631,0.9948353047716632,0.9948353047716632,100,5,100,100,5,0.04283072126943083,414.0,0.0570000265724957,0
12,100,5,99.44069975589686,0.9944069975589686,0.9944069975589686,100,5,100,100,5,0.042830721269430994,414.0,0.0543000060133636,0
13,100,5,99.39786903462743,0.9939786903462743,0.9939786903462743,100,5,100,100,5,0.04283072126942877,414.0,0.055500015150755644,0
14,100,5,99.35503831335801,0.9935503831335801,0.9935503831335801,100,5,100,100,5,0.04283072126942833,414.0,0.06699998630210757,0
15,100,5,99.31128274850738,0.9931128274850738,0.9931128274850738,100,5,100,100,6,0.04375556485064003,414.0,465.03540000412613,590240
16,100,5,99.26852718365674,0.9926852718365674,0.9926852718365674,100,5,100,100,5,0.042755564850639916,414.0,0.03609998384490609,0
17,100,5,99.22577161880612,0.9922577161880612,0.9922577161880612,100,5,100,100,5,0.042755564850639804,414.0,0.03300001844763756,0
18,100,5,99.18301605395547,0.9918301605395548,0.9918301605395548,100,5,100,100,5,0.042755564850639804,414.0,0.0342000275850296,0
19,100,5,99.14026048910485,0.9914026048910485,0.9914026048910485,100,5,100,100,5,0.04275556485064003,414.0,0.031800009310245514,0
20,100,5,99.09644790643053,0.9909644790643053,0.9909644790643053,100,5,100,100,6,0.0438125826743343,414.0,389.1454999684356,590240
21,100,5,99.0536353237562,0.990536353237562,0.990536353237562,100,5,100,100,5,0.0428125826743343,414.0,0.03659998765215278,0
22,100,5,99.01082274108184,0.9901082274108184,0.9901082274108184,100,5,100,100,5,0.04281258267433419,414.0,0.032699957955628633,0
23,100,5,98.96801015840755,0.9896801015840755,0.9896801015840755,100,5,100,100,5,0.04281258267433441,414.0,0.03170000854879618,0
24,100,5,98.92519757573318,0.9892519757573318,0.9892519757573318,100,5,100,100,5,0.042812582674335076,414.0,0.03980001201853156,0
25,100,5,98.88139262691665,0.9888139262691665,0.9888139262691665,100,5,100,100,6,0.04380494881656638,414.0,443.79520002985373,590240
26,100,5,98.8385876781001,0.988385876781001,0.988385876781001,100,5,100,100,5,0.04280494881656627,414.0,0.05199998850002885,0
27,100,5,98.79578272928353,0.9879578272928353,0.9879578272928353,100,5,100,100,5,0.042804948816566935,414.0,0.03409996861591935,0
28,100,5,98.75297778046696,0.9875297778046697,0.9875297778046697,100,5,100,100,5,0.04280494881656649,414.0,0.03489997470751405,0
29,100,5,98.7101728316504,0.987101728316504,0.987101728316504,100,5,100,100,5,0.042804948816566935,414.0,0.02659996971487999,0
30,100,5,98.66637044824613,0.9866637044824613,0.9866637044824613,100,5,100,100,6,0.04380238340427711,414.0,407.1164000197314,590240
31,100,5,98.62356806484185,0.9862356806484185,0.9862356806484185,100,5,100,100,5,0.042802383404276556,414.0,0.03389996709302068,0
32,100,5,98.58076568143758,0.9858076568143759,0.9858076568143759,100,5,100,100,5,0.04280238340427678,414.0,0.03359996480867267,0
33,100,5,98.53796329803332,0.9853796329803332,0.9853796329803332,100,5,100,100,5,0.042802383404277,414.0,0.0295999925583601,0
34,100,5,98.49516091462905,0.9849516091462905,0.9849516091462905,100,5,100,100,5,0.042802383404276556,414.0,0.04509999416768551,0
35,100,5,98.4513292602075,0.984513292602075,0.984513292602075,100,5,100,100,6,0.043831654421553345,414.0,410.27150000445545,590240
36,100,5,98.40849760578594,0.9840849760578594,0.9840849760578594,100,5,100,100,5,0.04283165442155257,414.0,0.03609998384490609,0
37,100,5,98.36566595136439,0.9836566595136439,0.9836566595136439,100,5,100,100,5,0.04283165442155279,414.0,0.06320001557469368,0
38,100,5,98.32283429694286,0.9832283429694286,0.9832283429694286,100,5,100,100,5,0.04283165442155301,414.0,0.0543000060133636,0
39,100,5,98.2800026425213,0.9828000264252129,0.9828000264252129,100,5,100,100,5,0.04283165442155301,414.0,0.031800009310245514,0
40,100,5,98.23616997713691,0.9823616997713691,0.9823616997713691,100,5,100,100,6,0.0438326653844181,414.0,389.4685000414029,590240
41,100,5,98.19333731175249,0.9819333731175248,0.9819333731175248,100,5,100,100,5,0.042832665384418434,414.0,0.03400002606213093,0
42,100,5,98.15050464636806,0.9815050464636806,0.9815050464636806,100,5,100,100,5,0.04283266538441799,414.0,0.03339996328577399,0
43,100,5,98.10767198098365,0.9810767198098366,0.9810767198098366,100,5,100,100,5,0.04283266538441821,414.0,0.03130000550299883,0
44,100,5,98.06483931559924,0.9806483931559924,0.9806483931559924,100,5,100,100,5,0.04283266538441777,414.0,0.03309996100142598,0
45,100,5,98.02103145527818,0.9802103145527817,0.9802103145527817,100,5,100,100,6,0.04380786032108119,414.0,400.5765999900177,590240
46,100,5,97.97822359495711,0.9797822359495711,0.9797822359495711,100,5,100,100,5,0.042807860321080415,414.0,0.05039997631683946,0
47,100,5,97.93541573463604,0.9793541573463603,0.9793541573463603,100,5,100,100,5,0.042807860321080415,414.0,0.059699988923966885,0
48,100,5,97.89260787431493,0.9789260787431493,0.9789260787431493,100,5,100,100,5,0.042807860321081304,414.0,0.028099981136620045,0
49,100,5,97.84980001399387,0.9784980001399387,0.9784980001399387,100,5,100,100,5,0.042807860321081304,414.0,0.025399960577487946,0
50,100,5,97.80582249706198,0.9780582249706198,0.9780582249706198,100,5,100,100,6,0.043977516931891,414.0,380.7941999984905,590240
51,100,5,97.76284498013011,0.9776284498013011,0.9776284498013011,100,5,100,100,5,0.04297751693189156,414.0,0.034299970138818026,0
52,100,5,97.71986746319821,0.9771986746319822,0.9771986746319822,100,5,100,100,5,0.04297751693189111,414.0,0.0342000275850296,0
53,100,5,97.67688994626631,0.9767688994626631,0.9767688994626631,100,5,100,100,5,0.04297751693189156,414.0,0.03290001768618822,0
