round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,100,5,99.95625221336017,0.9995625221336017,0.9995625221336017,100,5,100,100,6,0.043747786639821484,414.0,268.3874999638647,50600
1,100,5,99.91350442672038,0.9991350442672038,0.9991350442672038,100,5,100,100,5,0.042747786639821345,414.0,0.06719998782500625,0
2,100,5,99.87075664008056,0.9987075664008056,0.9987075664008056,100,5,100,100,5,0.042747786639821345,414.0,0.06339995888993144,0
3,100,5,99.82800885344075,0.9982800885344075,0.9982800885344075,100,5,100,100,5,0.042747786639821844,414.0,0.06210000719875097,0
4,100,5,99.78526106680091,0.9978526106680091,0.9978526106680091,100,5,100,100,5,0.04274778663982204,414.0,0.0646000262349844,0
5,100,5,99.74150896643344,0.9974150896643345,0.9974150896643345,100,5,100,100,6,0.04375210036750696,414.0,271.2170000304468,50600
6,100,5,99.69875686606595,0.9969875686606595,0.9969875686606595,100,5,100,100,5,0.04275210036750704,414.0,0.058399979025125504,0
7,100,5,99.65600476569846,0.9965600476569846,0.9965600476569846,100,5,100,100,5,0.042752100367506984,414.0,0.059399986639618874,0
8,100,5,99.61325266533096,0.9961325266533096,0.9961325266533096,100,5,100,100,5,0.04275210036750704,414.0,0.06250001024454832,0
9,100,5,99.57050056496344,0.9957050056496344,0.9957050056496344,100,5,100,100,5,0.04275210036750704,414.0,0.06220000796020031,0
10,100,5,99.52673514079484,0.9952673514079484,0.9952673514079484,100,5,100,100,6,0.04376542416860013,414.0,262.53110001562163,50600
11,100,5,99.48396971662626,0.9948396971662626,0.9948396971662626,100,5,100,100,5,0.04276542416860024,414.0,0.05390000296756625,0
12,100,5,99.44120429245766,0.9944120429245765,0.9944120429245765,100,5,100,100,5,0.042765424168600075,414.0,0.062400009483098984,0
