run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,pegasis,2154,2251,3410,False,3385,227239,224621,98.8479090297,1.000255303040307,0.9887314520140329,0.0,857.9852289512555,1649.0,227181,223897,,,2268.765625,23.315743183817062
1,1,pegasis,2194,2251,3583,False,3570,227300,225562,99.23537175538935,1.0002200220022002,0.9925720572057206,0.0,814.995238095238,1632.0,227250,223794,0.027828432247848207,5.021255700034089,,23.137834821428573
2,2,pegasis,2203,2252,3564,False,3558,227417,226625,99.65174107476574,1.0002683016942593,0.9967847780573198,0.0,822.8516020236087,1649.0,227356,223917,0.02679668997478414,5.488618100003805,,20.740252454417952
3,3,pegasis,2215,2252,3406,False,3399,227227,226274,99.58059561583791,1.0002377043046489,0.9960426635207529,0.0,861.5583995292733,1649.0,227173,223893,0.02446298763983658,4.316282499989029,,21.667449368946286
4,4,pegasis,1991,2253,3668,False,3663,227167,226444,99.68173194169928,1.0002509797014663,0.9970675003302365,0.0,797.5288015288015,1632.0,227110,223570,0.024998283581531527,4.434985900006723,,23.79340419732897
5,5,pegasis,2119,2251,3345,False,3320,226560,223876,98.81532485875707,1.000233988353561,0.9883844649392735,0.0,871.1885542168675,1649.0,226507,223291,0.026351494344565917,4.469317099952605,,26.186192468619247
6,6,pegasis,2189,2251,3491,False,3487,227053,226409,99.71636578243846,1.0002378865105133,0.9974008696073551,0.0,837.9191281904216,1632.0,226999,223630,0.023497394157412494,4.276932800014038,,20.946162657502864
7,7,pegasis,2194,2252,3463,False,3454,227242,226371,99.61670817894579,1.000237688610314,0.996403859358769,0.0,843.5376375217139,1632.0,227188,223850,0.024092032537955842,4.391172599978745,,20.973729792147807
8,8,pegasis,2123,2251,3704,False,3697,227164,226386,99.6575161557289,1.0002421744624828,0.9968165066113628,0.0,793.629158777387,1632.0,227109,223536,0.024922563745948145,4.527793000044767,,22.686909581646425
9,9,pegasis,2214,2252,3349,False,3342,227213,226367,99.62766214961292,1.0002509288770713,0.9965266160700136,0.0,875.5661280670257,1649.0,227156,223931,0.020423194118983932,4.237885500013363,,19.2155223880597
10,10,pegasis,2147,2251,3376,False,3373,226761,226128,99.72085146916798,1.0002205450992674,0.9974284441425427,0.0,869.0512896531278,1649.0,226711,223458,0.021219780528793804,4.372813800000586,,16.62037311222979
11,11,pegasis,1966,2251,3490,False,3486,226919,226163,99.66684147206712,1.0002336180829212,0.9969012544850264,0.0,838.486230636833,1632.0,226866,223502,0.022608622435994704,4.454026999999769,,21.12632483529075
12,12,pegasis,2185,2250,3392,False,3385,227022,226164,99.62206305996776,1.0002379190017976,0.99645765041768,0.0,860.2401772525849,1649.0,226968,223699,0.02352440281437077,4.271331699972507,,20.610963748894783
13,13,pegasis,2020,2251,3315,False,3306,226823,225443,99.39159609034357,1.0002293062164034,0.9941438720118534,0.0,879.7577132486389,1649.0,226771,223581,0.024220175267083727,4.427234600007068,,22.495476477683958
14,14,pegasis,1798,2250,3685,False,3681,226649,225778,99.61570534173987,1.000278040126045,0.9964340250500914,0.0,789.8141809290953,1632.0,226586,223024,0.02317007584194135,4.486000499979127,,19.182040151926206
