round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,150,5,149.95474067044972,0.9996982711363315,0.9996982711363315,46,4,42,36,160,0.04525932955030958,669.0,1.7136999522335827,725
1,150,14,149.90121326375618,0.9993414217583745,0.9993414217583745,34,8,25,19,178,0.05352740669369327,266.5,2.041500003542751,1904
2,150,7,149.860666217498,0.9990711081166533,0.9990711081166533,28,4,23,13,164,0.04054704625822424,404.0,1.776200020685792,1001
3,150,7,149.82019942981566,0.9988013295321044,0.9988013295321044,26,5,23,12,164,0.0404667876824249,450.0,1.8286000122316182,1001
4,150,10,149.77624344284703,0.9985082896189802,0.9985082896189802,25,4,19,14,170,0.04395598696869499,459.0,1.5855000237934291,1400
5,150,4,149.7436047697276,0.9982906984648506,0.9982906984648506,27,2,24,12,158,0.032638673119491146,644.0,1.7157999682240188,584
6,150,8,149.70137098805657,0.9980091399203771,0.9980091399203771,27,3,22,10,164,0.04223378167109437,620.6666666666666,1.567700004670769,1136
7,150,11,149.66465722122473,0.9977643814748315,0.9977643814748315,30,9,23,23,172,0.036713766831910966,322.8888888888889,1.5389000182040036,1529
8,150,8,149.62426483763622,0.9974950989175748,0.9974950989175748,26,5,20,19,166,0.04039238358860603,506.0,1.5480999718420208,1136
9,150,8,149.58090217047555,0.997206014469837,0.997206014469837,30,3,26,19,166,0.043362667160757984,634.0,0.7393999840132892,1136
10,150,10,149.53280114871802,0.9968853409914534,0.9968853409914534,30,4,23,12,170,0.04810102175762565,324.0,0.8293999708257616,1400
11,150,7,149.5014456721088,0.9966763044807252,0.9966763044807252,24,6,19,19,164,0.031355476609280675,490.6666666666667,0.8323999936692417,1001
12,150,4,149.47537559738993,0.9965025039825995,0.9965025039825995,22,4,18,18,158,0.026070074718929914,764.0,1.0727000189945102,584
13,150,12,149.42989750704572,0.9961993167136381,0.9961993167136381,28,7,21,17,174,0.04547809034431327,311.14285714285717,0.7883000071160495,1656
14,150,6,149.40315574524112,0.9960210383016075,0.9960210383016075,24,5,20,20,162,0.026741761804693787,538.0,1.6473999712616205,864
15,150,3,149.3744693920466,0.9958297959469773,0.9958297959469773,24,2,21,17,156,0.028686353194593117,904.0,1.655199972447008,441
16,150,7,149.34444913046428,0.9956296608697619,0.9956296608697619,19,6,14,14,164,0.030020261582386687,474.0,1.6329999780282378,1001
17,150,6,149.3123109811882,0.9954154065412547,0.9954154065412547,20,4,16,14,162,0.03213814927616698,534.0,1.7093999776989222,864
