run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,dqn,1525,1972,2464,False,14974,297140,276869,93.17796324964664,1.0003400226906232,0.9320964587141756,0.0,384.2350741284894,1034.0,297039,17649,,,2097.533203125,17840.724543610548
1,1,dqn,1547,1916,2343,False,14312,292354,260473,89.095069675804,1.0003490138647468,0.8912616509040143,0.0,378.37534935718276,1094.0,292252,17182,0.6722917671215247,6.963763700041454,,18677.637798634812
2,2,dqn,1585,1910,2350,False,13979,290944,253305,87.0631461724593,1.0003335086832597,0.8709218248769972,0.0,376.7684383718435,994.0,290847,17425,0.6805183741777837,6.992551699979231,,18620.54955338154
3,3,dqn,1486,1998,2507,False,14677,301655,269463,89.32820606321792,1.000324980020361,0.8935723594544315,0.0,381.4742794849084,1034.0,301557,17884,0.6555027115003517,7.144861099950504,,17773.997607655503
4,4,dqn,1554,2007,2460,False,14852,300904,271355,90.17992449419083,1.0002892123782898,0.902060056446278,0.0,379.7002423915971,1014.0,300817,18001,0.6673748878654651,7.228626500000246,,18129.824461600976
5,5,dqn,1551,1901,2468,False,14298,293441,259954,88.58816593454902,1.0003102096471792,0.8861564683824783,0.0,378.00755350398657,994.0,293350,17645,0.6578432160253124,7.1640792999533005,,17668.31105710814
6,6,dqn,1539,1950,2417,False,14568,295569,266279,90.09030040362825,1.000355373243441,0.9012231608588526,0.0,379.9857221306974,1034.0,295464,17590,0.6658720020641942,6.990619899996091,,18280.548387096773
7,7,dqn,1491,1942,2477,False,14421,296576,266377,89.81744982736298,1.0003237992444685,0.8984653264975715,0.0,383.6747798349629,1034.0,296480,17720,0.6672058912100085,7.3338651999947615,,17707.85552865214
8,8,dqn,1517,1956,2448,False,14415,296519,260028,87.69353734499306,1.0003171122543646,0.8772134604031374,0.0,375.0766562608394,1034.0,296425,17641,0.6720948545186161,7.174080400029197,,17930.626786443445
9,9,dqn,1551,1965,2483,False,14996,299258,278026,92.90511866015278,1.0003242401248826,0.9293524222742938,0.0,385.09895972259267,1034.0,299161,17824,0.6719897738078627,7.312222600041423,,17882.185587761676
10,10,dqn,1548,1961,2425,False,14668,295839,271617,91.81243852230436,1.0003246061614306,0.9184224140554468,0.0,384.72266157622033,954.0,295743,17808,0.6677851601596307,7.155503900023177,,18085.82481450948
11,11,dqn,1564,1961,2407,False,14233,294475,257716,87.51710671534086,1.0003329064430986,0.8754624172404774,0.0,376.4913932410595,994.0,294377,17605,0.663229692923609,7.061106899986044,,18233.318521594683
12,12,dqn,1579,1951,2441,False,14608,295360,268897,91.04042524377031,1.0003183570069023,0.9106940860105803,0.0,382.62130339539976,1014.0,295266,17821,0.6641839070945069,7.0844460999942385,,18022.89475839476
13,13,dqn,1523,1951,2409,False,14402,296034,263929,89.15496193004857,1.000324392271354,0.8918388311065155,0.0,380.7560061102625,994.0,295938,17705,0.6714814522011878,7.105326400022022,,18252.523651452284
14,14,dqn,1497,2006,2452,False,14764,298420,273316,91.58769519469205,1.0003352105122016,0.9161839635290963,0.0,384.5730154429694,994.0,298320,17724,0.6607577669890988,7.122836900001857,,17988.450876477782
