round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,50,2,49.96974277899579,0.9993948555799157,0.9993948555799157,50,2,50,50,2,0.030257221004215684,514.0,0.458099995739758,2646
1,50,2,49.93893626148618,0.9987787252297236,0.9987787252297236,50,2,50,50,2,0.030806517509613766,514.0,0.3580999909900129,2646
2,50,2,49.90807002230132,0.9981614004460263,0.9981614004460263,50,2,50,50,3,0.03086623918486791,514.0,0.3440000000409782,2646
3,50,2,49.88049630183401,0.9976099260366802,0.9976099260366802,50,2,50,50,3,0.027573720467320845,514.0,0.33930002246052027,2646
4,50,2,49.85241275972077,0.9970482551944154,0.9970482551944154,50,2,50,50,3,0.02808354211324081,514.0,0.33900002017617226,2646
5,50,2,49.82215553871656,0.9964431107743311,0.9964431107743311,50,2,50,50,2,0.030257221004215656,514.0,0.3409999771974981,2646
6,50,2,49.78841580118612,0.9957683160237224,0.9957683160237224,50,2,50,47,3,0.0337397375304484,514.0,0.3636000328697264,2646
7,50,2,49.75754956200126,0.9951509912400252,0.9951509912400252,50,2,50,50,3,0.030866239184868194,514.0,0.3412999794818461,2646
8,50,2,49.72291480762713,0.9944582961525426,0.9944582961525426,50,2,50,47,3,0.034634754374128746,514.0,0.34149998100474477,2646
9,50,2,49.69534108715981,0.9939068217431962,0.9939068217431962,50,2,50,50,3,0.027573720467320983,514.0,0.3443000023253262,2646
10,50,2,49.66447484797495,0.993289496959499,0.993289496959499,50,2,50,50,3,0.030866239184868305,514.0,0.33519999124109745,2646
11,50,2,49.63700384160798,0.9927400768321596,0.9927400768321596,50,2,50,50,3,0.027471006366980633,514.0,0.33629999961704016,2646
12,50,2,49.60803615878101,0.9921607231756202,0.9921607231756202,50,2,50,50,3,0.02896768282697343,514.0,0.3318000235594809,2646
13,50,2,49.57716991959615,0.9915433983919231,0.9915433983919231,50,2,50,50,3,0.030866239184868194,514.0,0.3325999714434147,2646
14,50,2,49.548944838508376,0.9909788967701675,0.9909788967701675,50,2,50,50,3,0.028225081087772108,514.0,0.36479998379945755,2646
