run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,nsga2,1807,1869,1977,False,3580,93632,83893,89.59864149008887,1.0004060089321964,0.8963501933884651,0.0,482.2053072625698,574.0,93594,4170,,,1598.3837890625,22735.631951466126
1,1,nsga2,1788,1862,1915,False,3236,92949,79492,85.5221680706624,1.000452064968194,0.8556082964685116,0.0,506.25494437577254,574.0,92907,4148,72.23033465576647,139.4792116000317,,23305.010438413363
2,2,nsga2,1783,1836,2314,False,3730,92709,80854,87.21267622345188,1.000474828683969,0.8725408730372849,0.0,447.8069705093834,574.0,92665,4318,69.82070777595916,162.72493699996267,,19148.49244060475
3,3,nsga2,1848,1889,1919,False,3487,94415,84212,89.1934544299105,1.0004132406544037,0.8923031279138764,0.0,497.0768568970462,594.0,94376,4174,104.82677010404586,202.98221809999086,,23637.5
4,4,nsga2,1848,1907,1937,False,3358,95255,83293,87.44212902209858,1.000462131476405,0.8748253878228356,0.0,510.4124478856462,594.0,95211,4218,100.78963049448608,197.00535259995377,,23584.953560371516
5,5,nsga2,1858,1882,1969,False,3548,94310,83153,88.16986533771605,1.000403088934148,0.8820540563475899,0.0,482.6488162344983,594.0,94272,4222,99.50353299535877,197.6600563999964,,22985.319796954314
6,6,nsga2,1814,1889,1953,False,3743,94443,89149,94.39450250415594,1.0004025210529104,0.9443249827869287,0.0,490.0590435479562,574.0,94405,4216,103.8027204707622,204.55175879999297,,23205.261003070624
7,7,nsga2,1809,1866,1909,False,3388,93051,82675,88.84912574824558,1.0004300566599649,0.8888733590650568,0.0,502.392266824085,594.0,93011,4120,100.69632685837136,193.95980909996433,,23373.02617801047
8,8,nsga2,1812,1892,2301,False,3654,95018,81357,85.62272411543076,1.000484353283073,0.8566419576296171,0.0,459.55062944718117,574.0,94972,4382,95.49660134687737,221.54266129998723,,19742.502172024328
9,9,nsga2,1825,1891,2068,False,3737,94929,87828,92.51967259741491,1.000400459474555,0.9255672297688927,0.0,485.46320578003747,594.0,94891,4324,104.09986075392436,217.17243500001496,,21987.375543740938
10,10,nsga2,1854,1900,2004,False,3576,95094,84942,89.32424758659853,1.0003997643494362,0.8935995623632386,0.0,489.12220357941834,574.0,95056,4231,100.00056683296626,202.18401660001837,,22772.089775561097
11,11,nsga2,1749,1828,1874,False,3305,91190,79834,87.54688014036627,1.0004498129436417,0.8758625986022885,0.0,497.10136157337365,594.0,91149,4058,98.96716842666889,187.08999000000767,,23357.632
12,12,nsga2,1831,1869,1902,False,3581,93363,86297,92.43169135524779,1.0004393390626005,0.9247230020788239,0.0,495.88438983524156,574.0,93322,4131,104.16647104684805,199.92468409996945,,23571.07724645297
13,13,nsga2,1834,1891,2005,False,3631,94318,85888,91.06215144511121,1.0004455004455004,0.9110271967414825,0.0,487.2464885706417,614.0,94276,4268,100.2963786137326,202.83860970003298,,22565.4037886341
14,14,nsga2,1809,1861,1916,False,3492,93188,84636,90.82285272781904,1.0004401644712122,0.9086282972076395,0.0,498.6549255441008,594.0,93147,4135,99.59790578976042,192.57389130000956,,23334.251434533126
