round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,50,3,49.95843431445651,0.9991686862891302,0.9991686862891302,50,2,50,23,53,0.0415656855435028,244.0,,141
1,50,3,49.921998643212135,0.9984399728642427,0.9984399728642427,50,3,50,49,53,0.036435671244384404,347.3333333333333,,141
2,50,5,49.87048550801149,0.9974097101602298,0.9974097101602298,50,4,50,36,55,0.051513135200666485,194.0,,225
3,50,1,49.82764702862725,0.996552940572545,0.996552940572545,50,0,50,0,51,0.042838479384241845,0.0,,49
4,50,3,49.752047138076506,0.9950409427615301,0.9950409427615301,50,1,50,28,53,0.07559989055075869,574.0,,141
5,50,2,49.71204556539423,0.9942409113078845,0.9942409113078845,50,1,50,15,52,0.04000157268228674,314.0,,96
6,50,2,49.640129443661266,0.9928025888732254,0.9928025888732254,50,1,50,29,52,0.0719161217329703,614.0,,96
7,50,4,49.578598918187325,0.9915719783637464,0.9915719783637464,50,3,50,28,54,0.061530525473957653,200.66666666666666,,184
8,50,1,49.520346894680266,0.9904069378936053,0.9904069378936053,50,1,50,47,51,0.05825202350706604,1014.0,,49
9,50,3,49.45415840386424,0.9890831680772848,0.9890831680772848,50,1,50,25,53,0.06618849081603007,514.0,,141
10,50,3,49.41510513466996,0.9883021026933991,0.9883021026933991,50,2,50,39,53,0.03905326919430707,404.0,,141
11,50,4,49.359142170738856,0.9871828434147771,0.9871828434147771,50,2,50,27,54,0.05596296393110778,284.0,,184
12,50,1,49.31226825750724,0.9862453651501448,0.9862453651501448,50,1,50,48,51,0.046873913231617825,1014.0,,49
13,50,1,49.205181838249295,0.9841036367649859,0.9841036367649859,50,1,50,45,51,0.10708641925795703,1014.0,,49
14,50,1,49.132417061496014,0.9826483412299203,0.9826483412299203,50,1,50,46,51,0.0727647767532893,1014.0,,49
15,50,2,49.09884425552528,0.9819768851105056,0.9819768851105056,50,2,50,50,52,0.03357280597073853,514.0,,96
16,50,4,48.99606692853524,0.9799213385707048,0.9799213385707048,50,2,50,28,54,0.10277732699006559,294.0,,184
17,50,3,48.87846494477182,0.9775692988954364,0.9775692988954364,50,0,50,0,53,0.11760198376342612,0.0,,141
