run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,gcn,42,1098,2191,False,2537,51294,41956,81.79514173197646,1.0006437642652308,0.8184779852129299,0.0,357.68151359873866,814.0,51261,4978,,,1499.939453125,1222.0939781021898
1,1,gcn,111,922,2493,False,3047,50742,41603,81.98927909818296,1.0008086625510344,0.8205558075777598,0.0,300.2881522809321,727.9999999999964,50701,5674,0.474703086389986,2.4911996999871917,,1082.1619887730553
2,2,gcn,30,727,1778,False,1812,43318,29935,69.10522184773073,1.0008317545399936,0.6916270042973984,0.0,357.46578366445914,854.0,43282,3991,0.4654320963933758,1.8361737999948673,,1277.681281618887
3,3,gcn,36,818,2128,False,2265,50682,36231,71.48691843257961,1.0007108162539984,0.7153773249614974,0.0,346.93598233995584,794.0,50646,5011,0.4802623304034054,2.169867600023281,,1256.1108501643964
4,4,gcn,31,818,1777,False,1531,44209,28241,63.880657784613994,1.0008829522300204,0.6393706135386008,0.0,393.0725016329197,714.0,44170,4271,0.5022420703603167,1.947011600015685,,1275.9330708661416
5,5,gcn,47,922,2175,False,2364,47574,36689,77.1198553831925,1.0006941376916767,0.7717338718159062,0.0,333.7715736040609,710.9999999999982,47541,4860,0.4990007810727762,2.3297758999979123,,1128.2550551470588
6,6,gcn,272,791,2189,False,2516,48673,40149,82.48721056848767,1.0006990275293488,0.8254487139949424,0.0,347.50556438791733,654.0,48639,4946,0.47714191815309803,2.270299200026784,,1154.1278538812785
7,7,gcn,39,784,1825,False,1764,42049,29684,70.59383100668268,1.0008092347970963,0.7065095799119362,0.0,373.6145124716553,690.9999999999982,42015,4311,0.5277075026903979,2.048852399981115,,1162.7541073384448
8,8,gcn,32,922,1814,False,1575,45668,25287,55.37137601821844,1.0008766546857193,0.5541991759445954,0.0,348.95873015873013,854.0,45628,4321,0.5289660608614012,2.094022999983281,,1329.2517906336088
9,9,gcn,65,692,1887,False,1949,44923,30023,66.83213498653251,1.0008243104754266,0.6688722541549704,0.0,335.0466906105695,674.0,44886,4415,0.518633474989733,2.128131299978122,,1217.238347457627
10,10,gcn,39,865,2138,False,2310,50060,36863,73.63763483819416,1.000659643792352,0.7368620944689868,0.0,345.6709956709957,774.0,50027,4947,0.5013834035360176,2.31224260001909,,1249.1369798971482
11,11,gcn,31,645,1853,False,1584,37167,19428,52.27217693114859,1.001023458751919,0.5232567534811065,0.0,273.4191919191919,834.0,37129,4306,0.4957471954728705,1.8947457000031136,,1023.0598705501618
12,12,gcn,48,808,2345,False,2420,44607,33479,75.05324276458852,1.0007178911946157,0.7510712282669658,0.0,301.8099173553719,774.0,44575,5295,0.46078734000519916,2.248084100021515,,936.6837169650469
13,13,gcn,205,924,2093,False,2244,48930,33532,68.53055385244227,1.0008591065292096,0.6858942889870725,0.0,321.5579322638146,714.0,48888,4831,0.5049160938512501,2.247062599984929,,1226.9961795606496
14,14,gcn,34,803,1969,False,2061,42683,29274,68.58468242625871,1.0008206715438004,0.6864096792346651,0.0,307.93498301795245,734.0,42648,4242,0.46202497492393074,1.965375000028871,,1097.18730964467
