run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,som,591,1289,1994,False,2491,62061,45852,73.88214820902016,1.0006772118221836,0.7393218207323562,0.0,385.98875953432355,574.0,62019,3389,,,1339.337890625,1121.1814536340853
1,1,som,453,1144,1932,False,2404,58554,44676,76.29880110667077,1.0006664957703153,0.763496539348885,0.0,387.2179700499168,574.0,58515,3229,16.20499575840053,32.467295600043144,,1069.521986549405
2,2,som,393,1158,1790,False,2237,55275,37671,68.15196743554952,1.0008147745790332,0.682074959261271,0.0,353.55744300402324,574.0,55230,3141,16.764591289766077,31.082625399983954,,1193.7649357900614
3,3,som,453,1218,1906,False,2322,58616,37723,64.35614849187935,1.0007170416908526,0.6440229453341073,0.0,341.3708010335917,574.0,58574,3405,18.85714174128505,37.25387369998498,,1142.21027792344
4,4,som,899,1132,1736,False,1926,60318,35869,59.46649424715673,1.0006801931084826,0.5950694294672927,0.0,389.81568016614744,554.0,60277,3123,19.69000685139182,35.406225299986545,,1339.3206678180773
5,5,som,723,1253,1941,False,2581,63899,46056,72.07624532465296,1.0007204046794982,0.7212816938906551,0.0,374.5118171251453,594.0,63853,3508,18.0143349640691,36.259313000016846,,1260.5113285272914
6,6,som,578,1144,2156,False,2821,63530,50195,79.00991657484653,1.0005827414045643,0.7905595892460586,0.0,371.66820276497697,574.0,63493,3576,18.038362309510017,40.33958959998563,,1048.6773296244785
7,7,som,675,1091,1798,False,2101,55783,32305,57.91190864600326,1.0007175788888292,0.5795346500905943,0.0,328.98619704902427,574.0,55743,3153,17.07785002775428,31.863984299998265,,1188.0667037242913
8,8,som,572,1119,1980,False,2095,56845,31269,55.00747647110564,1.00073939756703,0.5504814886537683,0.0,316.54797136038184,614.0,56803,3129,15.901016456884573,32.67805109999608,,1105.735991923271
9,9,som,696,1309,1800,False,2550,64131,46686,72.79786686625813,1.0005772771242238,0.7283989140949231,0.0,385.42,594.0,64094,3398,21.229127706355595,39.545993499981705,,1395.6191004997224
10,10,som,759,1146,1752,False,2263,60633,43098,71.0801048933749,1.0006601422606571,0.7112702787450695,0.0,398.55545735749007,554.0,60593,3152,19.10333553952294,34.69781009998405,,1306.5065601825443
11,11,som,434,974,1713,False,1733,50387,27060,53.704328497429884,1.0008740043302942,0.5375126631309218,0.0,331.6058857472591,574.0,50343,2887,16.205496733168427,28.81303730001673,,1064.5647607934657
12,12,som,581,1204,1740,False,2284,61235,44905,73.33224463133828,1.0007027062361094,0.7338377565694862,0.0,412.4273204903678,534.0,61192,3119,21.0651487094593,37.98044439998921,,1326.4870763928777
13,13,som,551,1122,1868,False,2299,59888,40600,67.79321399946568,1.0006683598449406,0.6783852426146237,0.0,371.53632013919093,574.0,59848,3154,17.61091396463223,34.1401518000057,,1205.828250401284
14,14,som,503,1082,1801,False,2299,56377,39589,70.22189900136581,1.0007810697104718,0.7027674719968757,0.0,364.71378860374074,554.0,56333,3132,17.116966703790368,31.990491300006397,,1172.4211986681464
