round,alive_nodes,num_ch,total_residual_energy,mean_residual_energy_all,mean_residual_energy_alive,packets_sent,packets_received_bs,readings_attempted,readings_delivered,control_packets,energy_consumed_round,mean_latency_ms,setup_time_ms,ops_count
0,50,1,49.977368631530396,0.9995473726306079,0.9995473726306079,50,1,50,50,50,0.022631368469604694,850.0,0.6078000296838582,1274
1,50,1,49.95528705003795,0.9991057410007591,0.9991057410007591,50,1,50,50,49,0.02208158149244379,833.0,0.01479999627918005,0
2,50,1,49.93320287673638,0.9986640575347276,0.9986640575347276,50,1,50,50,49,0.022084173301578247,816.0,0.012800039257854223,0
3,50,1,49.91112914644221,0.9982225829288441,0.9982225829288441,50,1,50,50,49,0.022073730294179014,799.0,0.012299977242946625,0
4,50,1,49.8890301596805,0.9977806031936101,0.9977806031936101,50,1,50,50,49,0.022098986761706324,782.0,0.012200034689158201,0
5,50,1,49.86699480849304,0.9973398961698607,0.9973398961698607,50,1,50,50,49,0.022035351187464747,765.0,0.010399962775409222,0
6,50,1,49.84495703316458,0.9968991406632917,0.9968991406632917,50,1,50,50,49,0.02203777532845705,748.0,0.01109996810555458,0
7,50,1,49.82294975582163,0.9964589951164327,0.9964589951164327,50,1,50,50,49,0.022007277342960235,731.0,0.01090002479031682,0
8,50,1,49.8009410144125,0.9960188202882501,0.9960188202882501,50,1,50,50,49,0.022008741409129562,714.0,0.010499963536858559,0
9,50,1,49.77892277666014,0.9955784555332028,0.9955784555332028,50,1,50,50,49,0.022018237752372938,697.0,0.00790000194683671,0
10,50,1,49.75688769112688,0.9951377538225376,0.9951377538225376,50,1,50,50,49,0.022035085533265192,680.0,0.009599956683814526,0
11,50,1,49.73482958412911,0.9946965916825822,0.9946965916825822,50,1,50,50,49,0.022058106997767807,663.0,0.011000025551766157,0
12,50,1,49.712763032496845,0.9942552606499369,0.9942552606499369,50,1,50,50,49,0.02206655163225968,646.0,0.009600014891475439,0
13,50,1,49.69074051267729,0.9938148102535458,0.9938148102535458,50,1,50,50,49,0.022022519819566988,629.0,0.01009996049106121,0
14,50,1,49.66871995846879,0.9933743991693759,0.9933743991693759,50,1,50,50,49,0.02202055420849508,612.0,0.009400013368576765,0
15,50,1,49.646704899921325,0.9929340979984265,0.9929340979984265,50,1,50,50,49,0.022015058547465938,595.0,0.012100033927708864,0
16,50,1,49.62468715575616,0.9924937431151233,0.9924937431151233,50,1,50,50,49,0.02201774416517077,578.0,0.013199984095990658,0
17,50,1,49.60267228798107,0.9920534457596214,0.9920534457596214,50,1,50,50,49,0.022014867775093816,561.0,0.010700023267418146,0
18,50,1,49.58062870109732,0.9916125740219464,0.9916125740219464,50,1,50,50,49,0.022043586883757682,544.0,0.012499978765845299,0
19,50,1,49.55859462712625,0.9911718925425249,0.9911718925425249,50,1,50,50,49,0.022034073971067214,527.0,0.00990001717582345,0
20,50,1,49.53649046548093,0.9907298093096186,0.9907298093096186,50,1,50,50,49,0.022104161645328357,510.0,0.01479999627918005,0
21,50,1,49.5143738724168,0.9902874774483359,0.9902874774483359,50,1,50,50,49,0.02211659306413738,493.0,0.010000017937272787,0
22,50,1,49.492270253938976,0.9898454050787795,0.9898454050787795,50,1,50,50,49,0.022103618477816944,476.0,0.01179997343569994,0
23,50,1,49.47029395394186,0.9894058790788373,0.9894058790788373,50,1,50,50,49,0.02197629999712203,459.0,0.011200027074664831,0
24,50,1,49.44833075326354,0.9889666150652708,0.9889666150652708,50,1,50,50,49,0.021963200678318806,442.0,0.011899974197149277,0
25,50,1,49.42637016671848,0.9885274033343695,0.9885274033343695,50,1,50,50,49,0.02196058654507438,442.0,0.01109996810555458,0
26,50,1,49.40442351092598,0.9880884702185196,0.9880884702185196,50,1,50,50,49,0.021946655792494107,459.0,0.009000010322779417,0
27,50,1,49.38247678915329,0.9876495357830657,0.9876495357830657,50,1,50,50,49,0.02194672177269208,476.0,0.011499971151351929,0
28,50,1,49.36052083958845,0.987210416791769,0.987210416791769,50,1,50,50,49,0.02195594956482383,493.0,0.009599956683814526,0
29,50,1,49.33855060687155,0.986771012137431,0.986771012137431,50,1,50,50,49,0.021970232716915894,510.0,0.02300000051036477,0
30,50,1,49.31657917995531,0.9863315835991062,0.9863315835991062,50,1,50,50,49,0.021971426916234216,527.0,0.012100033927708864,0
31,50,1,49.29458856938652,0.9858917713877304,0.9858917713877304,50,1,50,50,49,0.021990610568790703,544.0,0.010699965059757233,0
32,50,1,49.2726011615427,0.985452023230854,0.985452023230854,50,1,50,50,49,0.02198740784382458,561.0,0.01279998105019331,0
33,50,1,49.250661890071626,0.9850132378014326,0.9850132378014326,50,1,50,50,49,0.02193927147107466,578.0,0.00990001717582345,0
34,50,1,49.228726699763044,0.9845745339952608,0.9845745339952608,50,1,50,50,49,0.02193519030858493,595.0,0.01379998866468668,0
