run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,apteen,6914.0,,6999,True,18263,46830,46829,99.99786461669869,0.1679326920328995,0.13383002680658676,0.10738540951194324,338.4918688057822,1014.0,349914,356052,,,5023.6953125,116.31242857142857
1,1,apteen,,,6999,True,17761,46050,46050,100.0,0.16582857142857144,0.13157142857142856,0.10871979182190718,347.4706942176679,1014.0,350000,358054,0.4879576423554681,9.441182300040964,,116.37342857142858
2,2,apteen,6912.0,,6999,True,17827,47070,47060,99.97875504567665,0.16873942180138146,0.13454325053748684,0.09784707138506452,347.4614349021148,1014.0,349776,357655,0.48331485693675597,9.392915099975653,,116.17114285714285
3,3,apteen,6923.0,,6999,True,18032,46756,46752,99.99144494824193,0.16765402674302632,0.13360653629512778,0.1078865703077709,342.56937666370897,1014.0,349923,356651,0.5090365574412447,10.036375699972268,,116.28957142857143
4,4,apteen,,,6999,True,18194,47459,47459,100.0,0.17014,0.13559714285714286,0.09894782414555178,341.1596130592503,1014.0,350000,357640,0.543959457136225,10.687591599998996,,116.39142857142858
5,5,apteen,6828.0,,6999,True,17720,46343,46338,99.98921088406017,0.16650319555053544,0.13250596931699576,0.11009406246477077,349.0837471783296,1014.0,349705,358121,0.5307458286739087,10.361574899987318,,116.185
6,6,apteen,6970.0,,6999,True,17903,47237,47230,99.98518110802972,0.16933165699917135,0.1349544246649713,0.1011001668613386,346.4452884991342,1014.0,349970,357951,0.5294257289497182,10.24374569999054,,116.32085714285714
7,7,apteen,6836.0,,6999,True,18172,46501,46409,99.80215479237006,0.1673157313844236,0.13269799333207524,0.10368447242042811,337.525918996258,1014.0,349734,355471,0.5426283712565366,10.551967600011267,,116.20528571428571
8,8,apteen,6819.0,,6999,True,17920,46910,46909,99.99786825836708,0.1683276758930129,0.13414567884994294,0.10438199363669831,345.0013950892857,1014.0,349687,357161,0.5529055144205424,10.849066300026607,,116.16571428571429
9,9,apteen,6815.0,,6999,True,18278,48098,48094,99.99168364588964,0.17193373640352758,0.13748409873790432,0.09390274245065039,340.71856877120035,1014.0,349815,356918,0.5087690570757591,9.919650700001512,,116.23171428571429
10,10,apteen,6618.0,,6999,True,17723,46261,46258,99.9935150558786,0.16654745419379943,0.13234873367742822,0.10944904541299011,348.7347514529143,1014.0,349516,357533,0.529058357842067,10.343831799982581,,116.09714285714286
11,11,apteen,,,6999,True,17995,45881,45881,100.0,0.16544285714285714,0.13108857142857142,0.10377792950949934,343.1000833564879,1014.0,350000,357078,0.563183471751732,10.876300000003539,,116.33714285714285
12,12,apteen,6500.0,,6999,True,17401,45839,45242,98.69761556752982,0.1650452935352992,0.12944852331057688,0.1066431922217269,350.41261996436987,1014.0,349498,357605,0.5164232574170455,10.031368699972518,,116.03528571428572
13,13,apteen,6939.0,,6999,True,17571,45649,45649,100.0,0.16419433101197636,0.130448449586928,0.11617804788551528,351.3171134255307,1014.0,349939,358002,0.5366217287124267,10.399425900017377,,116.32257142857142
14,14,apteen,6900.0,,6999,True,17811,46401,46401,100.0,0.16708917920152275,0.13261558599678186,0.10177166407730016,348.9829880410982,1014.0,349891,358799,0.5321576432158638,10.318515499995556,,116.28942857142857
