run_id,seed,protocol,fnd,hnd,lnd,lnd_censored,throughput_total,readings_attempted_total,readings_delivered_total,pdr_percent,reporting_rate,data_yield,mean_residual_energy_final,mean_latency_ms,p95_latency_ms,alive_node_auc,total_control_packets,mean_setup_ms,total_runtime_s,peak_memory_kb,ops_per_round
0,0,stub,2319,3314,4384,False,170578,170628,170578,99.97069648592259,1.000293121035538,1.0,0.0,452.2929451629167,937.0,170578,0,,,8171.8828125,0.0
1,1,stub,2330,3242,4265,False,164414,164464,164414,99.9695982099426,1.0003041103555659,1.0,0.0,454.0022017589743,937.0,164414,0,0.002484926783081984,1.9606589000322856,,0.0
2,2,stub,2320,3190,4371,False,159755,159805,159755,99.96871186758862,1.0003129792494758,1.0,0.0,451.96754405182935,937.0,159755,0,0.00257962066196638,1.9481458999798633,,0.0
3,3,stub,2351,3292,4300,False,164123,164173,164123,99.96954432214797,1.0003046495616092,1.0,0.0,457.45124693065566,937.0,164123,0,0.003579075157948114,2.115580299985595,,0.0
4,4,stub,2371,3190,4354,False,162794,162846,162794,99.9680679906169,1.000307132853387,0.9999877146858646,0.0,458.33469292480066,937.0,162796,0,0.0029470951854541094,2.0900475999806076,,0.0
5,5,stub,2288,3412,4303,False,168323,168373,168323,99.9703040273678,1.000297047937596,1.0,0.0,456.7816103562793,937.0,168323,0,0.002655296911140142,2.071012399974279,,0.0
6,6,stub,2360,3380,4368,False,170067,170117,170067,99.97060846358683,1.0002940017757707,1.0,0.0,455.171661756837,937.0,170067,0,0.0026868157202587246,2.0810563000268303,,0.0
7,7,stub,1636,3054,4351,False,159293,159484,159293,99.88023877003336,1.0003136093932286,0.9991156215110955,0.0,450.3069249747321,937.0,159434,0,0.0027747471181903487,2.1987220000009984,,0.0
8,8,stub,2428,3088,4374,False,159036,159087,159036,99.9679420694337,1.0003143922483446,0.9999937121550331,0.0,460.75814281043284,937.0,159037,0,0.0027808460140866893,2.05834569997387,,0.0
9,9,stub,2236,3298,4203,False,163470,163520,163470,99.96942270058709,1.0003058665198508,1.0,0.0,460.3272160029363,937.0,163470,0,0.002647430615940022,2.0946248000254855,,0.0
10,10,stub,2304,3235,4217,False,161512,161562,161512,99.9690521285946,1.0003095745207786,1.0,0.0,459.205780375452,937.0,161512,0,0.002815766396259756,2.047497999970801,,0.0
11,11,stub,2287,3047,4306,False,157523,157573,157523,99.96826867547105,1.000317413964945,1.0,0.0,451.7372764612152,937.0,157523,0,0.0027659856511047702,2.040620799991302,,0.0
12,12,stub,871,3411,4286,False,164390,165339,164390,99.42602773695256,1.0003025004688757,0.9945610415696144,0.0,444.8184804428493,917.0,165289,0,0.002647002029043896,2.1139566999627277,,0.0
13,13,stub,2232,3205,4414,False,166097,166147,166097,99.96990616743004,1.0003010289168377,1.0,0.0,459.03808617855833,937.0,166097,0,0.0028121852319126493,2.0766826000181027,,0.0
14,14,stub,2338,3093,4398,False,160201,160251,160201,99.96879894665244,1.0003121079144326,1.0,0.0,452.37268806062383,937.0,160201,0,0.0027557855227864324,1.9913727999664843,,0.0
